; Candidate 329
; ADRP+ADD at VM 0xfffffff007e93ab0 (fileoff 0xe8fab0): page=0x1ff1bc000 add_imm=0xe2b

0xfffffff007e93a30: e20308aa  mov	x2, x8
0xfffffff007e93a34: bffea288  casl	w2, wzr, [x21]
0xfffffff007e93a38: 5f00086b  cmp	w2, w8
0xfffffff007e93a3c: c1010054  b.ne	#0xfffffff007e93a74
0xfffffff007e93a40: 00008052  mov	w0, #0
0xfffffff007e93a44: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e93a48: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007e93a4c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff007e93a50: ff0f5fd6  retab	
0xfffffff007e93a54: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e93a58: 00c03a91  add	x0, x0, #0xeb0
0xfffffff007e93a5c: e10313aa  mov	x1, x19
0xfffffff007e93a60: 02008052  mov	w2, #0
0xfffffff007e93a64: 2560fc97  bl	#0xfffffff007dabaf8
0xfffffff007e93a68: 88a64039  ldrb	w8, [x20, #0x29]
0xfffffff007e93a6c: 08feff35  cbnz	w8, #0xfffffff007e93a2c
0xfffffff007e93a70: e6ffff17  b	#0xfffffff007e93a08
0xfffffff007e93a74: 201b0190  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e93a78: 00c03a91  add	x0, x0, #0xeb0
0xfffffff007e93a7c: e10313aa  mov	x1, x19
0xfffffff007e93a80: 3963fc97  bl	#0xfffffff007dac764
0xfffffff007e93a84: efffff17  b	#0xfffffff007e93a40
0xfffffff007e93a88: 80120091  add	x0, x20, #4
0xfffffff007e93a8c: e0311894  bl	#0xfffffff0084a020c
0xfffffff007e93a90: 7f2303d5  pacibsp	
0xfffffff007e93a94: ff8300d1  sub	sp, sp, #0x20
0xfffffff007e93a98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007e93a9c: fd430091  add	x29, sp, #0x10
0xfffffff007e93aa0: e88dff90  adrp	x8, #0xfffffff00704f000
0xfffffff007e93aa4: 08713791  add	x8, x8, #0xddc
0xfffffff007e93aa8: e9208052  mov	w9, #0x107
0xfffffff007e93aac: e82700a9  stp	x8, x9, [sp]
0xfffffff007e93ab0: e08dff90  adrp	x0, #0xfffffff00704f000
0xfffffff007e93ab4: 00ac3891  add	x0, x0, #0xe2b
0xfffffff007e93ab8: 95021894  bl	#0xfffffff00849450c
0xfffffff007e93abc: 7f2303d5  pacibsp	
0xfffffff007e93ac0: ff8300d1  sub	sp, sp, #0x20
0xfffffff007e93ac4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff007e93ac8: fd430091  add	x29, sp, #0x10
0xfffffff007e93acc: e88dff90  adrp	x8, #0xfffffff00704f000
0xfffffff007e93ad0: 08713791  add	x8, x8, #0xddc
0xfffffff007e93ad4: a91f8052  mov	w9, #0xfd
0xfffffff007e93ad8: e82700a9  stp	x8, x9, [sp]
0xfffffff007e93adc: e08dff90  adrp	x0, #0xfffffff00704f000
0xfffffff007e93ae0: 00c03791  add	x0, x0, #0xdf0
0xfffffff007e93ae4: 8a021894  bl	#0xfffffff00849450c
0xfffffff007e93ae8: 7f2303d5  pacibsp	
0xfffffff007e93aec: ff0302d1  sub	sp, sp, #0x80
0xfffffff007e93af0: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff007e93af4: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff007e93af8: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff007e93afc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff007e93b00: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff007e93b04: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff007e93b08: fdc30191  add	x29, sp, #0x70
0xfffffff007e93b0c: ff0700f9  str	xzr, [sp, #8]
0xfffffff007e93b10: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff007e93b14: 800100b4  cbz	x0, #0xfffffff007e93b44
0xfffffff007e93b18: f50302aa  mov	x21, x2
0xfffffff007e93b1c: e3230091  add	x3, sp, #8
0xfffffff007e93b20: 040080d2  mov	x4, #0
0xfffffff007e93b24: 050080d2  mov	x5, #0
0xfffffff007e93b28: 86a98052  mov	w6, #0x54c
0xfffffff007e93b2c: 27008052  mov	w7, #1
