; Candidate 12846
; ADRP+ADD at VM 0xfffffff009169ba0 (fileoff 0x2165ba0): page=0x1fe323000 add_imm=0xcef

0xfffffff009169b20: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009169b24: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009169b28: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009169b2c: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009169b30: fd030291  add	x29, sp, #0x80
0xfffffff009169b34: f70300aa  mov	x23, x0
0xfffffff009169b38: 0119fff0  adrp	x1, #0xfffffff00748c000
0xfffffff009169b3c: 216c3291  add	x1, x1, #0xc9b
0xfffffff009169b40: 4c6cd497  bl	#0xfffffff008684c70
0xfffffff009169b44: f50300aa  mov	x21, x0
0xfffffff009169b48: 0119fff0  adrp	x1, #0xfffffff00748c000
0xfffffff009169b4c: 21e03291  add	x1, x1, #0xcb8
0xfffffff009169b50: e00317aa  mov	x0, x23
0xfffffff009169b54: 476cd497  bl	#0xfffffff008684c70
0xfffffff009169b58: f40300aa  mov	x20, x0
0xfffffff009169b5c: 0119fff0  adrp	x1, #0xfffffff00748c000
0xfffffff009169b60: 21543391  add	x1, x1, #0xcd5
0xfffffff009169b64: e00317aa  mov	x0, x23
0xfffffff009169b68: 426cd497  bl	#0xfffffff008684c70
0xfffffff009169b6c: f30300aa  mov	x19, x0
0xfffffff009169b70: d40200b4  cbz	x20, #0xfffffff009169bc8
0xfffffff009169b74: b30200b4  cbz	x19, #0xfffffff009169bc8
0xfffffff009169b78: e04fff90  adrp	x0, #0xfffffff007b65000
0xfffffff009169b7c: 00a03791  add	x0, x0, #0xde8
0xfffffff009169b80: 5db2c797  bl	#0xfffffff0083564f4
0xfffffff009169b84: f60300aa  mov	x22, x0
0xfffffff009169b88: 28008052  mov	w8, #1
0xfffffff009169b8c: 08000079  strh	w8, [x0]
0xfffffff009169b90: 1f000139  strb	wzr, [x0, #0x40]
0xfffffff009169b94: 155001a9  stp	x21, x20, [x0, #0x10]
0xfffffff009169b98: 131000f9  str	x19, [x0, #0x20]
0xfffffff009169b9c: ff3f00b9  str	wzr, [sp, #0x3c]
0xfffffff009169ba0: 0019fff0  adrp	x0, #0xfffffff00748c000
0xfffffff009169ba4: 00bc3391  add	x0, x0, #0xcef
0xfffffff009169ba8: e1f30091  add	x1, sp, #0x3c
0xfffffff009169bac: 82008052  mov	w2, #4
0xfffffff009169bb0: 020dcc97  bl	#0xfffffff00846cfb8
0xfffffff009169bb4: 00050034  cbz	w0, #0xfffffff009169c54
0xfffffff009169bb8: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff009169bbc: c8040035  cbnz	w8, #0xfffffff009169c54
0xfffffff009169bc0: df060039  strb	wzr, [x22, #1]
0xfffffff009169bc4: 81000014  b	#0xfffffff009169dc8
0xfffffff009169bc8: 750100b4  cbz	x21, #0xfffffff009169bf4
0xfffffff009169bcc: b00240f9  ldr	x16, [x21]
0xfffffff009169bd0: f10315aa  mov	x17, x21
0xfffffff009169bd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009169bd8: 301ac1da  autda	x16, x17
0xfffffff009169bdc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009169be0: e90310aa  mov	x9, x16
0xfffffff009169be4: e00315aa  mov	x0, x21
0xfffffff009169be8: f10309aa  mov	x17, x9
0xfffffff009169bec: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009169bf0: 11093fd7  blraa	x8, x17
0xfffffff009169bf4: 740100b4  cbz	x20, #0xfffffff009169c20
0xfffffff009169bf8: 900240f9  ldr	x16, [x20]
0xfffffff009169bfc: f10314aa  mov	x17, x20
0xfffffff009169c00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009169c04: 301ac1da  autda	x16, x17
0xfffffff009169c08: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009169c0c: e90310aa  mov	x9, x16
0xfffffff009169c10: e00314aa  mov	x0, x20
0xfffffff009169c14: f10309aa  mov	x17, x9
0xfffffff009169c18: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009169c1c: 11093fd7  blraa	x8, x17
