; Candidate 9128
; ADRP+ADD at VM 0xfffffff0089fb560 (fileoff 0x19f7560): page=0x1ff04e000 add_imm=0xd40

0xfffffff0089fb4e0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0089fb4e4: ff830191  add	sp, sp, #0x60
0xfffffff0089fb4e8: ff0f5fd6  retab	
0xfffffff0089fb4ec: 7f2303d5  pacibsp	
0xfffffff0089fb4f0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0089fb4f4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0089fb4f8: fd430091  add	x29, sp, #0x10
0xfffffff0089fb4fc: f30300aa  mov	x19, x0
0xfffffff0089fb500: 003440f9  ldr	x0, [x0, #0x68]
0xfffffff0089fb504: 400100b4  cbz	x0, #0xfffffff0089fb52c
0xfffffff0089fb508: 100040f9  ldr	x16, [x0]
0xfffffff0089fb50c: f10300aa  mov	x17, x0
0xfffffff0089fb510: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089fb514: 301ac1da  autda	x16, x17
0xfffffff0089fb518: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089fb51c: e90310aa  mov	x9, x16
0xfffffff0089fb520: f10309aa  mov	x17, x9
0xfffffff0089fb524: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089fb528: 11093fd7  blraa	x8, x17
0xfffffff0089fb52c: 7f3600f9  str	xzr, [x19, #0x68]
0xfffffff0089fb530: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff0089fb534: 400100b4  cbz	x0, #0xfffffff0089fb55c
0xfffffff0089fb538: 100040f9  ldr	x16, [x0]
0xfffffff0089fb53c: f10300aa  mov	x17, x0
0xfffffff0089fb540: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089fb544: 301ac1da  autda	x16, x17
0xfffffff0089fb548: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089fb54c: e90310aa  mov	x9, x16
0xfffffff0089fb550: f10309aa  mov	x17, x9
0xfffffff0089fb554: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089fb558: 11093fd7  blraa	x8, x17
0xfffffff0089fb55c: 7f3a00f9  str	xzr, [x19, #0x70]
0xfffffff0089fb560: 6082ffd0  adrp	x0, #0xfffffff007a49000
0xfffffff0089fb564: 00003591  add	x0, x0, #0xd40
0xfffffff0089fb568: e10313aa  mov	x1, x19
0xfffffff0089fb56c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0089fb570: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0089fb574: ff2303d5  autibsp	
0xfffffff0089fb578: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0089fb57c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0089fb584
0xfffffff0089fb580: 208e38d4  brk	#0xc471
0xfffffff0089fb584: 626ce517  b	#0xfffffff00835670c
0xfffffff0089fb588: 7f2303d5  pacibsp	
0xfffffff0089fb58c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0089fb590: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0089fb594: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0089fb598: fd830091  add	x29, sp, #0x20
0xfffffff0089fb59c: f50302aa  mov	x21, x2
0xfffffff0089fb5a0: f60301aa  mov	x22, x1
0xfffffff0089fb5a4: f40300aa  mov	x20, x0
0xfffffff0089fb5a8: 6082ffd0  adrp	x0, #0xfffffff007a49000
0xfffffff0089fb5ac: 00003391  add	x0, x0, #0xcc0
0xfffffff0089fb5b0: d16be597  bl	#0xfffffff0083564f4
0xfffffff0089fb5b4: 000500b4  cbz	x0, #0xfffffff0089fb654
0xfffffff0089fb5b8: f30300aa  mov	x19, x0
0xfffffff0089fb5bc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0089fb5c0: 00c0853c  stur	q0, [x0, #0x5c]
0xfffffff0089fb5c4: 00c0843c  stur	q0, [x0, #0x4c]
0xfffffff0089fb5c8: 00c0863c  stur	q0, [x0, #0x6c]
0xfffffff0089fb5cc: 1f7c00b9  str	wzr, [x0, #0x7c]
0xfffffff0089fb5d0: 00c0833c  stur	q0, [x0, #0x3c]
0xfffffff0089fb5d4: 00c0823c  stur	q0, [x0, #0x2c]
0xfffffff0089fb5d8: 00c0813c  stur	q0, [x0, #0x1c]
0xfffffff0089fb5dc: 00c0803c  stur	q0, [x0, #0xc]
