; Candidate 9892
; ADRP+ADD at VM 0xfffffff008bb93fc (fileoff 0x1bb53fc): page=0x172b000 add_imm=0xd28

0xfffffff008bb937c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008bb9380: ff0f5fd6  retab	
0xfffffff008bb9384: 7f2303d5  pacibsp	
0xfffffff008bb9388: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008bb938c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008bb9390: fd430091  add	x29, sp, #0x10
0xfffffff008bb9394: 803bffd0  adrp	x0, #0xfffffff00732b000
0xfffffff008bb9398: 00d00391  add	x0, x0, #0xf4
0xfffffff008bb939c: a7bfdd97  bl	#0xfffffff008329238
0xfffffff008bb93a0: 68b90090  adrp	x8, #0xfffffff00a2e5000
0xfffffff008bb93a4: 001100f9  str	x0, [x8, #0x20]
0xfffffff008bb93a8: 803bffd0  adrp	x0, #0xfffffff00732b000
0xfffffff008bb93ac: 00440491  add	x0, x0, #0x111
0xfffffff008bb93b0: a2bfdd97  bl	#0xfffffff008329238
0xfffffff008bb93b4: 68b90090  adrp	x8, #0xfffffff00a2e5000
0xfffffff008bb93b8: 001500f9  str	x0, [x8, #0x28]
0xfffffff008bb93bc: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb93c0: 00003491  add	x0, x0, #0xd00
0xfffffff008bb93c4: 813bffd0  adrp	x1, #0xfffffff00732b000
0xfffffff008bb93c8: 21d00491  add	x1, x1, #0x134
0xfffffff008bb93cc: b376ff90  adrp	x19, #0xfffffff007a8d000
0xfffffff008bb93d0: 738241f9  ldr	x19, [x19, #0x300]
0xfffffff008bb93d4: e20313aa  mov	x2, x19
0xfffffff008bb93d8: 036e9c52  mov	w3, #0xe370
0xfffffff008bb93dc: d7a9dc97  bl	#0xfffffff0082e3b38
0xfffffff008bb93e0: b076ff90  adrp	x16, #0xfffffff007a8d000
0xfffffff008bb93e4: 10a22691  add	x16, x16, #0x9a8
0xfffffff008bb93e8: 10420091  add	x16, x16, #0x10
0xfffffff008bb93ec: f10300aa  mov	x17, x0
0xfffffff008bb93f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bb93f4: 300ac1da  pacda	x16, x17
0xfffffff008bb93f8: 100000f9  str	x16, [x0]
0xfffffff008bb93fc: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9400: 00a03491  add	x0, x0, #0xd28
0xfffffff008bb9404: 813bffd0  adrp	x1, #0xfffffff00732b000
0xfffffff008bb9408: 215c0c91  add	x1, x1, #0x317
0xfffffff008bb940c: b476ff90  adrp	x20, #0xfffffff007a8d000
0xfffffff008bb9410: 947a41f9  ldr	x20, [x20, #0x2f0]
0xfffffff008bb9414: e20314aa  mov	x2, x20
0xfffffff008bb9418: 03068052  mov	w3, #0x30
0xfffffff008bb941c: c7a9dc97  bl	#0xfffffff0082e3b38
0xfffffff008bb9420: b076ffb0  adrp	x16, #0xfffffff007a8e000
0xfffffff008bb9424: 10a20291  add	x16, x16, #0xa8
0xfffffff008bb9428: 10420091  add	x16, x16, #0x10
0xfffffff008bb942c: f10300aa  mov	x17, x0
0xfffffff008bb9430: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bb9434: 300ac1da  pacda	x16, x17
0xfffffff008bb9438: 100000f9  str	x16, [x0]
0xfffffff008bb943c: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9440: 00403591  add	x0, x0, #0xd50
0xfffffff008bb9444: 813bffd0  adrp	x1, #0xfffffff00732b000
0xfffffff008bb9448: 21240d91  add	x1, x1, #0x349
0xfffffff008bb944c: e20314aa  mov	x2, x20
0xfffffff008bb9450: 03088052  mov	w3, #0x40
0xfffffff008bb9454: b9a9dc97  bl	#0xfffffff0082e3b38
0xfffffff008bb9458: b076ffb0  adrp	x16, #0xfffffff007a8e000
0xfffffff008bb945c: 10420791  add	x16, x16, #0x1d0
0xfffffff008bb9460: 10420091  add	x16, x16, #0x10
0xfffffff008bb9464: f10300aa  mov	x17, x0
0xfffffff008bb9468: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008bb946c: 300ac1da  pacda	x16, x17
0xfffffff008bb9470: 100000f9  str	x16, [x0]
0xfffffff008bb9474: 40b900f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008bb9478: 00e03591  add	x0, x0, #0xd78
