; Candidate 2548
; ADRP+ADD at VM 0xfffffff0086af7bc (fileoff 0x16ab7bc): page=0x1ff34b000 add_imm=0xe50

0xfffffff0086af73c: 10823091  add	x16, x16, #0xc20
0xfffffff0086af740: 10420091  add	x16, x16, #0x10
0xfffffff0086af744: f10300aa  mov	x17, x0
0xfffffff0086af748: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086af74c: 300ac1da  pacda	x16, x17
0xfffffff0086af750: 100000f9  str	x16, [x0]
0xfffffff0086af754: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086af758: ff0f5fd6  retab	
0xfffffff0086af75c: 5f2403d5  bti	c
0xfffffff0086af760: f851f317  b	#0xfffffff008383f40
0xfffffff0086af764: 5f2403d5  bti	c
0xfffffff0086af768: f651f317  b	#0xfffffff008383f40
0xfffffff0086af76c: 7f2303d5  pacibsp	
0xfffffff0086af770: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086af774: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086af778: fd430091  add	x29, sp, #0x10
0xfffffff0086af77c: f30300aa  mov	x19, x0
0xfffffff0086af780: f051f397  bl	#0xfffffff008383f40
0xfffffff0086af784: 409afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086af788: 00403991  add	x0, x0, #0xe50
0xfffffff0086af78c: e10313aa  mov	x1, x19
0xfffffff0086af790: 02128052  mov	w2, #0x90
0xfffffff0086af794: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086af798: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086af79c: ff2303d5  autibsp	
0xfffffff0086af7a0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086af7a4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086af7ac
0xfffffff0086af7a8: 208e38d4  brk	#0xc471
0xfffffff0086af7ac: bcdff017  b	#0xfffffff0082e769c
0xfffffff0086af7b0: 5f2403d5  bti	c
0xfffffff0086af7b4: e20301aa  mov	x2, x1
0xfffffff0086af7b8: e10300aa  mov	x1, x0
0xfffffff0086af7bc: 409afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086af7c0: 00403991  add	x0, x0, #0xe50
0xfffffff0086af7c4: b6dff017  b	#0xfffffff0082e769c
0xfffffff0086af7c8: 5f2403d5  bti	c
0xfffffff0086af7cc: 40e100d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086af7d0: 00603e91  add	x0, x0, #0xf98
0xfffffff0086af7d4: c0035fd6  ret	
0xfffffff0086af7d8: 7f2303d5  pacibsp	
0xfffffff0086af7dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086af7e0: fd030091  mov	x29, sp
0xfffffff0086af7e4: e153ff90  adrp	x1, #0xfffffff00712b000
0xfffffff0086af7e8: 21740b91  add	x1, x1, #0x2dd
0xfffffff0086af7ec: a299ff90  adrp	x2, #0xfffffff0079e3000
0xfffffff0086af7f0: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086af7f4: 03128052  mov	w3, #0x90
0xfffffff0086af7f8: d0d0f097  bl	#0xfffffff0082e3b38
0xfffffff0086af7fc: 109afff0  adrp	x16, #0xfffffff0079f2000
0xfffffff0086af800: 10020791  add	x16, x16, #0x1c0
0xfffffff0086af804: 10420091  add	x16, x16, #0x10
0xfffffff0086af808: f10300aa  mov	x17, x0
0xfffffff0086af80c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086af810: 300ac1da  pacda	x16, x17
0xfffffff0086af814: 100000f9  str	x16, [x0]
0xfffffff0086af818: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086af81c: ff0f5fd6  retab	
0xfffffff0086af820: 7f2303d5  pacibsp	
0xfffffff0086af824: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086af828: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086af82c: fd430091  add	x29, sp, #0x10
0xfffffff0086af830: 409afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086af834: 00403991  add	x0, x0, #0xe50
0xfffffff0086af838: 01128052  mov	w1, #0x90
