; Candidate 9058
; ADRP+ADD at VM 0xfffffff0089a3494 (fileoff 0x199f494): page=0x1fe8e3000 add_imm=0xd8d

0xfffffff0089a3414: 84103a91  add	x4, x4, #0xe84
0xfffffff0089a3418: 95ffff17  b	#0xfffffff0089a326c
0xfffffff0089a341c: 750100b4  cbz	x21, #0xfffffff0089a3448
0xfffffff0089a3420: b00240f9  ldr	x16, [x21]
0xfffffff0089a3424: f10315aa  mov	x17, x21
0xfffffff0089a3428: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a342c: 301ac1da  autda	x16, x17
0xfffffff0089a3430: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a3434: e90310aa  mov	x9, x16
0xfffffff0089a3438: e00315aa  mov	x0, x21
0xfffffff0089a343c: f10309aa  mov	x17, x9
0xfffffff0089a3440: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a3444: 11093fd7  blraa	x8, x17
0xfffffff0089a3448: 740100b4  cbz	x20, #0xfffffff0089a3474
0xfffffff0089a344c: 900240f9  ldr	x16, [x20]
0xfffffff0089a3450: f10314aa  mov	x17, x20
0xfffffff0089a3454: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a3458: 301ac1da  autda	x16, x17
0xfffffff0089a345c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a3460: e90310aa  mov	x9, x16
0xfffffff0089a3464: e00314aa  mov	x0, x20
0xfffffff0089a3468: f10309aa  mov	x17, x9
0xfffffff0089a346c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a3470: 11093fd7  blraa	x8, x17
0xfffffff0089a3474: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff0089a3478: 480300b4  cbz	x8, #0xfffffff0089a34e0
0xfffffff0089a347c: 68a240f9  ldr	x8, [x19, #0x140]
0xfffffff0089a3480: 080300b4  cbz	x8, #0xfffffff0089a34e0
0xfffffff0089a3484: 0047fff0  adrp	x0, #0xfffffff007286000
0xfffffff0089a3488: 00243c91  add	x0, x0, #0xf09
0xfffffff0089a348c: c117e697  bl	#0xfffffff008329390
0xfffffff0089a3490: f50300aa  mov	x21, x0
0xfffffff0089a3494: 0047fff0  adrp	x0, #0xfffffff007286000
0xfffffff0089a3498: 00343691  add	x0, x0, #0xd8d
0xfffffff0089a349c: bd17e697  bl	#0xfffffff008329390
0xfffffff0089a34a0: f40300aa  mov	x20, x0
0xfffffff0089a34a4: 750500b4  cbz	x21, #0xfffffff0089a3550
0xfffffff0089a34a8: 540500b4  cbz	x20, #0xfffffff0089a3550
0xfffffff0089a34ac: f5d303a9  stp	x21, x20, [sp, #0x38]
0xfffffff0089a34b0: 8884ffb0  adrp	x8, #0xfffffff007a34000
0xfffffff0089a34b4: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff0089a34b8: 080140f9  ldr	x8, [x8]
0xfffffff0089a34bc: 080140f9  ldr	x8, [x8]
0xfffffff0089a34c0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0089a34c4: e0a30091  add	x0, sp, #0x28
0xfffffff0089a34c8: e1e30091  add	x1, sp, #0x38
0xfffffff0089a34cc: 42008052  mov	w2, #2
0xfffffff0089a34d0: 03008052  mov	w3, #0
0xfffffff0089a34d4: 4437e597  bl	#0xfffffff0082f11e4
0xfffffff0089a34d8: 609600f9  str	x0, [x19, #0x128]
0xfffffff0089a34dc: 1e000014  b	#0xfffffff0089a3554
0xfffffff0089a34e0: 340340f9  ldr	x20, [x25]
0xfffffff0089a34e4: 54edffb4  cbz	x20, #0xfffffff0089a328c
0xfffffff0089a34e8: 758a40b9  ldr	w21, [x19, #0x88]
0xfffffff0089a34ec: 700240f9  ldr	x16, [x19]
0xfffffff0089a34f0: 101bc1da  autda	x16, x24
0xfffffff0089a34f4: 113d80d2  mov	x17, #0x1e8
0xfffffff0089a34f8: 1002118b  add	x16, x16, x17
0xfffffff0089a34fc: 080240f9  ldr	x8, [x16]
0xfffffff0089a3500: e90310aa  mov	x9, x16
0xfffffff0089a3504: e00313aa  mov	x0, x19
0xfffffff0089a3508: 010080d2  mov	x1, #0
0xfffffff0089a350c: f10309aa  mov	x17, x9
0xfffffff0089a3510: 9193e1f2  movk	x17, #0xc9c, lsl #48
