; Candidate 9844
; ADRP+ADD at VM 0xfffffff008b4fb18 (fileoff 0x1b4bb18): page=0x1795000 add_imm=0xd00

0xfffffff008b4fa98: 1400088b  add	x20, x0, x8
0xfffffff008b4fa9c: 68638752  mov	w8, #0x3b1b
0xfffffff008b4faa0: 1500088b  add	x21, x0, x8
0xfffffff008b4faa4: a1bc00b0  adrp	x1, #0xfffffff00a2e4000
0xfffffff008b4faa8: 21003491  add	x1, x1, #0xd00
0xfffffff008b4faac: 0fd1e097  bl	#0xfffffff008383ee8
0xfffffff008b4fab0: f079ffd0  adrp	x16, #0xfffffff007a8d000
0xfffffff008b4fab4: 10421191  add	x16, x16, #0x450
0xfffffff008b4fab8: 10420091  add	x16, x16, #0x10
0xfffffff008b4fabc: f10300aa  mov	x17, x0
0xfffffff008b4fac0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4fac4: 300ac1da  pacda	x16, x17
0xfffffff008b4fac8: 100000f9  str	x16, [x0]
0xfffffff008b4facc: 28008052  mov	w8, #1
0xfffffff008b4fad0: a8020039  strb	w8, [x21]
0xfffffff008b4fad4: bf2200b8  stur	wzr, [x21, #2]
0xfffffff008b4fad8: bf0e0079  strh	wzr, [x21, #6]
0xfffffff008b4fadc: 1f981df9  str	xzr, [x0, #0x3b30]
0xfffffff008b4fae0: 1f941df9  str	xzr, [x0, #0x3b28]
0xfffffff008b4fae4: e81e8092  mov	x8, #-0xf8
0xfffffff008b4fae8: 1f9c1df9  str	xzr, [x0, #0x3b38]
0xfffffff008b4faec: 6902088b  add	x9, x19, x8
0xfffffff008b4faf0: 3f1d1ef9  str	xzr, [x9, #0x3c38]
0xfffffff008b4faf4: 082100b1  adds	x8, x8, #8
0xfffffff008b4faf8: a1ffff54  b.ne	#0xfffffff008b4faec
0xfffffff008b4fafc: 9f020039  strb	wzr, [x20]
0xfffffff008b4fb00: 298e8752  mov	w9, #0x3c71
0xfffffff008b4fb04: 6902098b  add	x9, x19, x9
0xfffffff008b4fb08: 3f692838  strb	wzr, [x9, x8]
0xfffffff008b4fb0c: 08050091  add	x8, x8, #1
0xfffffff008b4fb10: 1f3d00f1  cmp	x8, #0xf
0xfffffff008b4fb14: a1ffff54  b.ne	#0xfffffff008b4fb08
0xfffffff008b4fb18: a0bc00b0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008b4fb1c: 00003491  add	x0, x0, #0xd00
0xfffffff008b4fb20: 8555de97  bl	#0xfffffff0082e5134
0xfffffff008b4fb24: e00313aa  mov	x0, x19
0xfffffff008b4fb28: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008b4fb2c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008b4fb30: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008b4fb34: ff0f5fd6  retab	
0xfffffff008b4fb38: 7f2303d5  pacibsp	
0xfffffff008b4fb3c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b4fb40: fd030091  mov	x29, sp
0xfffffff008b4fb44: e13eff90  adrp	x1, #0xfffffff00732b000
0xfffffff008b4fb48: 21300591  add	x1, x1, #0x14c
0xfffffff008b4fb4c: e279ffd0  adrp	x2, #0xfffffff007a8d000
0xfffffff008b4fb50: 427841f9  ldr	x2, [x2, #0x2f0]
0xfffffff008b4fb54: 03038052  mov	w3, #0x18
0xfffffff008b4fb58: f84fde97  bl	#0xfffffff0082e3b38
0xfffffff008b4fb5c: f079ffd0  adrp	x16, #0xfffffff007a8d000
0xfffffff008b4fb60: 10c22891  add	x16, x16, #0xa30
0xfffffff008b4fb64: 10420091  add	x16, x16, #0x10
0xfffffff008b4fb68: f10300aa  mov	x17, x0
0xfffffff008b4fb6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b4fb70: 300ac1da  pacda	x16, x17
0xfffffff008b4fb74: 100000f9  str	x16, [x0]
0xfffffff008b4fb78: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008b4fb7c: ff0f5fd6  retab	
0xfffffff008b4fb80: 7f2303d5  pacibsp	
0xfffffff008b4fb84: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008b4fb88: fd030091  mov	x29, sp
0xfffffff008b4fb8c: e13eff90  adrp	x1, #0xfffffff00732b000
0xfffffff008b4fb90: 21300591  add	x1, x1, #0x14c
0xfffffff008b4fb94: e279ffd0  adrp	x2, #0xfffffff007a8d000
