; Candidate 15646
; ADRP+ADD at VM 0xfffffff009c81e98 (fileoff 0x2c7de98): page=0x1fe076000 add_imm=0xdd8

0xfffffff009c81e18: 10221391  add	x16, x16, #0x4c8
0xfffffff009c81e1c: 10420091  add	x16, x16, #0x10
0xfffffff009c81e20: f10300aa  mov	x17, x0
0xfffffff009c81e24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c81e28: 300ac1da  pacda	x16, x17
0xfffffff009c81e2c: 100000f9  str	x16, [x0]
0xfffffff009c81e30: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c81e34: ff0f5fd6  retab	
0xfffffff009c81e38: 5f2403d5  bti	c
0xfffffff009c81e3c: 41089c17  b	#0xfffffff008383f40
0xfffffff009c81e40: 5f2403d5  bti	c
0xfffffff009c81e44: 3f089c17  b	#0xfffffff008383f40
0xfffffff009c81e48: 7f2303d5  pacibsp	
0xfffffff009c81e4c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c81e50: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c81e54: fd430091  add	x29, sp, #0x10
0xfffffff009c81e58: f30300aa  mov	x19, x0
0xfffffff009c81e5c: 39089c97  bl	#0xfffffff008383f40
0xfffffff009c81e60: a003ffd0  adrp	x0, #0xfffffff007cf7000
0xfffffff009c81e64: 00603791  add	x0, x0, #0xdd8
0xfffffff009c81e68: e10313aa  mov	x1, x19
0xfffffff009c81e6c: 02158052  mov	w2, #0xa8
0xfffffff009c81e70: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009c81e74: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009c81e78: ff2303d5  autibsp	
0xfffffff009c81e7c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009c81e80: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009c81e88
0xfffffff009c81e84: 208e38d4  brk	#0xc471
0xfffffff009c81e88: 05969917  b	#0xfffffff0082e769c
0xfffffff009c81e8c: 5f2403d5  bti	c
0xfffffff009c81e90: e20301aa  mov	x2, x1
0xfffffff009c81e94: e10300aa  mov	x1, x0
0xfffffff009c81e98: a003ffd0  adrp	x0, #0xfffffff007cf7000
0xfffffff009c81e9c: 00603791  add	x0, x0, #0xdd8
0xfffffff009c81ea0: ff959917  b	#0xfffffff0082e769c
0xfffffff009c81ea4: 5f2403d5  bti	c
0xfffffff009c81ea8: c03900d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009c81eac: 00401391  add	x0, x0, #0x4d0
0xfffffff009c81eb0: c0035fd6  ret	
0xfffffff009c81eb4: 7f2303d5  pacibsp	
0xfffffff009c81eb8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009c81ebc: fd030091  mov	x29, sp
0xfffffff009c81ec0: a1cefed0  adrp	x1, #0xfffffff007657000
0xfffffff009c81ec4: 21601a91  add	x1, x1, #0x698
0xfffffff009c81ec8: a203ffd0  adrp	x2, #0xfffffff007cf7000
0xfffffff009c81ecc: 423442f9  ldr	x2, [x2, #0x468]
0xfffffff009c81ed0: 03158052  mov	w3, #0xa8
0xfffffff009c81ed4: 19879997  bl	#0xfffffff0082e3b38
0xfffffff009c81ed8: b003ffd0  adrp	x16, #0xfffffff007cf7000
0xfffffff009c81edc: 10e22891  add	x16, x16, #0xa38
0xfffffff009c81ee0: 10420091  add	x16, x16, #0x10
0xfffffff009c81ee4: f10300aa  mov	x17, x0
0xfffffff009c81ee8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c81eec: 300ac1da  pacda	x16, x17
0xfffffff009c81ef0: 100000f9  str	x16, [x0]
0xfffffff009c81ef4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009c81ef8: ff0f5fd6  retab	
0xfffffff009c81efc: 7f2303d5  pacibsp	
0xfffffff009c81f00: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c81f04: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c81f08: fd430091  add	x29, sp, #0x10
0xfffffff009c81f0c: a003ffd0  adrp	x0, #0xfffffff007cf7000
0xfffffff009c81f10: 00603791  add	x0, x0, #0xdd8
0xfffffff009c81f14: 01158052  mov	w1, #0xa8
