; Candidate 6792
; ADRP+ADD at VM 0xfffffff008841ed8 (fileoff 0x183ded8): page=0x1fe9a8000 add_imm=0xe80

0xfffffff008841e58: f60300aa  mov	x22, x0
0xfffffff008841e5c: d4c80194  bl	#0xfffffff0088b41ac
0xfffffff008841e60: f50300aa  mov	x21, x0
0xfffffff008841e64: e0008052  mov	w0, #7
0xfffffff008841e68: 7ae60094  bl	#0xfffffff00887b850
0xfffffff008841e6c: d6010034  cbz	w22, #0xfffffff008841ea4
0xfffffff008841e70: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008841e74: 884eff90  adrp	x8, #0xfffffff007211000
0xfffffff008841e78: 09892291  add	x9, x8, #0x8a2
0xfffffff008841e7c: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841e80: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008841e84: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008841e88: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008841e8c: 480a8052  mov	w8, #0x52
0xfffffff008841e90: 604efff0  adrp	x0, #0xfffffff007210000
0xfffffff008841e94: 00dc2791  add	x0, x0, #0x9f7
0xfffffff008841e98: f52300a9  stp	x21, x8, [sp]
0xfffffff008841e9c: 71d5d597  bl	#0xfffffff007db7460
0xfffffff008841ea0: 16000014  b	#0xfffffff008841ef8
0xfffffff008841ea4: c2c80194  bl	#0xfffffff0088b41ac
0xfffffff008841ea8: f50300aa  mov	x21, x0
0xfffffff008841eac: e0008052  mov	w0, #7
0xfffffff008841eb0: 68e60094  bl	#0xfffffff00887b850
0xfffffff008841eb4: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008841eb8: 884eff90  adrp	x8, #0xfffffff007211000
0xfffffff008841ebc: 09892291  add	x9, x8, #0x8a2
0xfffffff008841ec0: 084fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008841ec4: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008841ec8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008841ecc: 480a8052  mov	w8, #0x52
0xfffffff008841ed0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008841ed4: f50300f9  str	x21, [sp]
0xfffffff008841ed8: 404dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008841edc: 00003a91  add	x0, x0, #0xe80
0xfffffff008841ee0: 218efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008841ee4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008841ee8: 6350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff008841eec: 63ac3091  add	x3, x3, #0xc2b
0xfffffff008841ef0: 02008052  mov	w2, #0
0xfffffff008841ef4: 8fc4eb97  bl	#0xfffffff008333130
0xfffffff008841ef8: 98128052  mov	w24, #0x94
0xfffffff008841efc: d874a572  movk	w24, #0x2ba6, lsl #16
0xfffffff008841f00: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff008841f04: 80128052  mov	w0, #0x94
0xfffffff008841f08: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff008841f0c: 01018052  mov	w1, #8
0xfffffff008841f10: 030080d2  mov	x3, #0
0xfffffff008841f14: 040080d2  mov	x4, #0
0xfffffff008841f18: 050080d2  mov	x5, #0
0xfffffff008841f1c: faefe497  bl	#0xfffffff00817df04
0xfffffff008841f20: e00313aa  mov	x0, x19
0xfffffff008841f24: e10314aa  mov	x1, x20
0xfffffff008841f28: fdfeff97  bl	#0xfffffff008841b1c
0xfffffff008841f2c: 60620591  add	x0, x19, #0x158
0xfffffff008841f30: 61220291  add	x1, x19, #0x88
0xfffffff008841f34: e20314aa  mov	x2, x20
0xfffffff008841f38: 4ab4ff97  bl	#0xfffffff00882f060
0xfffffff008841f3c: e0030034  cbz	w0, #0xfffffff008841fb8
0xfffffff008841f40: f50300aa  mov	x21, x0
0xfffffff008841f44: 400a8052  mov	w0, #0x52
0xfffffff008841f48: 81008052  mov	w1, #4
0xfffffff008841f4c: 21e60094  bl	#0xfffffff00887b7d0
0xfffffff008841f50: 20070034  cbz	w0, #0xfffffff008842034
0xfffffff008841f54: 400a8052  mov	w0, #0x52
