; Candidate 4693
; ADRP+ADD at VM 0xfffffff0087c2c50 (fileoff 0x17bec50): page=0x1fe96f000 add_imm=0xd90

0xfffffff0087c2bd0: a0930035  cbnz	w0, #0xfffffff0087c3e44
0xfffffff0087c2bd4: e9a34729  ldp	w9, w8, [sp, #0x3c]
0xfffffff0087c2bd8: 1401094b  sub	w20, w8, w9
0xfffffff0087c2bdc: 68867cb9  ldr	w8, [x19, #0x3c84]
0xfffffff0087c2be0: 08010034  cbz	w8, #0xfffffff0087c2c00
0xfffffff0087c2be4: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff0087c2be8: e1230291  add	x1, sp, #0x88
0xfffffff0087c2bec: 02388052  mov	w2, #0x1c0
0xfffffff0087c2bf0: a172db97  bl	#0xfffffff007e9f674
0xfffffff0087c2bf4: 60000034  cbz	w0, #0xfffffff0087c2c00
0xfffffff0087c2bf8: 28008052  mov	w8, #1
0xfffffff0087c2bfc: 688a3cb9  str	w8, [x19, #0x3c88]
0xfffffff0087c2c00: 88721d53  lsl	w8, w20, #3
0xfffffff0087c2c04: e94740b9  ldr	w9, [sp, #0x44]
0xfffffff0087c2c08: 1401094b  sub	w20, w8, w9
0xfffffff0087c2c0c: 683a70b9  ldr	w8, [x19, #0x3038]
0xfffffff0087c2c10: a8000035  cbnz	w8, #0xfffffff0087c2c24
0xfffffff0087c2c14: 602e40f9  ldr	x0, [x19, #0x58]
0xfffffff0087c2c18: e1230291  add	x1, sp, #0x88
0xfffffff0087c2c1c: 02dd8052  mov	w2, #0x6e8
0xfffffff0087c2c20: 5c27d697  bl	#0xfffffff007d4c990
0xfffffff0087c2c24: 28008052  mov	w8, #1
0xfffffff0087c2c28: 68863cb9  str	w8, [x19, #0x3c84]
0xfffffff0087c2c2c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c2c30: 0801140b  add	w8, w8, w20
0xfffffff0087c2c34: e903084b  neg	w9, w8
0xfffffff0087c2c38: 3f090072  tst	w9, #7
0xfffffff0087c2c3c: e0010054  b.eq	#0xfffffff0087c2c78
0xfffffff0087c2c40: c9648052  mov	w9, #0x326
0xfffffff0087c2c44: e84cffb0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c2c48: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c2c4c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c2c50: 604bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087c2c54: 00403691  add	x0, x0, #0xd90
0xfffffff0087c2c58: c191fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c2c5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c2c60: 02008052  mov	w2, #0
0xfffffff0087c2c64: 634cff90  adrp	x3, #0xfffffff00714e000
0xfffffff0087c2c68: 632c1791  add	x3, x3, #0x5cb
0xfffffff0087c2c6c: 31c1ed97  bl	#0xfffffff008333130
0xfffffff0087c2c70: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087c2c74: 0801140b  add	w8, w8, w20
0xfffffff0087c2c78: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff0087c2c7c: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff0087c2c80: 29010a4b  sub	w9, w9, w10
0xfffffff0087c2c84: 29711d53  lsl	w9, w9, #3
0xfffffff0087c2c88: 2801084b  sub	w8, w9, w8
0xfffffff0087c2c8c: 0a7d0353  lsr	w10, w8, #3
0xfffffff0087c2c90: 688a7cb9  ldr	w8, [x19, #0x3c88]
0xfffffff0087c2c94: c8000034  cbz	w8, #0xfffffff0087c2cac
0xfffffff0087c2c98: 683a70b9  ldr	w8, [x19, #0x3038]
0xfffffff0087c2c9c: c8af0035  cbnz	w8, #0xfffffff0087c4294
0xfffffff0087c2ca0: e96f40b9  ldr	w9, [sp, #0x6c]
0xfffffff0087c2ca4: 89000036  tbz	w9, #0, #0xfffffff0087c2cb4
0xfffffff0087c2ca8: 7b050014  b	#0xfffffff0087c4294
0xfffffff0087c2cac: e86f40b9  ldr	w8, [sp, #0x6c]
0xfffffff0087c2cb0: 08b50037  tbnz	w8, #0, #0xfffffff0087c4350
0xfffffff0087c2cb4: 17008052  mov	w23, #0
0xfffffff0087c2cb8: 8c030014  b	#0xfffffff0087c3ae8
0xfffffff0087c2cbc: 14008012  mov	w20, #-1
0xfffffff0087c2cc0: e00313aa  mov	x0, x19
0xfffffff0087c2cc4: e14cffb0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c2cc8: 21343091  add	x1, x1, #0xc0d
0xfffffff0087c2ccc: 02018052  mov	w2, #8
