; Candidate 5789
; ADRP+ADD at VM 0xfffffff008804168 (fileoff 0x1800168): page=0x1fe9e5000 add_imm=0xe80

0xfffffff0088040e8: 20060034  cbz	w0, #0xfffffff0088041ac
0xfffffff0088040ec: e00313aa  mov	x0, x19
0xfffffff0088040f0: cadd0194  bl	#0xfffffff00887b818
0xfffffff0088040f4: f501f837  tbnz	w21, #0x1f, #0xfffffff008804130
0xfffffff0088040f8: b6021b12  and	w22, w21, #0x20
0xfffffff0088040fc: 18000052  eor	w24, w0, #1
0xfffffff008804100: 2bc00294  bl	#0xfffffff0088b41ac
0xfffffff008804104: f70300aa  mov	x23, x0
0xfffffff008804108: e00314aa  mov	x0, x20
0xfffffff00880410c: d1dd0194  bl	#0xfffffff00887b850
0xfffffff008804110: 0817562a  orr	w8, w24, w22, lsr #5
0xfffffff008804114: c8010037  tbnz	w8, #0, #0xfffffff00880414c
0xfffffff008804118: e80313aa  mov	x8, x19
0xfffffff00880411c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008804120: f70300f9  str	x23, [sp]
0xfffffff008804124: 8050fff0  adrp	x0, #0xfffffff007217000
0xfffffff008804128: 005c0e91  add	x0, x0, #0x397
0xfffffff00880412c: 06000014  b	#0xfffffff008804144
0xfffffff008804130: e0020034  cbz	w0, #0xfffffff00880418c
0xfffffff008804134: e803154b  neg	w8, w21
0xfffffff008804138: a8022837  tbnz	w8, #5, #0xfffffff00880418c
0xfffffff00880413c: 8050fff0  adrp	x0, #0xfffffff007217000
0xfffffff008804140: 00540e91  add	x0, x0, #0x395
0xfffffff008804144: c7ccd697  bl	#0xfffffff007db7460
0xfffffff008804148: 19000014  b	#0xfffffff0088041ac
0xfffffff00880414c: 18c00294  bl	#0xfffffff0088b41ac
0xfffffff008804150: f70300aa  mov	x23, x0
0xfffffff008804154: e00314aa  mov	x0, x20
0xfffffff008804158: bedd0194  bl	#0xfffffff00887b850
0xfffffff00880415c: e80313aa  mov	x8, x19
0xfffffff008804160: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008804164: f70300f9  str	x23, [sp]
0xfffffff008804168: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880416c: 00003a91  add	x0, x0, #0xe80
0xfffffff008804170: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804174: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008804178: 0352ff90  adrp	x3, #0xfffffff007244000
0xfffffff00880417c: 63583f91  add	x3, x3, #0xfd6
0xfffffff008804180: 02008052  mov	w2, #0
0xfffffff008804184: ebbbec97  bl	#0xfffffff008333130
0xfffffff008804188: 09000014  b	#0xfffffff0088041ac
0xfffffff00880418c: 204fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008804190: 00003a91  add	x0, x0, #0xe80
0xfffffff008804194: 2190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008804198: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880419c: 0352ff90  adrp	x3, #0xfffffff007244000
0xfffffff0088041a0: 63543f91  add	x3, x3, #0xfd5
0xfffffff0088041a4: 02008052  mov	w2, #0
0xfffffff0088041a8: e2bbec97  bl	#0xfffffff008333130
0xfffffff0088041ac: 68bb4391  add	x8, x27, #0xee, lsl #12
0xfffffff0088041b0: 00e12991  add	x0, x8, #0xa78
0xfffffff0088041b4: e10313aa  mov	x1, x19
0xfffffff0088041b8: e20315aa  mov	x2, x21
0xfffffff0088041bc: 030080d2  mov	x3, #0
0xfffffff0088041c0: 04008052  mov	w4, #0
0xfffffff0088041c4: faab0094  bl	#0xfffffff00882f1ac
0xfffffff0088041c8: e00313aa  mov	x0, x19
0xfffffff0088041cc: e10314aa  mov	x1, x20
0xfffffff0088041d0: 80dd0194  bl	#0xfffffff00887b7d0
0xfffffff0088041d4: 20060034  cbz	w0, #0xfffffff008804298
0xfffffff0088041d8: e00313aa  mov	x0, x19
0xfffffff0088041dc: 8fdd0194  bl	#0xfffffff00887b818
0xfffffff0088041e0: f501f837  tbnz	w21, #0x1f, #0xfffffff00880421c
0xfffffff0088041e4: b6021b12  and	w22, w21, #0x20
