; Candidate 659
; ADRP+ADD at VM 0xfffffff00800d6ec (fileoff 0x10096ec): page=0x1ff968000 add_imm=0xdf0

0xfffffff00800d66c: e00315aa  mov	x0, x21
0xfffffff00800d670: 67f1f797  bl	#0xfffffff007e09c0c
0xfffffff00800d674: 880240f9  ldr	x8, [x20]
0xfffffff00800d678: e10314aa  mov	x1, x20
0xfffffff00800d67c: 28feffb5  cbnz	x8, #0xfffffff00800d640
0xfffffff00800d680: 02000014  b	#0xfffffff00800d688
0xfffffff00800d684: f40301aa  mov	x20, x1
0xfffffff00800d688: 880640f9  ldr	x8, [x20, #8]
0xfffffff00800d68c: 090140f9  ldr	x9, [x8]
0xfffffff00800d690: 3f0114eb  cmp	x9, x20
0xfffffff00800d694: 61070054  b.ne	#0xfffffff00800d780
0xfffffff00800d698: 1f0100f9  str	xzr, [x8]
0xfffffff00800d69c: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800d6a0: 00c03891  add	x0, x0, #0xe30
0xfffffff00800d6a4: e10314aa  mov	x1, x20
0xfffffff00800d6a8: 59f1f797  bl	#0xfffffff007e09c0c
0xfffffff00800d6ac: 74420091  add	x20, x19, #0x10
0xfffffff00800d6b0: e00314aa  mov	x0, x20
0xfffffff00800d6b4: bf80f697  bl	#0xfffffff007dad9b0
0xfffffff00800d6b8: e00314aa  mov	x0, x20
0xfffffff00800d6bc: db83f697  bl	#0xfffffff007dae628
0xfffffff00800d6c0: 810d01b0  adrp	x1, #0xfffffff00a1be000
0xfffffff00800d6c4: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800d6c8: e00314aa  mov	x0, x20
0xfffffff00800d6cc: d07ef697  bl	#0xfffffff007dad20c
0xfffffff00800d6d0: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff00800d6d4: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800d6d8: 02610391  add	x2, x8, #0xd8
0xfffffff00800d6dc: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff00800d6e0: 00cbffd0  adrp	x0, #0xfffffff00796f000
0xfffffff00800d6e4: 00201a91  add	x0, x0, #0x688
0xfffffff00800d6e8: e164f697  bl	#0xfffffff007da6a6c
0xfffffff00800d6ec: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800d6f0: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800d6f4: e10313aa  mov	x1, x19
0xfffffff00800d6f8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00800d6fc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00800d700: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00800d704: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00800d708: ff830191  add	sp, sp, #0x60
0xfffffff00800d70c: ff2303d5  autibsp	
0xfffffff00800d710: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00800d714: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00800d71c
0xfffffff00800d718: 208e38d4  brk	#0xc471
0xfffffff00800d71c: 3cf1f717  b	#0xfffffff007e09c0c
0xfffffff00800d720: 88648052  mov	w8, #0x324
0xfffffff00800d724: e982ffb0  adrp	x9, #0xfffffff00706a000
0xfffffff00800d728: 29953191  add	x9, x9, #0xc65
0xfffffff00800d72c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00800d730: f42300a9  stp	x20, x8, [sp]
0xfffffff00800d734: 4084ffb0  adrp	x0, #0xfffffff007096000
0xfffffff00800d738: 00502c91  add	x0, x0, #0xb14
0xfffffff00800d73c: 741b1294  bl	#0xfffffff00849450c
0xfffffff00800d740: 88648052  mov	w8, #0x324
0xfffffff00800d744: e982ffb0  adrp	x9, #0xfffffff00706a000
0xfffffff00800d748: 29953191  add	x9, x9, #0xc65
0xfffffff00800d74c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00800d750: f42300a9  stp	x20, x8, [sp]
0xfffffff00800d754: 4084ffb0  adrp	x0, #0xfffffff007096000
0xfffffff00800d758: 00982b91  add	x0, x0, #0xae6
0xfffffff00800d75c: 6c1b1294  bl	#0xfffffff00849450c
0xfffffff00800d760: 88658052  mov	w8, #0x32c
0xfffffff00800d764: e982ffb0  adrp	x9, #0xfffffff00706a000
0xfffffff00800d768: 29953191  add	x9, x9, #0xc65
