; Candidate 6797
; ADRP+ADD at VM 0xfffffff0088423f8 (fileoff 0x183e3f8): page=0x1fe9a7000 add_imm=0xe80

0xfffffff008842378: 400a8052  mov	w0, #0x52
0xfffffff00884237c: 27e50094  bl	#0xfffffff00887b818
0xfffffff008842380: f50300aa  mov	x21, x0
0xfffffff008842384: 8ac70194  bl	#0xfffffff0088b41ac
0xfffffff008842388: f40300aa  mov	x20, x0
0xfffffff00884238c: 00018052  mov	w0, #8
0xfffffff008842390: 30e50094  bl	#0xfffffff00887b850
0xfffffff008842394: b5010034  cbz	w21, #0xfffffff0088423c8
0xfffffff008842398: 884eff90  adrp	x8, #0xfffffff007212000
0xfffffff00884239c: 08a92f91  add	x8, x8, #0xbea
0xfffffff0088423a0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088423a4: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088423a8: 08d92b91  add	x8, x8, #0xaf6
0xfffffff0088423ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088423b0: 480a8052  mov	w8, #0x52
0xfffffff0088423b4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088423b8: 604effd0  adrp	x0, #0xfffffff007210000
0xfffffff0088423bc: 008c2c91  add	x0, x0, #0xb23
0xfffffff0088423c0: 28d4d597  bl	#0xfffffff007db7460
0xfffffff0088423c4: 15000014  b	#0xfffffff008842418
0xfffffff0088423c8: 79c70194  bl	#0xfffffff0088b41ac
0xfffffff0088423cc: f40300aa  mov	x20, x0
0xfffffff0088423d0: 00018052  mov	w0, #8
0xfffffff0088423d4: 1fe50094  bl	#0xfffffff00887b850
0xfffffff0088423d8: 884eff90  adrp	x8, #0xfffffff007212000
0xfffffff0088423dc: 08a92f91  add	x8, x8, #0xbea
0xfffffff0088423e0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088423e4: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088423e8: 08d92b91  add	x8, x8, #0xaf6
0xfffffff0088423ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088423f0: 480a8052  mov	w8, #0x52
0xfffffff0088423f4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088423f8: 204dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088423fc: 00003a91  add	x0, x0, #0xe80
0xfffffff008842400: 218effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008842404: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008842408: 6350ffb0  adrp	x3, #0xfffffff00724f000
0xfffffff00884240c: 63ec3391  add	x3, x3, #0xcfb
0xfffffff008842410: 02008052  mov	w2, #0
0xfffffff008842414: 47c3eb97  bl	#0xfffffff008333130
0xfffffff008842418: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff00884241c: 08050091  add	x8, x8, #1
0xfffffff008842420: 683a00f9  str	x8, [x19, #0x70]
0xfffffff008842424: 603240f9  ldr	x0, [x19, #0x60]
0xfffffff008842428: ebc50194  bl	#0xfffffff0088b3bd4
0xfffffff00884242c: 77220291  add	x23, x19, #0x88
0xfffffff008842430: 61620291  add	x1, x19, #0x98
0xfffffff008842434: e00317aa  mov	x0, x23
0xfffffff008842438: 657fff97  bl	#0xfffffff0088221cc
0xfffffff00884243c: e00313aa  mov	x0, x19
0xfffffff008842440: fbe4ff97  bl	#0xfffffff00883b82c
0xfffffff008842444: e00313aa  mov	x0, x19
0xfffffff008842448: ade5ff97  bl	#0xfffffff00883bafc
0xfffffff00884244c: 68be40b9  ldr	w8, [x19, #0xbc]
0xfffffff008842450: 1f050071  cmp	w8, #1
0xfffffff008842454: 0b020054  b.lt	#0xfffffff008842494
0xfffffff008842458: 150080d2  mov	x21, #0
0xfffffff00884245c: 14008052  mov	w20, #0
0xfffffff008842460: 76020391  add	x22, x19, #0xc0
0xfffffff008842464: c07a75f8  ldr	x0, [x22, x21, lsl #3]
0xfffffff008842468: dba60094  bl	#0xfffffff00886bfd4
0xfffffff00884246c: 94000034  cbz	w20, #0xfffffff00884247c
0xfffffff008842470: 1f000071  cmp	w0, #0
0xfffffff008842474: 8412407a  ccmp	w20, w0, #4, ne
