; Candidate 12726
; ADRP+ADD at VM 0xfffffff0091326cc (fileoff 0x212e6cc): page=0x1fe34c000 add_imm=0xd97

0xfffffff00913264c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009132650: ff0f5fd6  retab	
0xfffffff009132654: 63600094  bl	#0xfffffff00914a7e0
0xfffffff009132658: 7f2303d5  pacibsp	
0xfffffff00913265c: ff0301d1  sub	sp, sp, #0x40
0xfffffff009132660: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009132664: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009132668: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00913266c: fdc30091  add	x29, sp, #0x30
0xfffffff009132670: 550040f9  ldr	x21, [x2]
0xfffffff009132674: f50700f9  str	x21, [sp, #8]
0xfffffff009132678: 086040b9  ldr	w8, [x0, #0x60]
0xfffffff00913267c: 1f01356b  cmp	w8, w21, uxtb
0xfffffff009132680: 21020054  b.ne	#0xfffffff0091326c4
0xfffffff009132684: f30300aa  mov	x19, x0
0xfffffff009132688: 015c40f9  ldr	x1, [x0, #0xb8]
0xfffffff00913268c: 410e00b4  cbz	x1, #0xfffffff009132854
0xfffffff009132690: b45e1053  ubfx	w20, w21, #0x10, #8
0xfffffff009132694: 54020037  tbnz	w20, #0, #0xfffffff0091326dc
0xfffffff009132698: 887e0153  lsr	w8, w20, #1
0xfffffff00913269c: 1f290071  cmp	w8, #0xa
0xfffffff0091326a0: c1080054  b.ne	#0xfffffff0091327b8
0xfffffff0091326a4: 88020032  orr	w8, w20, #1
0xfffffff0091326a8: e82b0039  strb	w8, [sp, #0xa]
0xfffffff0091326ac: 626240f9  ldr	x2, [x19, #0xc0]
0xfffffff0091326b0: e00313aa  mov	x0, x19
0xfffffff0091326b4: 90030094  bl	#0xfffffff0091334f4
0xfffffff0091326b8: a0090034  cbz	w0, #0xfffffff0091327ec
0xfffffff0091326bc: ff2f0039  strb	wzr, [sp, #0xb]
0xfffffff0091326c0: 4d000014  b	#0xfffffff0091327f4
0xfffffff0091326c4: a81e0012  and	w8, w21, #0xff
0xfffffff0091326c8: e80300f9  str	x8, [sp]
0xfffffff0091326cc: 601aff90  adrp	x0, #0xfffffff00747e000
0xfffffff0091326d0: 005c3691  add	x0, x0, #0xd97
0xfffffff0091326d4: 5392c897  bl	#0xfffffff008357020
0xfffffff0091326d8: 55000014  b	#0xfffffff00913282c
0xfffffff0091326dc: a8fe48d3  lsr	x8, x21, #8
0xfffffff0091326e0: 603e40f9  ldr	x0, [x19, #0x78]
0xfffffff0091326e4: 100040f9  ldr	x16, [x0]
0xfffffff0091326e8: f10300aa  mov	x17, x0
0xfffffff0091326ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091326f0: 301ac1da  autda	x16, x17
0xfffffff0091326f4: 090e4cf8  ldr	x9, [x16, #0xc0]!
0xfffffff0091326f8: ea0310aa  mov	x10, x16
0xfffffff0091326fc: 011d0012  and	w1, w8, #0xff
0xfffffff009132700: f1030aaa  mov	x17, x10
0xfffffff009132704: 91e8f8f2  movk	x17, #0xc744, lsl #48
0xfffffff009132708: 31093fd7  blraa	x9, x17
0xfffffff00913270c: 600600b4  cbz	x0, #0xfffffff0091327d8
0xfffffff009132710: f40300aa  mov	x20, x0
0xfffffff009132714: 08804039  ldrb	w8, [x0, #0x20]
0xfffffff009132718: 48090034  cbz	w8, #0xfffffff009132840
0xfffffff00913271c: 9f820039  strb	wzr, [x20, #0x20]
0xfffffff009132720: 881640f9  ldr	x8, [x20, #0x28]
0xfffffff009132724: 150100f9  str	x21, [x8]
0xfffffff009132728: 700240f9  ldr	x16, [x19]
0xfffffff00913272c: f10313aa  mov	x17, x19
0xfffffff009132730: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009132734: 301ac1da  autda	x16, x17
0xfffffff009132738: 112480d2  mov	x17, #0x120
0xfffffff00913273c: 1002118b  add	x16, x16, x17
0xfffffff009132740: 080240f9  ldr	x8, [x16]
0xfffffff009132744: e90310aa  mov	x9, x16
0xfffffff009132748: e00313aa  mov	x0, x19
