; Candidate 4921
; ADRP+ADD at VM 0xfffffff0087cd2fc (fileoff 0x17c92fc): page=0x1fea1c000 add_imm=0xe80

0xfffffff0087cd27c: e1008052  mov	w1, #7
0xfffffff0087cd280: 54b90294  bl	#0xfffffff00887b7d0
0xfffffff0087cd284: c01b0034  cbz	w0, #0xfffffff0087cd5fc
0xfffffff0087cd288: a00f8052  mov	w0, #0x7d
0xfffffff0087cd28c: 63b90294  bl	#0xfffffff00887b818
0xfffffff0087cd290: f40300aa  mov	x20, x0
0xfffffff0087cd294: c69b0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd298: f50300aa  mov	x21, x0
0xfffffff0087cd29c: e0008052  mov	w0, #7
0xfffffff0087cd2a0: 6cb90294  bl	#0xfffffff00887b850
0xfffffff0087cd2a4: 74180034  cbz	w20, #0xfffffff0087cd5b0
0xfffffff0087cd2a8: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cd2ac: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cd2b0: 6a6b4bb9  ldr	w10, [x27, #0xb68]
0xfffffff0087cd2b4: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087cd2b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cd2bc: a80f8052  mov	w8, #0x7d
0xfffffff0087cd2c0: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cd2c4: 0052fff0  adrp	x0, #0xfffffff007210000
0xfffffff0087cd2c8: 00501e91  add	x0, x0, #0x794
0xfffffff0087cd2cc: 65a8d797  bl	#0xfffffff007db7460
0xfffffff0087cd2d0: cb000014  b	#0xfffffff0087cd5fc
0xfffffff0087cd2d4: b69b0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd2d8: f40300aa  mov	x20, x0
0xfffffff0087cd2dc: e0008052  mov	w0, #7
0xfffffff0087cd2e0: 5cb90294  bl	#0xfffffff00887b850
0xfffffff0087cd2e4: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cd2e8: 490b40b9  ldr	w9, [x26, #8]
0xfffffff0087cd2ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087cd2f0: a80f8052  mov	w8, #0x7d
0xfffffff0087cd2f4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd2f8: f40300f9  str	x20, [sp]
0xfffffff0087cd2fc: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd300: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd304: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd308: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd30c: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd310: 63301f91  add	x3, x3, #0x7cc
0xfffffff0087cd314: 02008052  mov	w2, #0
0xfffffff0087cd318: 8697ed97  bl	#0xfffffff008333130
0xfffffff0087cd31c: 45fdff17  b	#0xfffffff0087cc830
0xfffffff0087cd320: a39b0394  bl	#0xfffffff0088b41ac
0xfffffff0087cd324: f40300aa  mov	x20, x0
0xfffffff0087cd328: e0008052  mov	w0, #7
0xfffffff0087cd32c: 49b90294  bl	#0xfffffff00887b850
0xfffffff0087cd330: 680740b9  ldr	w8, [x27, #4]
0xfffffff0087cd334: 69734bb9  ldr	w9, [x27, #0xb70]
0xfffffff0087cd338: 08050051  sub	w8, w8, #1
0xfffffff0087cd33c: 2801080a  and	w8, w9, w8
0xfffffff0087cd340: 693351f9  ldr	x9, [x27, #0x2260]
0xfffffff0087cd344: 6a1b40b9  ldr	w10, [x27, #0x18]
0xfffffff0087cd348: 4b0b40b9  ldr	w11, [x26, #8]
0xfffffff0087cd34c: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff0087cd350: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0087cd354: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0087cd358: a80f8052  mov	w8, #0x7d
0xfffffff0087cd35c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087cd360: f40300f9  str	x20, [sp]
0xfffffff0087cd364: e050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cd368: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cd36c: c191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cd370: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cd374: 6353ff90  adrp	x3, #0xfffffff007239000
0xfffffff0087cd378: 63382091  add	x3, x3, #0x80e
