; Candidate 15004
; ADRP+ADD at VM 0xfffffff009a29558 (fileoff 0x2a25558): page=0x1fe27d000 add_imm=0xd40

0xfffffff009a294d8: 030a8052  mov	w3, #0x50
0xfffffff009a294dc: 97e9a297  bl	#0xfffffff0082e3b38
0xfffffff009a294e0: d013ffb0  adrp	x16, #0xfffffff007ca2000
0xfffffff009a294e4: 10a23191  add	x16, x16, #0xc68
0xfffffff009a294e8: 10420091  add	x16, x16, #0x10
0xfffffff009a294ec: f10300aa  mov	x17, x0
0xfffffff009a294f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a294f4: 300ac1da  pacda	x16, x17
0xfffffff009a294f8: 100000f9  str	x16, [x0]
0xfffffff009a294fc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a29500: ff0f5fd6  retab	
0xfffffff009a29504: 5f2403d5  bti	c
0xfffffff009a29508: 604c00d0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a2950c: 00600f91  add	x0, x0, #0x3d8
0xfffffff009a29510: 79eca217  b	#0xfffffff0082e46f4
0xfffffff009a29514: 5f2403d5  bti	c
0xfffffff009a29518: cefdff17  b	#0xfffffff009a28c50
0xfffffff009a2951c: 5f2403d5  bti	c
0xfffffff009a29520: 604c00d0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a29524: 00401691  add	x0, x0, #0x590
0xfffffff009a29528: c0035fd6  ret	
0xfffffff009a2952c: 7f2303d5  pacibsp	
0xfffffff009a29530: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff009a29534: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009a29538: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009a2953c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009a29540: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009a29544: fd030191  add	x29, sp, #0x40
0xfffffff009a29548: f70303aa  mov	x23, x3
0xfffffff009a2954c: f50302aa  mov	x21, x2
0xfffffff009a29550: f60301aa  mov	x22, x1
0xfffffff009a29554: f40300aa  mov	x20, x0
0xfffffff009a29558: e013ffb0  adrp	x0, #0xfffffff007ca6000
0xfffffff009a2955c: 00003591  add	x0, x0, #0xd40
0xfffffff009a29560: e5b3a497  bl	#0xfffffff0083564f4
0xfffffff009a29564: 200e00b4  cbz	x0, #0xfffffff009a29728
0xfffffff009a29568: f30300aa  mov	x19, x0
0xfffffff009a2956c: 171000b9  str	w23, [x0, #0x10]
0xfffffff009a29570: 1f7c00a9  stp	xzr, xzr, [x0]
0xfffffff009a29574: 160c00f9  str	x22, [x0, #0x18]
0xfffffff009a29578: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff009a2957c: e90ac81a  udiv	w9, w23, w8
0xfffffff009a29580: 37dd081b  msub	w23, w9, w8, w23
0xfffffff009a29584: 800640f9  ldr	x0, [x20, #8]
0xfffffff009a29588: dab8a497  bl	#0xfffffff0083578f0
0xfffffff009a2958c: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff009a29590: 1851378b  add	x24, x8, w23, uxtw #4
0xfffffff009a29594: 190340f9  ldr	x25, [x24]
0xfffffff009a29598: d90b00b4  cbz	x25, #0xfffffff009a29710
0xfffffff009a2959c: 370f40f9  ldr	x23, [x25, #0x18]
0xfffffff009a295a0: 970b00b4  cbz	x23, #0xfffffff009a29710
0xfffffff009a295a4: e00317aa  mov	x0, x23
0xfffffff009a295a8: ab6da597  bl	#0xfffffff008384c54
0xfffffff009a295ac: 000b0037  tbnz	w0, #0, #0xfffffff009a2970c
0xfffffff009a295b0: f00240f9  ldr	x16, [x23]
0xfffffff009a295b4: f10317aa  mov	x17, x23
0xfffffff009a295b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a295bc: 301ac1da  autda	x16, x17
0xfffffff009a295c0: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009a295c4: e90310aa  mov	x9, x16
0xfffffff009a295c8: e00317aa  mov	x0, x23
0xfffffff009a295cc: f10309aa  mov	x17, x9
0xfffffff009a295d0: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009a295d4: 11093fd7  blraa	x8, x17
