; Candidate 2091
; ADRP+ADD at VM 0xfffffff008552e6c (fileoff 0x154ee6c): page=0x1feb8f000 add_imm=0xe53

0xfffffff008552dec: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008552df0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008552df4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008552df8: ff0f5fd6  retab	
0xfffffff008552dfc: 5f2403d5  bti	c
0xfffffff008552e00: 010400f9  str	x1, [x0, #8]
0xfffffff008552e04: 027c00b9  str	w2, [x0, #0x7c]
0xfffffff008552e08: 20008052  mov	w0, #1
0xfffffff008552e0c: c0035fd6  ret	
0xfffffff008552e10: 7f2303d5  pacibsp	
0xfffffff008552e14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008552e18: fd030091  mov	x29, sp
0xfffffff008552e1c: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552e20: 00603791  add	x0, x0, #0xdd8
0xfffffff008552e24: 0559f797  bl	#0xfffffff008329238
0xfffffff008552e28: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552e2c: 004503f9  str	x0, [x8, #0x688]
0xfffffff008552e30: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552e34: 00083891  add	x0, x0, #0xe02
0xfffffff008552e38: 0059f797  bl	#0xfffffff008329238
0xfffffff008552e3c: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552e40: 004903f9  str	x0, [x8, #0x690]
0xfffffff008552e44: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552e48: 00883891  add	x0, x0, #0xe22
0xfffffff008552e4c: fb58f797  bl	#0xfffffff008329238
0xfffffff008552e50: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552e54: 004d03f9  str	x0, [x8, #0x698]
0xfffffff008552e58: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552e5c: 00e43891  add	x0, x0, #0xe39
0xfffffff008552e60: f658f797  bl	#0xfffffff008329238
0xfffffff008552e64: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552e68: 005103f9  str	x0, [x8, #0x6a0]
0xfffffff008552e6c: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552e70: 004c3991  add	x0, x0, #0xe53
0xfffffff008552e74: f158f797  bl	#0xfffffff008329238
0xfffffff008552e78: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552e7c: 005503f9  str	x0, [x8, #0x6a8]
0xfffffff008552e80: 605cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff008552e84: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008552e88: ec58f797  bl	#0xfffffff008329238
0xfffffff008552e8c: 28ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff008552e90: 005903f9  str	x0, [x8, #0x6b0]
0xfffffff008552e94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008552e98: ff0f5fd6  retab	
0xfffffff008552e9c: 7f2303d5  pacibsp	
0xfffffff008552ea0: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008552ea4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008552ea8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008552eac: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008552eb0: fdc30091  add	x29, sp, #0x30
0xfffffff008552eb4: f30300aa  mov	x19, x0
0xfffffff008552eb8: 140440f9  ldr	x20, [x0, #8]
0xfffffff008552ebc: 08a2fff0  adrp	x8, #0xfffffff007995000
0xfffffff008552ec0: 08dd44f9  ldr	x8, [x8, #0x9b8]
0xfffffff008552ec4: 140800f9  str	x20, [x0, #0x10]
0xfffffff008552ec8: 080140b9  ldr	w8, [x8]
0xfffffff008552ecc: 29008052  mov	w9, #1
0xfffffff008552ed0: 2821c81a  lsl	w8, w9, w8
0xfffffff008552ed4: 89a240f9  ldr	x9, [x20, #0x140]
0xfffffff008552ed8: 025800b9  str	w2, [x0, #0x58]
0xfffffff008552edc: ea03012a  mov	w10, w1
0xfffffff008552ee0: 4afd0091  add	x10, x10, #0x3f
0xfffffff008552ee4: 4a697a92  and	x10, x10, #0x1ffffffc0
0xfffffff008552ee8: 0a2800f9  str	x10, [x0, #0x50]
