; Candidate 7088
; ADRP+ADD at VM 0xfffffff00885684c (fileoff 0x185284c): page=0x1fe993000 add_imm=0xe80

0xfffffff0088567cc: 37020034  cbz	w23, #0xfffffff008856810
0xfffffff0088567d0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088567d4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088567d8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088567dc: 884eff90  adrp	x8, #0xfffffff007226000
0xfffffff0088567e0: 09152e91  add	x9, x8, #0xb85
0xfffffff0088567e4: 884effb0  adrp	x8, #0xfffffff007227000
0xfffffff0088567e8: 08811191  add	x8, x8, #0x460
0xfffffff0088567ec: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088567f0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088567f4: 880c8052  mov	w8, #0x64
0xfffffff0088567f8: e04dff90  adrp	x0, #0xfffffff007212000
0xfffffff0088567fc: 000c2191  add	x0, x0, #0x843
0xfffffff008856800: f62300a9  stp	x22, x8, [sp]
0xfffffff008856804: 1783d597  bl	#0xfffffff007db7460
0xfffffff008856808: 540300b5  cbnz	x20, #0xfffffff008856870
0xfffffff00885680c: 57000014  b	#0xfffffff008856968
0xfffffff008856810: 67760194  bl	#0xfffffff0088b41ac
0xfffffff008856814: f60300aa  mov	x22, x0
0xfffffff008856818: e0008052  mov	w0, #7
0xfffffff00885681c: 0d940094  bl	#0xfffffff00887b850
0xfffffff008856820: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008856824: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008856828: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885682c: 884eff90  adrp	x8, #0xfffffff007226000
0xfffffff008856830: 09152e91  add	x9, x8, #0xb85
0xfffffff008856834: 884effb0  adrp	x8, #0xfffffff007227000
0xfffffff008856838: 08811191  add	x8, x8, #0x460
0xfffffff00885683c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008856840: 880c8052  mov	w8, #0x64
0xfffffff008856844: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008856848: f60300f9  str	x22, [sp]
0xfffffff00885684c: 804cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008856850: 00003a91  add	x0, x0, #0xe80
0xfffffff008856854: 818dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008856858: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885685c: e34fffb0  adrp	x3, #0xfffffff007253000
0xfffffff008856860: 630c3791  add	x3, x3, #0xdc3
0xfffffff008856864: 02008052  mov	w2, #0
0xfffffff008856868: 3272eb97  bl	#0xfffffff008333130
0xfffffff00885686c: f40700b4  cbz	x20, #0xfffffff008856968
0xfffffff008856870: d50700b4  cbz	x21, #0xfffffff008856968
0xfffffff008856874: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff008856878: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff00885687c: 1f0d0071  cmp	w8, #3
0xfffffff008856880: 210b0054  b.ne	#0xfffffff0088569e4
0xfffffff008856884: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff008856888: 29008052  mov	w9, #1
0xfffffff00885688c: 2821c81a  lsl	w8, w9, w8
0xfffffff008856890: 0a208152  mov	w10, #0x900
0xfffffff008856894: 1f010a6a  tst	w8, w10
0xfffffff008856898: 2915899a  cinc	x9, x9, eq
0xfffffff00885689c: 0a5f8e52  mov	w10, #0x72f8
0xfffffff0088568a0: 6a00a072  movk	w10, #3, lsl #16
0xfffffff0088568a4: 1f010a6a  tst	w8, w10
0xfffffff0088568a8: 28019f9a  csel	x8, x9, xzr, eq
0xfffffff0088568ac: 880a088b  add	x8, x20, x8, lsl #2
0xfffffff0088568b0: 098d40b9  ldr	w9, [x8, #0x8c]
0xfffffff0088568b4: 087d40b9  ldr	w8, [x8, #0x7c]
0xfffffff0088568b8: 3f01086b  cmp	w9, w8
0xfffffff0088568bc: ca0d0054  b.ge	#0xfffffff008856a74
0xfffffff0088568c0: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff0088568c4: 881d0034  cbz	w8, #0xfffffff008856c74
0xfffffff0088568c8: 285341b9  ldr	w8, [x25, #0x150]
