; Candidate 3267
; ADRP+ADD at VM 0xfffffff0087275c0 (fileoff 0x17235c0): page=0x1fea0a000 add_imm=0xd90

0xfffffff008727540: 491d0054  b.ls	#0xfffffff0087278e8
0xfffffff008727544: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727548: 291d0d91  add	x9, x9, #0x347
0xfffffff00872754c: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008727550: e95701a9  stp	x9, x21, [sp, #0x10]
0xfffffff008727554: a8cf8152  mov	w8, #0xe7d
0xfffffff008727558: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff00872755c: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727560: e92300a9  stp	x9, x8, [sp]
0xfffffff008727564: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727568: 00403691  add	x0, x0, #0xd90
0xfffffff00872756c: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727570: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008727574: 8350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff008727578: 63243d91  add	x3, x3, #0xf49
0xfffffff00872757c: 02008052  mov	w2, #0
0xfffffff008727580: ec2ef097  bl	#0xfffffff008333130
0xfffffff008727584: 00008052  mov	w0, #0
0xfffffff008727588: 26010014  b	#0xfffffff008727a20
0xfffffff00872758c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008727590: 6851fff0  adrp	x8, #0xfffffff007156000
0xfffffff008727594: 08890b91  add	x8, x8, #0x2e2
0xfffffff008727598: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff00872759c: 29710b91  add	x9, x9, #0x2dc
0xfffffff0087275a0: 6a51fff0  adrp	x10, #0xfffffff007156000
0xfffffff0087275a4: 4add0c91  add	x10, x10, #0x337
0xfffffff0087275a8: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff0087275ac: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0087275b0: 88cc8152  mov	w8, #0xe64
0xfffffff0087275b4: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff0087275b8: 29b90a91  add	x9, x9, #0x2ae
0xfffffff0087275bc: e92300a9  stp	x9, x8, [sp]
0xfffffff0087275c0: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087275c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087275c8: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087275cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087275d0: 8350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff0087275d4: 63003b91  add	x3, x3, #0xec0
0xfffffff0087275d8: 02008052  mov	w2, #0
0xfffffff0087275dc: d52ef097  bl	#0xfffffff008333130
0xfffffff0087275e0: 00008052  mov	w0, #0
0xfffffff0087275e4: 0f010014  b	#0xfffffff008727a20
0xfffffff0087275e8: 76a640b9  ldr	w22, [x19, #0xa4]
0xfffffff0087275ec: 9f961d39  strb	wzr, [x20, #0x765]
0xfffffff0087275f0: 08d08452  mov	w8, #0x2680
0xfffffff0087275f4: 0867089b  madd	x8, x24, x8, x25
0xfffffff0087275f8: 09328352  mov	w9, #0x1990
0xfffffff0087275fc: 08696938  ldrb	w8, [x8, x9]
0xfffffff008727600: 48100034  cbz	w8, #0xfffffff008727808
0xfffffff008727604: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff008727608: c90a0011  add	w9, w22, #2
0xfffffff00872760c: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008727610: 15fd7ed3  lsr	x21, x8, #0x3e
0xfffffff008727614: e00313aa  mov	x0, x19
0xfffffff008727618: 41008052  mov	w1, #2
0xfffffff00872761c: 02008052  mov	w2, #0
0xfffffff008727620: 18cfff97  bl	#0xfffffff00871b280
0xfffffff008727624: 952e01b9  str	w21, [x20, #0x12c]
0xfffffff008727628: 28008052  mov	w8, #1
0xfffffff00872762c: 88961d39  strb	w8, [x20, #0x765]
0xfffffff008727630: 88964039  ldrb	w8, [x20, #0x25]
0xfffffff008727634: c80e0034  cbz	w8, #0xfffffff00872780c
0xfffffff008727638: bf0e0071  cmp	w21, #3
0xfffffff00872763c: 810e0054  b.ne	#0xfffffff00872780c
