; Candidate 10633
; ADRP+ADD at VM 0xfffffff008de02e8 (fileoff 0x1ddc2e8): page=0x1fe5e4000 add_imm=0xe15

0xfffffff008de0268: 087d4093  sxtw	x8, w8
0xfffffff008de026c: f65700a9  stp	x22, x21, [sp]
0xfffffff008de0270: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de0274: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0278: 00503591  add	x0, x0, #0xd54
0xfffffff008de027c: 69dbd597  bl	#0xfffffff008357020
0xfffffff008de0280: e00313aa  mov	x0, x19
0xfffffff008de0284: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008de0288: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de028c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de0290: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de0294: ffc30191  add	sp, sp, #0x70
0xfffffff008de0298: ff0f5fd6  retab	
0xfffffff008de029c: 482a8052  mov	w8, #0x152
0xfffffff008de02a0: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de02a4: 29490d91  add	x9, x9, #0x352
0xfffffff008de02a8: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de02ac: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de02b0: 08493991  add	x8, x8, #0xe52
0xfffffff008de02b4: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de02b8: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de02bc: 09000014  b	#0xfffffff008de02e0
0xfffffff008de02c0: 682a8052  mov	w8, #0x153
0xfffffff008de02c4: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de02c8: 29490d91  add	x9, x9, #0x352
0xfffffff008de02cc: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de02d0: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de02d4: 08493991  add	x8, x8, #0xe52
0xfffffff008de02d8: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de02dc: 4a092191  add	x10, x10, #0x842
0xfffffff008de02e0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de02e4: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de02e8: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de02ec: 00543891  add	x0, x0, #0xe15
0xfffffff008de02f0: 4cdbd597  bl	#0xfffffff008357020
0xfffffff008de02f4: c8088052  mov	w8, #0x46
0xfffffff008de02f8: 53008012  mov	w19, #-3
0xfffffff008de02fc: d7ffff17  b	#0xfffffff008de0258
0xfffffff008de0300: 687e4093  sxtw	x8, w19
0xfffffff008de0304: c92a8052  mov	w9, #0x156
0xfffffff008de0308: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de030c: 4a490d91  add	x10, x10, #0x352
0xfffffff008de0310: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de0314: 292fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de0318: 29493991  add	x9, x9, #0xe52
0xfffffff008de031c: 2b2fff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008de0320: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de0324: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de0328: eb0300f9  str	x11, [sp]
0xfffffff008de032c: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0330: 00543891  add	x0, x0, #0xe15
0xfffffff008de0334: 3bdbd597  bl	#0xfffffff008357020
0xfffffff008de0338: c8088052  mov	w8, #0x46
0xfffffff008de033c: c7ffff17  b	#0xfffffff008de0258
0xfffffff008de0340: 7f2303d5  pacibsp	
0xfffffff008de0344: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de0348: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de034c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de0350: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de0354: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de0358: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de035c: fd430191  add	x29, sp, #0x50
0xfffffff008de0360: ff4300d1  sub	sp, sp, #0x10
0xfffffff008de0364: f30306aa  mov	x19, x6
