; Candidate 7409
; ADRP+ADD at VM 0xfffffff00886bf54 (fileoff 0x1867f54): page=0x1fe97e000 add_imm=0xe80

0xfffffff00886bed4: df80ff97  bl	#0xfffffff00884c250
0xfffffff00886bed8: e00313aa  mov	x0, x19
0xfffffff00886bedc: e10315aa  mov	x1, x21
0xfffffff00886bee0: 3c3e0094  bl	#0xfffffff00887b7d0
0xfffffff00886bee4: 60060034  cbz	w0, #0xfffffff00886bfb0
0xfffffff00886bee8: e00313aa  mov	x0, x19
0xfffffff00886beec: 4b3e0094  bl	#0xfffffff00887b818
0xfffffff00886bef0: 34010034  cbz	w20, #0xfffffff00886bf14
0xfffffff00886bef4: 5f031b72  tst	w26, #0x20
0xfffffff00886bef8: e8179f1a  cset	w8, eq
0xfffffff00886befc: 0800080a  and	w8, w0, w8
0xfffffff00886bf00: 1f050071  cmp	w8, #1
0xfffffff00886bf04: 81020054  b.ne	#0xfffffff00886bf54
0xfffffff00886bf08: c04dffb0  adrp	x0, #0xfffffff007224000
0xfffffff00886bf0c: 001c2391  add	x0, x0, #0x8c7
0xfffffff00886bf10: 0f000014  b	#0xfffffff00886bf4c
0xfffffff00886bf14: e82f40b9  ldr	w8, [sp, #0x2c]
0xfffffff00886bf18: 1f011b72  tst	w8, #0x20
0xfffffff00886bf1c: e8179f1a  cset	w8, eq
0xfffffff00886bf20: 1600080a  and	w22, w0, w8
0xfffffff00886bf24: a2200194  bl	#0xfffffff0088b41ac
0xfffffff00886bf28: f40300aa  mov	x20, x0
0xfffffff00886bf2c: e00315aa  mov	x0, x21
0xfffffff00886bf30: 483e0094  bl	#0xfffffff00887b850
0xfffffff00886bf34: df060071  cmp	w22, #1
0xfffffff00886bf38: 01020054  b.ne	#0xfffffff00886bf78
0xfffffff00886bf3c: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff00886bf40: f40300f9  str	x20, [sp]
0xfffffff00886bf44: c04dffb0  adrp	x0, #0xfffffff007224000
0xfffffff00886bf48: 00282391  add	x0, x0, #0x8ca
0xfffffff00886bf4c: 452dd597  bl	#0xfffffff007db7460
0xfffffff00886bf50: 18000014  b	#0xfffffff00886bfb0
0xfffffff00886bf54: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886bf58: 00003a91  add	x0, x0, #0xe80
0xfffffff00886bf5c: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886bf60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886bf64: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886bf68: 63d82091  add	x3, x3, #0x836
0xfffffff00886bf6c: 02008052  mov	w2, #0
0xfffffff00886bf70: 701ceb97  bl	#0xfffffff008333130
0xfffffff00886bf74: 0f000014  b	#0xfffffff00886bfb0
0xfffffff00886bf78: 8d200194  bl	#0xfffffff0088b41ac
0xfffffff00886bf7c: f40300aa  mov	x20, x0
0xfffffff00886bf80: e00315aa  mov	x0, x21
0xfffffff00886bf84: 333e0094  bl	#0xfffffff00887b850
0xfffffff00886bf88: f38300a9  stp	x19, x0, [sp, #8]
0xfffffff00886bf8c: f40300f9  str	x20, [sp]
0xfffffff00886bf90: e04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886bf94: 00003a91  add	x0, x0, #0xe80
0xfffffff00886bf98: e18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886bf9c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886bfa0: 634fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886bfa4: 63e02091  add	x3, x3, #0x838
0xfffffff00886bfa8: 02008052  mov	w2, #0
0xfffffff00886bfac: 611ceb97  bl	#0xfffffff008333130
0xfffffff00886bfb0: 00008052  mov	w0, #0
0xfffffff00886bfb4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00886bfb8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00886bfbc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00886bfc0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00886bfc4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00886bfc8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff00886bfcc: ff430291  add	sp, sp, #0x90
0xfffffff00886bfd0: ff0f5fd6  retab	
