; Candidate 14784
; ADRP+ADD at VM 0xfffffff00993450c (fileoff 0x293050c): page=0x1fdcae000 add_imm=0xe07

0xfffffff00993448c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009934490: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009934494: ff2303d5  autibsp	
0xfffffff009934498: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff00993449c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0099344a4
0xfffffff0099344a0: 208e38d4  brk	#0xc471
0xfffffff0099344a4: f10301aa  mov	x17, x1
0xfffffff0099344a8: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0099344ac: 110a1fd7  braa	x16, x17
0xfffffff0099344b0: 7f2303d5  pacibsp	
0xfffffff0099344b4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099344b8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0099344bc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099344c0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099344c4: fdc30091  add	x29, sp, #0x30
0xfffffff0099344c8: f40301aa  mov	x20, x1
0xfffffff0099344cc: f30300aa  mov	x19, x0
0xfffffff0099344d0: 100040f9  ldr	x16, [x0]
0xfffffff0099344d4: f10300aa  mov	x17, x0
0xfffffff0099344d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099344dc: 301ac1da  autda	x16, x17
0xfffffff0099344e0: 113d80d2  mov	x17, #0x1e8
0xfffffff0099344e4: 1002118b  add	x16, x16, x17
0xfffffff0099344e8: 080240f9  ldr	x8, [x16]
0xfffffff0099344ec: e90310aa  mov	x9, x16
0xfffffff0099344f0: 010080d2  mov	x1, #0
0xfffffff0099344f4: f10309aa  mov	x17, x9
0xfffffff0099344f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0099344fc: 11093fd7  blraa	x8, x17
0xfffffff009934500: 68e5fed0  adrp	x8, #0xfffffff0075e2000
0xfffffff009934504: 08c11f91  add	x8, x8, #0x7f0
0xfffffff009934508: e02300a9  stp	x0, x8, [sp]
0xfffffff00993450c: 60e5fed0  adrp	x0, #0xfffffff0075e2000
0xfffffff009934510: 001c3891  add	x0, x0, #0xe07
0xfffffff009934514: c38aa897  bl	#0xfffffff008357020
0xfffffff009934518: 561aff90  adrp	x22, #0xfffffff007c7c000
0xfffffff00993451c: d63647f9  ldr	x22, [x22, #0xe68]
0xfffffff009934520: c8020b91  add	x8, x22, #0x2c0
0xfffffff009934524: c96241f9  ldr	x9, [x22, #0x2c0]
0xfffffff009934528: e00313aa  mov	x0, x19
0xfffffff00993452c: e10314aa  mov	x1, x20
0xfffffff009934530: f10308aa  mov	x17, x8
0xfffffff009934534: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff009934538: 31093fd7  blraa	x9, x17
0xfffffff00993453c: 20260034  cbz	w0, #0xfffffff009934a00
0xfffffff009934540: 481affd0  adrp	x8, #0xfffffff007c7e000
0xfffffff009934544: 08813e91  add	x8, x8, #0xfa0
0xfffffff009934548: 010140f9  ldr	x1, [x8]
0xfffffff00993454c: e00314aa  mov	x0, x20
0xfffffff009934550: e9bda697  bl	#0xfffffff0082e3cf4
0xfffffff009934554: 604600f9  str	x0, [x19, #0x88]
0xfffffff009934558: 402400b4  cbz	x0, #0xfffffff0099349e0
0xfffffff00993455c: 084440f9  ldr	x8, [x0, #0x88]
0xfffffff009934560: 684a00f9  str	x8, [x19, #0x90]
0xfffffff009934564: e00313aa  mov	x0, x19
0xfffffff009934568: 010080d2  mov	x1, #0
0xfffffff00993456c: 8b0eaa97  bl	#0xfffffff0083b7f98
0xfffffff009934570: 605200f9  str	x0, [x19, #0xa0]
0xfffffff009934574: 602300b4  cbz	x0, #0xfffffff0099349e0
0xfffffff009934578: 700240f9  ldr	x16, [x19]
0xfffffff00993457c: f10313aa  mov	x17, x19
0xfffffff009934580: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009934584: 301ac1da  autda	x16, x17
0xfffffff009934588: 116f80d2  mov	x17, #0x378
