; Candidate 15250
; ADRP+ADD at VM 0xfffffff009b43ff0 (fileoff 0x2b3fff0): page=0x1fdae5000 add_imm=0xed0

0xfffffff009b43f70: 40000054  b.eq	#0xfffffff009b43f78
0xfffffff009b43f74: 408e38d4  brk	#0xc472
0xfffffff009b43f78: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b43f7c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b43f80: e00313aa  mov	x0, x19
0xfffffff009b43f84: 010080d2  mov	x1, #0
0xfffffff009b43f88: f10308aa  mov	x17, x8
0xfffffff009b43f8c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b43f90: 31093fd7  blraa	x9, x17
0xfffffff009b43f94: f50300aa  mov	x21, x0
0xfffffff009b43f98: 700240f9  ldr	x16, [x19]
0xfffffff009b43f9c: f10313aa  mov	x17, x19
0xfffffff009b43fa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b43fa4: 301ac1da  autda	x16, x17
0xfffffff009b43fa8: f10310aa  mov	x17, x16
0xfffffff009b43fac: f147c1da  xpacd	x17
0xfffffff009b43fb0: 1f0211eb  cmp	x16, x17
0xfffffff009b43fb4: 40000054  b.eq	#0xfffffff009b43fbc
0xfffffff009b43fb8: 408e38d4  brk	#0xc472
0xfffffff009b43fbc: 08620891  add	x8, x16, #0x218
0xfffffff009b43fc0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b43fc4: e00313aa  mov	x0, x19
0xfffffff009b43fc8: 010080d2  mov	x1, #0
0xfffffff009b43fcc: f10308aa  mov	x17, x8
0xfffffff009b43fd0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b43fd4: 31093fd7  blraa	x9, x17
0xfffffff009b43fd8: 28d7fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b43fdc: 08611a91  add	x8, x8, #0x698
0xfffffff009b43fe0: 29d7fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b43fe4: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b43fe8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b43fec: f50300a9  stp	x21, x0, [sp]
0xfffffff009b43ff0: 20d7feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b43ff4: 00403b91  add	x0, x0, #0xed0
0xfffffff009b43ff8: 43d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b43ffc: 63042d91  add	x3, x3, #0xb41
0xfffffff009b44000: e10314aa  mov	x1, x20
0xfffffff009b44004: 02028052  mov	w2, #0x10
0xfffffff009b44008: 4abc9f97  bl	#0xfffffff008333130
0xfffffff009b4400c: 618641f9  ldr	x1, [x19, #0x308]
0xfffffff009b44010: 700240f9  ldr	x16, [x19]
0xfffffff009b44014: f10313aa  mov	x17, x19
0xfffffff009b44018: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4401c: 301ac1da  autda	x16, x17
0xfffffff009b44020: 115780d2  mov	x17, #0x2b8
0xfffffff009b44024: 1002118b  add	x16, x16, x17
0xfffffff009b44028: 080240f9  ldr	x8, [x16]
0xfffffff009b4402c: e90310aa  mov	x9, x16
0xfffffff009b44030: e00313aa  mov	x0, x19
0xfffffff009b44034: f10309aa  mov	x17, x9
0xfffffff009b44038: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff009b4403c: 11093fd7  blraa	x8, x17
0xfffffff009b44040: 00008052  mov	w0, #0
0xfffffff009b44044: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009b44048: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009b4404c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009b44050: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009b44054: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff009b44058: ff030291  add	sp, sp, #0x80
0xfffffff009b4405c: ff0f5fd6  retab	
0xfffffff009b44060: 608641f9  ldr	x0, [x19, #0x308]
0xfffffff009b44064: 100040f9  ldr	x16, [x0]
0xfffffff009b44068: f10300aa  mov	x17, x0
0xfffffff009b4406c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
