; Candidate 13635
; ADRP+ADD at VM 0xfffffff0093b0a2c (fileoff 0x23aca2c): page=0x1fe152000 add_imm=0xd20

0xfffffff0093b09ac: 880240b9  ldr	w8, [x20]
0xfffffff0093b09b0: e80300f9  str	x8, [sp]
0xfffffff0093b09b4: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b09b8: 00803491  add	x0, x0, #0xd20
0xfffffff0093b09bc: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b09c0: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b09c4: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b09c8: 63583c91  add	x3, x3, #0xf16
0xfffffff0093b09cc: 22008052  mov	w2, #1
0xfffffff0093b09d0: d809be97  bl	#0xfffffff008333130
0xfffffff0093b09d4: 0a000014  b	#0xfffffff0093b09fc
0xfffffff0093b09d8: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b09dc: 00803491  add	x0, x0, #0xd20
0xfffffff0093b09e0: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b09e4: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b09e8: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b09ec: 63283791  add	x3, x3, #0xdca
0xfffffff0093b09f0: 02028052  mov	w2, #0x10
0xfffffff0093b09f4: cf09be97  bl	#0xfffffff008333130
0xfffffff0093b09f8: 140080d2  mov	x20, #0
0xfffffff0093b09fc: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0093b0a00: c940ffd0  adrp	x9, #0xfffffff007bca000
0xfffffff0093b0a04: 297143f9  ldr	x9, [x9, #0x6e0]
0xfffffff0093b0a08: 290140f9  ldr	x9, [x9]
0xfffffff0093b0a0c: 3f0108eb  cmp	x9, x8
0xfffffff0093b0a10: 61030054  b.ne	#0xfffffff0093b0a7c
0xfffffff0093b0a14: e00314aa  mov	x0, x20
0xfffffff0093b0a18: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0093b0a1c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0093b0a20: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0093b0a24: ff830191  add	sp, sp, #0x60
0xfffffff0093b0a28: ff0f5fd6  retab	
0xfffffff0093b0a2c: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b0a30: 00803491  add	x0, x0, #0xd20
0xfffffff0093b0a34: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b0a38: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b0a3c: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b0a40: 63f03591  add	x3, x3, #0xd7c
0xfffffff0093b0a44: 02028052  mov	w2, #0x10
0xfffffff0093b0a48: ba09be97  bl	#0xfffffff008333130
0xfffffff0093b0a4c: 140080d2  mov	x20, #0
0xfffffff0093b0a50: ebffff17  b	#0xfffffff0093b09fc
0xfffffff0093b0a54: 800affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093b0a58: 00803491  add	x0, x0, #0xd20
0xfffffff0093b0a5c: c140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b0a60: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b0a64: a30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093b0a68: 63e03891  add	x3, x3, #0xe38
0xfffffff0093b0a6c: 02028052  mov	w2, #0x10
0xfffffff0093b0a70: b009be97  bl	#0xfffffff008333130
0xfffffff0093b0a74: 140080d2  mov	x20, #0
0xfffffff0093b0a78: e1ffff17  b	#0xfffffff0093b09fc
0xfffffff0093b0a7c: f4b4a697  bl	#0xfffffff007d5de4c
0xfffffff0093b0a80: 7f2303d5  pacibsp	
0xfffffff0093b0a84: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0093b0a88: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0093b0a8c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0093b0a90: fd830091  add	x29, sp, #0x20
0xfffffff0093b0a94: f30302aa  mov	x19, x2
0xfffffff0093b0a98: f40300aa  mov	x20, x0
0xfffffff0093b0a9c: 813700b4  cbz	x1, #0xfffffff0093b118c
0xfffffff0093b0aa0: f50301aa  mov	x21, x1
0xfffffff0093b0aa4: 80120091  add	x0, x20, #4
0xfffffff0093b0aa8: c1008052  mov	w1, #6
