; Candidate 4369
; ADRP+ADD at VM 0xfffffff0087a7c18 (fileoff 0x17a3c18): page=0x1fe98a000 add_imm=0xd90

0xfffffff0087a7b98: f7031caa  mov	x23, x28
0xfffffff0087a7b9c: 880340f9  ldr	x8, [x28]
0xfffffff0087a7ba0: 1fbd01b9  str	wzr, [x8, #0x1bc]
0xfffffff0087a7ba4: 880340f9  ldr	x8, [x28]
0xfffffff0087a7ba8: 1fc101b9  str	wzr, [x8, #0x1c0]
0xfffffff0087a7bac: 880340f9  ldr	x8, [x28]
0xfffffff0087a7bb0: 1fc501b9  str	wzr, [x8, #0x1c4]
0xfffffff0087a7bb4: 880340f9  ldr	x8, [x28]
0xfffffff0087a7bb8: 1fc901b9  str	wzr, [x8, #0x1c8]
0xfffffff0087a7bbc: e86340b9  ldr	w8, [sp, #0x60]
0xfffffff0087a7bc0: 28100034  cbz	w8, #0xfffffff0087a7dc4
0xfffffff0087a7bc4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087a7bc8: 098d8452  mov	w9, #0x2468
0xfffffff0087a7bcc: 09696938  ldrb	w9, [x8, x9]
0xfffffff0087a7bd0: a9000034  cbz	w9, #0xfffffff0087a7be4
0xfffffff0087a7bd4: fa0316aa  mov	x26, x22
0xfffffff0087a7bd8: 097564b9  ldr	w9, [x8, #0x2474]
0xfffffff0087a7bdc: 147964b9  ldr	w20, [x8, #0x2478]
0xfffffff0087a7be0: 04000014  b	#0xfffffff0087a7bf0
0xfffffff0087a7be4: fa0316aa  mov	x26, x22
0xfffffff0087a7be8: 090080d2  mov	x9, #0
0xfffffff0087a7bec: 140080d2  mov	x20, #0
0xfffffff0087a7bf0: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff0087a7bf4: 0ad54629  ldp	w10, w21, [x8, #0x34]
0xfffffff0087a7bf8: 37010a8b  add	x23, x9, x10
0xfffffff0087a7bfc: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087a7c00: f6fe60d3  lsr	x22, x23, #0x20
0xfffffff0087a7c04: b60100b4  cbz	x22, #0xfffffff0087a7c38
0xfffffff0087a7c08: c88d8052  mov	w8, #0x46e
0xfffffff0087a7c0c: 494dff90  adrp	x9, #0xfffffff00714f000
0xfffffff0087a7c10: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087a7c14: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a7c18: 404cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087a7c1c: 00403691  add	x0, x0, #0xd90
0xfffffff0087a7c20: a192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a7c24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a7c28: 034dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a7c2c: 63342e91  add	x3, x3, #0xb8d
0xfffffff0087a7c30: 02008052  mov	w2, #0
0xfffffff0087a7c34: 3f2dee97  bl	#0xfffffff008333130
0xfffffff0087a7c38: 284337ab  adds	x8, x25, w23, uxtw
0xfffffff0087a7c3c: 62d5ff54  b.hs	#0xfffffff0087a76e8
0xfffffff0087a7c40: f77e4092  and	x23, x23, #0xffffffff
0xfffffff0087a7c44: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087a7c48: 2abd41b9  ldr	w10, [x9, #0x1bc]
0xfffffff0087a7c4c: 48150033  bfxil	w8, w10, #0, #6
0xfffffff0087a7c50: 28bd01b9  str	w8, [x9, #0x1bc]
0xfffffff0087a7c54: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087a7c58: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff0087a7c5c: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087a7c60: b60100b4  cbz	x22, #0xfffffff0087a7c94
0xfffffff0087a7c64: 088e8052  mov	w8, #0x470
0xfffffff0087a7c68: 494dff90  adrp	x9, #0xfffffff00714f000
0xfffffff0087a7c6c: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087a7c70: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a7c74: 404cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087a7c78: 00403691  add	x0, x0, #0xd90
0xfffffff0087a7c7c: a192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a7c80: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a7c84: 034dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a7c88: 63042f91  add	x3, x3, #0xbc1
0xfffffff0087a7c8c: 02008052  mov	w2, #0
0xfffffff0087a7c90: 282dee97  bl	#0xfffffff008333130
0xfffffff0087a7c94: 280317ab  adds	x8, x25, x23
