; Candidate 5621
; ADRP+ADD at VM 0xfffffff0087fd170 (fileoff 0x17f9170): page=0x1fe9ec000 add_imm=0xe80

0xfffffff0087fd0f0: e8179f1a  cset	w8, eq
0xfffffff0087fd0f4: 0900080a  and	w9, w0, w8
0xfffffff0087fd0f8: a81241b9  ldr	w8, [x21, #0x110]
0xfffffff0087fd0fc: 3f050071  cmp	w9, #1
0xfffffff0087fd100: 41030054  b.ne	#0xfffffff0087fd168
0xfffffff0087fd104: e9c30191  add	x9, sp, #0x70
0xfffffff0087fd108: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fd10c: c050ffd0  adrp	x0, #0xfffffff007217000
0xfffffff0087fd110: 008c1991  add	x0, x0, #0x663
0xfffffff0087fd114: d3e8d697  bl	#0xfffffff007db7460
0xfffffff0087fd118: 1e000014  b	#0xfffffff0087fd190
0xfffffff0087fd11c: 24dc0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd120: f70300aa  mov	x23, x0
0xfffffff0087fd124: e00316aa  mov	x0, x22
0xfffffff0087fd128: caf90194  bl	#0xfffffff00887b850
0xfffffff0087fd12c: a91241b9  ldr	w9, [x21, #0x110]
0xfffffff0087fd130: e8c30191  add	x8, sp, #0x70
0xfffffff0087fd134: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fd138: e80314aa  mov	x8, x20
0xfffffff0087fd13c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fd140: f70300f9  str	x23, [sp]
0xfffffff0087fd144: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd148: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd14c: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd150: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd154: 2352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087fd158: 63f83c91  add	x3, x3, #0xf3e
0xfffffff0087fd15c: 02008052  mov	w2, #0
0xfffffff0087fd160: f4d7ec97  bl	#0xfffffff008333130
0xfffffff0087fd164: 0b000014  b	#0xfffffff0087fd190
0xfffffff0087fd168: e9c30191  add	x9, sp, #0x70
0xfffffff0087fd16c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087fd170: 604fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fd174: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fd178: 4190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fd17c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fd180: 2352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087fd184: 63903c91  add	x3, x3, #0xf24
0xfffffff0087fd188: 02008052  mov	w2, #0
0xfffffff0087fd18c: e9d7ec97  bl	#0xfffffff008333130
0xfffffff0087fd190: 1b0080d2  mov	x27, #0
0xfffffff0087fd194: fcc30191  add	x28, sp, #0x70
0xfffffff0087fd198: e80314aa  mov	x8, x20
0xfffffff0087fd19c: e83300f9  str	x8, [sp, #0x60]
0xfffffff0087fd1a0: f70314aa  mov	x23, x20
0xfffffff0087fd1a4: e00314aa  mov	x0, x20
0xfffffff0087fd1a8: e10316aa  mov	x1, x22
0xfffffff0087fd1ac: 89f90194  bl	#0xfffffff00887b7d0
0xfffffff0087fd1b0: 00080034  cbz	w0, #0xfffffff0087fd2b0
0xfffffff0087fd1b4: e00314aa  mov	x0, x20
0xfffffff0087fd1b8: 98f90194  bl	#0xfffffff00887b818
0xfffffff0087fd1bc: 7302f837  tbnz	w19, #0x1f, #0xfffffff0087fd208
0xfffffff0087fd1c0: 78021b12  and	w24, w19, #0x20
0xfffffff0087fd1c4: 1a000052  eor	w26, w0, #1
0xfffffff0087fd1c8: f9db0294  bl	#0xfffffff0088b41ac
0xfffffff0087fd1cc: f90300aa  mov	x25, x0
0xfffffff0087fd1d0: e00316aa  mov	x0, x22
0xfffffff0087fd1d4: 9ff90194  bl	#0xfffffff00887b850
0xfffffff0087fd1d8: 4817582a  orr	w8, w26, w24, lsr #5
0xfffffff0087fd1dc: c8020037  tbnz	w8, #0, #0xfffffff0087fd234
0xfffffff0087fd1e0: a8324e39  ldrb	w8, [x21, #0x38c]
0xfffffff0087fd1e4: a98241b9  ldr	w9, [x21, #0x180]
0xfffffff0087fd1e8: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff0087fd1ec: fcef01a9  stp	x28, x27, [sp, #0x18]
