; Candidate 10111
; ADRP+ADD at VM 0xfffffff008ca858c (fileoff 0x1ca458c): page=0x1fe6ad000 add_imm=0xe98

0xfffffff008ca850c: 31093fd7  blraa	x9, x17
0xfffffff008ca8510: 68527d39  ldrb	w8, [x19, #0xf54]
0xfffffff008ca8514: 48010034  cbz	w8, #0xfffffff008ca853c
0xfffffff008ca8518: 60da47f9  ldr	x0, [x19, #0xfb0]
0xfffffff008ca851c: 01008052  mov	w1, #0
0xfffffff008ca8520: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ca8524: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ca8528: ff2303d5  autibsp	
0xfffffff008ca852c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ca8530: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ca8538
0xfffffff008ca8534: 208e38d4  brk	#0xc471
0xfffffff008ca8538: f05d2914  b	#0xfffffff0096ffcf8
0xfffffff008ca853c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ca8540: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ca8544: ff0f5fd6  retab	
0xfffffff008ca8548: 7f2303d5  pacibsp	
0xfffffff008ca854c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ca8550: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ca8554: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ca8558: fd830091  add	x29, sp, #0x20
0xfffffff008ca855c: f30300aa  mov	x19, x0
0xfffffff008ca8560: 290040f9  ldr	x9, [x1]
0xfffffff008ca8564: 087c4fb9  ldr	w8, [x0, #0xf7c]
0xfffffff008ca8568: a90000b4  cbz	x9, #0xfffffff008ca857c
0xfffffff008ca856c: 88032036  tbz	w8, #4, #0xfffffff008ca85dc
0xfffffff008ca8570: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca8574: 00f03d91  add	x0, x0, #0xf7c
0xfffffff008ca8578: 16000014  b	#0xfffffff008ca85d0
0xfffffff008ca857c: f40301aa  mov	x20, x1
0xfffffff008ca8580: c8002036  tbz	w8, #4, #0xfffffff008ca8598
0xfffffff008ca8584: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca8588: e80300f9  str	x8, [sp]
0xfffffff008ca858c: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca8590: 00603a91  add	x0, x0, #0xe98
0xfffffff008ca8594: a3bada97  bl	#0xfffffff008357020
0xfffffff008ca8598: dc642a94  bl	#0xfffffff009741908
0xfffffff008ca859c: e10300aa  mov	x1, x0
0xfffffff008ca85a0: 800200f9  str	x0, [x20]
0xfffffff008ca85a4: e00313aa  mov	x0, x19
0xfffffff008ca85a8: 02008052  mov	w2, #0
0xfffffff008ca85ac: 93e82a94  bl	#0xfffffff0097627f8
0xfffffff008ca85b0: c0000034  cbz	w0, #0xfffffff008ca85c8
0xfffffff008ca85b4: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca85b8: 28012036  tbz	w8, #4, #0xfffffff008ca85dc
0xfffffff008ca85bc: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca85c0: 00983b91  add	x0, x0, #0xee6
0xfffffff008ca85c4: 03000014  b	#0xfffffff008ca85d0
0xfffffff008ca85c8: 6035ffb0  adrp	x0, #0xfffffff007355000
0xfffffff008ca85cc: 00b43c91  add	x0, x0, #0xf2d
0xfffffff008ca85d0: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca85d4: e80300f9  str	x8, [sp]
0xfffffff008ca85d8: 92bada97  bl	#0xfffffff008357020
0xfffffff008ca85dc: 00008052  mov	w0, #0
0xfffffff008ca85e0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008ca85e4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ca85e8: ffc30091  add	sp, sp, #0x30
0xfffffff008ca85ec: ff0f5fd6  retab	
0xfffffff008ca85f0: 7f2303d5  pacibsp	
0xfffffff008ca85f4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ca85f8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ca85fc: fd430091  add	x29, sp, #0x10
0xfffffff008ca8600: f30301aa  mov	x19, x1
0xfffffff008ca8604: 210040f9  ldr	x1, [x1]
0xfffffff008ca8608: a10000b4  cbz	x1, #0xfffffff008ca861c
