; Candidate 1096
; ADRP+ADD at VM 0xfffffff0081f8644 (fileoff 0x11f4644): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f85c4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0081f85c8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0081f85cc: fd430091  add	x29, sp, #0x10
0xfffffff0081f85d0: 3f040071  cmp	w1, #1
0xfffffff0081f85d4: a1020054  b.ne	#0xfffffff0081f8628
0xfffffff0081f85d8: f30302aa  mov	x19, x2
0xfffffff0081f85dc: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f85e0: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f85e4: 08050011  add	w8, w8, #1
0xfffffff0081f85e8: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f85ec: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f85f0: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f85f4: 0920a052  mov	w9, #0x1000000
0xfffffff0081f85f8: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f85fc: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8600: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8604: e1020054  b.ne	#0xfffffff0081f8660
0xfffffff0081f8608: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f860c: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8610: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8614: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f8618: 084d5b39  ldrb	w8, [x8, #0x6d3]
0xfffffff0081f861c: a8000034  cbz	w8, #0xfffffff0081f8630
0xfffffff0081f8620: 33008052  mov	w19, #1
0xfffffff0081f8624: 08000014  b	#0xfffffff0081f8644
0xfffffff0081f8628: 13008052  mov	w19, #0
0xfffffff0081f862c: 09000014  b	#0xfffffff0081f8650
0xfffffff0081f8630: e10001d0  adrp	x1, #0xfffffff00a216000
0xfffffff0081f8634: 21602b91  add	x1, x1, #0xad8
0xfffffff0081f8638: e20313aa  mov	x2, x19
0xfffffff0081f863c: b91b0094  bl	#0xfffffff0081ff520
0xfffffff0081f8640: 13008052  mov	w19, #0
0xfffffff0081f8644: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8648: 00903491  add	x0, x0, #0xd24
0xfffffff0081f864c: aadbee97  bl	#0xfffffff007daf4f4
0xfffffff0081f8650: e00313aa  mov	x0, x19
0xfffffff0081f8654: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0081f8658: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0081f865c: ff0f5fd6  retab	
0xfffffff0081f8660: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f8664: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8668: 00903491  add	x0, x0, #0xd24
0xfffffff0081f866c: efdaee97  bl	#0xfffffff007daf228
0xfffffff0081f8670: e9ffff17  b	#0xfffffff0081f8614
0xfffffff0081f8674: 7f2303d5  pacibsp	
0xfffffff0081f8678: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0081f867c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0081f8680: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0081f8684: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0081f8688: fdc30091  add	x29, sp, #0x30
0xfffffff0081f868c: 750201b0  adrp	x21, #0xfffffff00a245000
0xfffffff0081f8690: a8465b39  ldrb	w8, [x21, #0x6d1]
0xfffffff0081f8694: 1f050071  cmp	w8, #1
0xfffffff0081f8698: a1050054  b.ne	#0xfffffff0081f874c
0xfffffff0081f869c: 08010190  adrp	x8, #0xfffffff00a218000
0xfffffff0081f86a0: 08f14fb9  ldr	w8, [x8, #0xff0]
0xfffffff0081f86a4: a9fd0090  adrp	x9, #0xfffffff00a1ac000
0xfffffff0081f86a8: 29f142b9  ldr	w9, [x9, #0x2f0]
0xfffffff0081f86ac: 1f010071  cmp	w8, #0
0xfffffff0081f86b0: 2009417a  ccmp	w9, #1, #0, eq
0xfffffff0081f86b4: c1040054  b.ne	#0xfffffff0081f874c
0xfffffff0081f86b8: 93d038d5  mrs	x19, tpidr_el1
0xfffffff0081f86bc: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff0081f86c0: 68040035  cbnz	w8, #0xfffffff0081f874c
