; Candidate 3838
; ADRP+ADD at VM 0xfffffff0087692c0 (fileoff 0x17652c0): page=0x1fe9c8000 add_imm=0xd90

0xfffffff008769240: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff008769244: 0941388b  add	x9, x8, w24, uxtw
0xfffffff008769248: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00876924c: c90100b4  cbz	x9, #0xfffffff008769284
0xfffffff008769250: e9e68052  mov	w9, #0x737
0xfffffff008769254: 284fffd0  adrp	x8, #0xfffffff00714f000
0xfffffff008769258: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00876925c: e82700a9  stp	x8, x9, [sp]
0xfffffff008769260: 404eff90  adrp	x0, #0xfffffff007131000
0xfffffff008769264: 00403691  add	x0, x0, #0xd90
0xfffffff008769268: a194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00876926c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008769270: c34effb0  adrp	x3, #0xfffffff007142000
0xfffffff008769274: 63742791  add	x3, x3, #0x9dd
0xfffffff008769278: 02008052  mov	w2, #0
0xfffffff00876927c: ad27ef97  bl	#0xfffffff008333130
0xfffffff008769280: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff008769284: 0903080b  add	w9, w24, w8
0xfffffff008769288: 8a0209ab  adds	x10, x20, x9
0xfffffff00876928c: 22030054  b.hs	#0xfffffff0087692f0
0xfffffff008769290: eb03182a  mov	w11, w24
0xfffffff008769294: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff008769298: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff00876929c: aa8356f8  ldur	x10, [x29, #-0x98]
0xfffffff0087692a0: 540940f9  ldr	x20, [x10, #0x10]
0xfffffff0087692a4: 08010b8b  add	x8, x8, x11
0xfffffff0087692a8: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff0087692ac: e80100b4  cbz	x8, #0xfffffff0087692e8
0xfffffff0087692b0: 09e78052  mov	w9, #0x738
0xfffffff0087692b4: 284fffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0087692b8: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0087692bc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087692c0: 404eff90  adrp	x0, #0xfffffff007131000
0xfffffff0087692c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087692c8: a194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087692cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087692d0: c34effb0  adrp	x3, #0xfffffff007142000
0xfffffff0087692d4: 63442891  add	x3, x3, #0xa11
0xfffffff0087692d8: 02008052  mov	w2, #0
0xfffffff0087692dc: 9527ef97  bl	#0xfffffff008333130
0xfffffff0087692e0: a80356b8  ldur	w8, [x29, #-0xa0]
0xfffffff0087692e4: 0903080b  add	w9, w24, w8
0xfffffff0087692e8: 880209ab  adds	x8, x20, x9
0xfffffff0087692ec: 63020054  b.lo	#0xfffffff008769338
0xfffffff0087692f0: 00008012  mov	w0, #-1
0xfffffff0087692f4: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087692f8: a994ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff0087692fc: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008769300: 290140f9  ldr	x9, [x9]
0xfffffff008769304: 3f0108eb  cmp	x9, x8
0xfffffff008769308: 21100054  b.ne	#0xfffffff00876950c
0xfffffff00876930c: fd7b5ba9  ldp	x29, x30, [sp, #0x1b0]
0xfffffff008769310: f44f5aa9  ldp	x20, x19, [sp, #0x1a0]
0xfffffff008769314: f65759a9  ldp	x22, x21, [sp, #0x190]
0xfffffff008769318: f85f58a9  ldp	x24, x23, [sp, #0x180]
0xfffffff00876931c: fa6757a9  ldp	x26, x25, [sp, #0x170]
0xfffffff008769320: fc6f56a9  ldp	x28, x27, [sp, #0x160]
0xfffffff008769324: ff030791  add	sp, sp, #0x1c0
0xfffffff008769328: ff0f5fd6  retab	
0xfffffff00876932c: 204fffd0  adrp	x0, #0xfffffff00714f000
0xfffffff008769330: 00dc1591  add	x0, x0, #0x577
0xfffffff008769334: 67030094  bl	#0xfffffff00876a0d0
0xfffffff008769338: a98353b8  ldur	w9, [x29, #-0xc8]
0xfffffff00876933c: 2901184b  sub	w9, w9, w24
