; Candidate 15044
; ADRP+ADD at VM 0xfffffff009a65d98 (fileoff 0x2a61d98): page=0x1fdba8000 add_imm=0xdc1

0xfffffff009a65d18: d6063791  add	x22, x22, #0xdc1
0xfffffff009a65d1c: fa0e0072  ands	w26, w23, #0xf
0xfffffff009a65d20: c0010054  b.eq	#0xfffffff009a65d58
0xfffffff009a65d24: 686a7738  ldrb	w8, [x19, x23]
0xfffffff009a65d28: f92300a9  stp	x25, x8, [sp]
0xfffffff009a65d2c: e0630091  add	x0, sp, #0x18
0xfffffff009a65d30: 01108052  mov	w1, #0x80
0xfffffff009a65d34: e20315aa  mov	x2, x21
0xfffffff009a65d38: 09549e97  bl	#0xfffffff0081fad5c
0xfffffff009a65d3c: 5f3f0071  cmp	w26, #0xf
0xfffffff009a65d40: 21020054  b.ne	#0xfffffff009a65d84
0xfffffff009a65d44: f90300f9  str	x25, [sp]
0xfffffff009a65d48: e00316aa  mov	x0, x22
0xfffffff009a65d4c: c5458d97  bl	#0xfffffff007db7460
0xfffffff009a65d50: ff630039  strb	wzr, [sp, #0x18]
0xfffffff009a65d54: 0c000014  b	#0xfffffff009a65d84
0xfffffff009a65d58: f70300f9  str	x23, [sp]
0xfffffff009a65d5c: e0630091  add	x0, sp, #0x18
0xfffffff009a65d60: 01108052  mov	w1, #0x80
0xfffffff009a65d64: e20314aa  mov	x2, x20
0xfffffff009a65d68: fd539e97  bl	#0xfffffff0081fad5c
0xfffffff009a65d6c: 686a7738  ldrb	w8, [x19, x23]
0xfffffff009a65d70: f92300a9  stp	x25, x8, [sp]
0xfffffff009a65d74: e0630091  add	x0, sp, #0x18
0xfffffff009a65d78: 01108052  mov	w1, #0x80
0xfffffff009a65d7c: e20315aa  mov	x2, x21
0xfffffff009a65d80: f7539e97  bl	#0xfffffff0081fad5c
0xfffffff009a65d84: f7060091  add	x23, x23, #1
0xfffffff009a65d88: 1f0317eb  cmp	x24, x23
0xfffffff009a65d8c: 81fcff54  b.ne	#0xfffffff009a65d1c
0xfffffff009a65d90: e8630091  add	x8, sp, #0x18
0xfffffff009a65d94: e80300f9  str	x8, [sp]
0xfffffff009a65d98: 40ddfe90  adrp	x0, #0xfffffff00760d000
0xfffffff009a65d9c: 00043791  add	x0, x0, #0xdc1
0xfffffff009a65da0: b0458d97  bl	#0xfffffff007db7460
0xfffffff009a65da4: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff009a65da8: 2912fff0  adrp	x9, #0xfffffff007cac000
0xfffffff009a65dac: 29a543f9  ldr	x9, [x9, #0x748]
0xfffffff009a65db0: 290140f9  ldr	x9, [x9]
0xfffffff009a65db4: 3f0108eb  cmp	x9, x8
0xfffffff009a65db8: 01010054  b.ne	#0xfffffff009a65dd8
0xfffffff009a65dbc: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff009a65dc0: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff009a65dc4: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff009a65dc8: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff009a65dcc: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff009a65dd0: ffc30391  add	sp, sp, #0xf0
0xfffffff009a65dd4: ff0f5fd6  retab	
0xfffffff009a65dd8: 1de08b97  bl	#0xfffffff007d5de4c
0xfffffff009a65ddc: 5f2403d5  bti	c
0xfffffff009a65de0: 45faa117  b	#0xfffffff0082e46f4
0xfffffff009a65de4: 7f2303d5  pacibsp	
0xfffffff009a65de8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a65dec: fd030091  mov	x29, sp
0xfffffff009a65df0: 804a00d0  adrp	x0, #0xfffffff00a3b7000
0xfffffff009a65df4: 00403f91  add	x0, x0, #0xfd0
0xfffffff009a65df8: 41ddfe90  adrp	x1, #0xfffffff00760d000
0xfffffff009a65dfc: 21603591  add	x1, x1, #0xd58
0xfffffff009a65e00: 824a00d0  adrp	x2, #0xfffffff00a3b7000
0xfffffff009a65e04: 42003e91  add	x2, x2, #0xf80
0xfffffff009a65e08: 03128052  mov	w3, #0x90
0xfffffff009a65e0c: 4bf7a197  bl	#0xfffffff0082e3b38
0xfffffff009a65e10: 5012fff0  adrp	x16, #0xfffffff007cb0000
0xfffffff009a65e14: 10022991  add	x16, x16, #0xa40
