; Candidate 6523
; ADRP+ADD at VM 0xfffffff008831d08 (fileoff 0x182dd08): page=0x1fe9f1000 add_imm=0xd0f

0xfffffff008831c88: 00003a91  add	x0, x0, #0xe80
0xfffffff008831c8c: a18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008831c90: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008831c94: e350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff008831c98: 63b81491  add	x3, x3, #0x52e
0xfffffff008831c9c: 02008052  mov	w2, #0
0xfffffff008831ca0: 2405ec97  bl	#0xfffffff008333130
0xfffffff008831ca4: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff008831ca8: a8030034  cbz	w8, #0xfffffff008831d1c
0xfffffff008831cac: 000b8052  mov	w0, #0x58
0xfffffff008831cb0: c1008052  mov	w1, #6
0xfffffff008831cb4: c7260194  bl	#0xfffffff00887b7d0
0xfffffff008831cb8: 000a0034  cbz	w0, #0xfffffff008831df8
0xfffffff008831cbc: 000b8052  mov	w0, #0x58
0xfffffff008831cc0: d6260194  bl	#0xfffffff00887b818
0xfffffff008831cc4: f60300aa  mov	x22, x0
0xfffffff008831cc8: 39090294  bl	#0xfffffff0088b41ac
0xfffffff008831ccc: f40300aa  mov	x20, x0
0xfffffff008831cd0: c0008052  mov	w0, #6
0xfffffff008831cd4: df260194  bl	#0xfffffff00887b850
0xfffffff008831cd8: f50300aa  mov	x21, x0
0xfffffff008831cdc: 600640f9  ldr	x0, [x19, #8]
0xfffffff008831ce0: 1ee6ff97  bl	#0xfffffff00882b558
0xfffffff008831ce4: b6050034  cbz	w22, #0xfffffff008831d98
0xfffffff008831ce8: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff008831cec: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008831cf0: c8288052  mov	w8, #0x146
0xfffffff008831cf4: e80302a9  stp	x8, x0, [sp, #0x20]
0xfffffff008831cf8: 084fffb0  adrp	x8, #0xfffffff007212000
0xfffffff008831cfc: 08ed2f91  add	x8, x8, #0xbfb
0xfffffff008831d00: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008831d04: 080b8052  mov	w8, #0x58
0xfffffff008831d08: 804fffb0  adrp	x0, #0xfffffff007222000
0xfffffff008831d0c: 003c3491  add	x0, x0, #0xd0f
0xfffffff008831d10: f42300a9  stp	x20, x8, [sp]
0xfffffff008831d14: d315d697  bl	#0xfffffff007db7460
0xfffffff008831d18: 38000014  b	#0xfffffff008831df8
0xfffffff008831d1c: 000b8052  mov	w0, #0x58
0xfffffff008831d20: 81008052  mov	w1, #4
0xfffffff008831d24: ab260194  bl	#0xfffffff00887b7d0
0xfffffff008831d28: 40110034  cbz	w0, #0xfffffff008831f50
0xfffffff008831d2c: 000b8052  mov	w0, #0x58
0xfffffff008831d30: ba260194  bl	#0xfffffff00887b818
0xfffffff008831d34: f50300aa  mov	x21, x0
0xfffffff008831d38: 1d090294  bl	#0xfffffff0088b41ac
0xfffffff008831d3c: f40300aa  mov	x20, x0
0xfffffff008831d40: 80008052  mov	w0, #4
0xfffffff008831d44: c3260194  bl	#0xfffffff00887b850
0xfffffff008831d48: f50c0034  cbz	w21, #0xfffffff008831ee4
0xfffffff008831d4c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008831d50: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff008831d54: 0a4fff90  adrp	x10, #0xfffffff007211000
0xfffffff008831d58: 4a591891  add	x10, x10, #0x616
0xfffffff008831d5c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008831d60: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008831d64: 68288052  mov	w8, #0x143
0xfffffff008831d68: 094fffb0  adrp	x9, #0xfffffff007212000
0xfffffff008831d6c: 29ed2f91  add	x9, x9, #0xbfb
0xfffffff008831d70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008831d74: 884fffb0  adrp	x8, #0xfffffff007222000
0xfffffff008831d78: 08813991  add	x8, x8, #0xe60
0xfffffff008831d7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008831d80: 080b8052  mov	w8, #0x58
0xfffffff008831d84: 804fff90  adrp	x0, #0xfffffff007221000
