; Candidate 9359
; ADRP+ADD at VM 0xfffffff008a2e30c (fileoff 0x1a2a30c): page=0x1fe86b000 add_imm=0xe40

0xfffffff008a2e28c: 1002118b  add	x16, x16, x17
0xfffffff008a2e290: 080240f9  ldr	x8, [x16]
0xfffffff008a2e294: e90310aa  mov	x9, x16
0xfffffff008a2e298: e00315aa  mov	x0, x21
0xfffffff008a2e29c: e10316aa  mov	x1, x22
0xfffffff008a2e2a0: f10309aa  mov	x17, x9
0xfffffff008a2e2a4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2e2a8: 11093fd7  blraa	x8, x17
0xfffffff008a2e2ac: e00315aa  mov	x0, x21
0xfffffff008a2e2b0: 62aaf097  bl	#0xfffffff008658c38
0xfffffff008a2e2b4: f70300aa  mov	x23, x0
0xfffffff008a2e2b8: b00240f9  ldr	x16, [x21]
0xfffffff008a2e2bc: f10315aa  mov	x17, x21
0xfffffff008a2e2c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2e2c4: 301ac1da  autda	x16, x17
0xfffffff008a2e2c8: f10310aa  mov	x17, x16
0xfffffff008a2e2cc: f147c1da  xpacd	x17
0xfffffff008a2e2d0: 1f0211eb  cmp	x16, x17
0xfffffff008a2e2d4: 40000054  b.eq	#0xfffffff008a2e2dc
0xfffffff008a2e2d8: 408e38d4  brk	#0xc472
0xfffffff008a2e2dc: 08c21191  add	x8, x16, #0x470
0xfffffff008a2e2e0: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2e2e4: e00315aa  mov	x0, x21
0xfffffff008a2e2e8: e10316aa  mov	x1, x22
0xfffffff008a2e2ec: f10308aa  mov	x17, x8
0xfffffff008a2e2f0: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2e2f4: 31093fd7  blraa	x9, x17
0xfffffff008a2e2f8: e05b02a9  stp	x0, x22, [sp, #0x20]
0xfffffff008a2e2fc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008a2e300: 7843fff0  adrp	x24, #0xfffffff00729d000
0xfffffff008a2e304: 18772091  add	x24, x24, #0x81d
0xfffffff008a2e308: f76300a9  stp	x23, x24, [sp]
0xfffffff008a2e30c: 4043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a2e310: 00003991  add	x0, x0, #0xe40
0xfffffff008a2e314: e180ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2e318: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2e31c: 8343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2e320: 63a03591  add	x3, x3, #0xd68
0xfffffff008a2e324: 02028052  mov	w2, #0x10
0xfffffff008a2e328: 8213e497  bl	#0xfffffff008333130
0xfffffff008a2e32c: e00315aa  mov	x0, x21
0xfffffff008a2e330: 42aaf097  bl	#0xfffffff008658c38
0xfffffff008a2e334: f70300aa  mov	x23, x0
0xfffffff008a2e338: b00240f9  ldr	x16, [x21]
0xfffffff008a2e33c: f10315aa  mov	x17, x21
0xfffffff008a2e340: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2e344: 301ac1da  autda	x16, x17
0xfffffff008a2e348: f10310aa  mov	x17, x16
0xfffffff008a2e34c: f147c1da  xpacd	x17
0xfffffff008a2e350: 1f0211eb  cmp	x16, x17
0xfffffff008a2e354: 40000054  b.eq	#0xfffffff008a2e35c
0xfffffff008a2e358: 408e38d4  brk	#0xc472
0xfffffff008a2e35c: 08c21191  add	x8, x16, #0x470
0xfffffff008a2e360: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2e364: e00315aa  mov	x0, x21
0xfffffff008a2e368: e10316aa  mov	x1, x22
0xfffffff008a2e36c: f10308aa  mov	x17, x8
0xfffffff008a2e370: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2e374: 31093fd7  blraa	x9, x17
0xfffffff008a2e378: e05b02a9  stp	x0, x22, [sp, #0x20]
0xfffffff008a2e37c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008a2e380: f76300a9  stp	x23, x24, [sp]
0xfffffff008a2e384: 6043fff0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2e388: 00b42091  add	x0, x0, #0x82d
