; Candidate 14901
; ADRP+ADD at VM 0xfffffff0099f33c8 (fileoff 0x29ef3c8): page=0x1fdc0b000 add_imm=0xd80

0xfffffff0099f3348: 004c0291  add	x0, x0, #0x93
0xfffffff0099f334c: 010080d2  mov	x1, #0
0xfffffff0099f3350: 505ba697  bl	#0xfffffff00838a090
0xfffffff0099f3354: a00a00b4  cbz	x0, #0xfffffff0099f34a8
0xfffffff0099f3358: f50300aa  mov	x21, x0
0xfffffff0099f335c: d36205f9  str	x19, [x22, #0xac0]
0xfffffff0099f3360: 2815ff90  adrp	x8, #0xfffffff007c97000
0xfffffff0099f3364: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff0099f3368: 000140f9  ldr	x0, [x8]
0xfffffff0099f336c: 10000090  adrp	x16, #0xfffffff0099f3000
0xfffffff0099f3370: 10222591  add	x16, x16, #0x948
0xfffffff0099f3374: d13b8cd2  mov	x17, #0x61de
0xfffffff0099f3378: 3002c1da  pacia	x16, x17
0xfffffff0099f337c: e20310aa  mov	x2, x16
0xfffffff0099f3380: e10315aa  mov	x1, x21
0xfffffff0099f3384: e30313aa  mov	x3, x19
0xfffffff0099f3388: e40313aa  mov	x4, x19
0xfffffff0099f338c: 057d8052  mov	w5, #0x3e8
0xfffffff0099f3390: f159a697  bl	#0xfffffff008389b54
0xfffffff0099f3394: 605600f9  str	x0, [x19, #0xa8]
0xfffffff0099f3398: b00240f9  ldr	x16, [x21]
0xfffffff0099f339c: f10315aa  mov	x17, x21
0xfffffff0099f33a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099f33a4: 301ac1da  autda	x16, x17
0xfffffff0099f33a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099f33ac: e90310aa  mov	x9, x16
0xfffffff0099f33b0: e00315aa  mov	x0, x21
0xfffffff0099f33b4: f10309aa  mov	x17, x9
0xfffffff0099f33b8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0099f33bc: 11093fd7  blraa	x8, x17
0xfffffff0099f33c0: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff0099f33c4: 280700b4  cbz	x8, #0xfffffff0099f34a8
0xfffffff0099f33c8: 40e0fef0  adrp	x0, #0xfffffff0075fe000
0xfffffff0099f33cc: 00003691  add	x0, x0, #0xd80
0xfffffff0099f33d0: 9ad7a497  bl	#0xfffffff008329238
0xfffffff0099f33d4: 400300b4  cbz	x0, #0xfffffff0099f343c
0xfffffff0099f33d8: f40300aa  mov	x20, x0
0xfffffff0099f33dc: 2815ff90  adrp	x8, #0xfffffff007c97000
0xfffffff0099f33e0: 081d40f9  ldr	x8, [x8, #0x38]
0xfffffff0099f33e4: 010140f9  ldr	x1, [x8]
0xfffffff0099f33e8: 700240f9  ldr	x16, [x19]
0xfffffff0099f33ec: f10313aa  mov	x17, x19
0xfffffff0099f33f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099f33f4: 301ac1da  autda	x16, x17
0xfffffff0099f33f8: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0099f33fc: e90310aa  mov	x9, x16
0xfffffff0099f3400: e00313aa  mov	x0, x19
0xfffffff0099f3404: e20314aa  mov	x2, x20
0xfffffff0099f3408: f10309aa  mov	x17, x9
0xfffffff0099f340c: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff0099f3410: 11093fd7  blraa	x8, x17
0xfffffff0099f3414: 900240f9  ldr	x16, [x20]
0xfffffff0099f3418: f10314aa  mov	x17, x20
0xfffffff0099f341c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099f3420: 301ac1da  autda	x16, x17
0xfffffff0099f3424: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0099f3428: e90310aa  mov	x9, x16
0xfffffff0099f342c: e00314aa  mov	x0, x20
0xfffffff0099f3430: f10309aa  mov	x17, x9
0xfffffff0099f3434: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0099f3438: 11093fd7  blraa	x8, x17
0xfffffff0099f343c: 10000090  adrp	x16, #0xfffffff0099f3000
0xfffffff0099f3440: 10a23491  add	x16, x16, #0xd28
0xfffffff0099f3444: 519a80d2  mov	x17, #0x4d2
