; Candidate 15224
; ADRP+ADD at VM 0xfffffff009b40b9c (fileoff 0x2b3cb9c): page=0x1fdae8000 add_imm=0xed0

0xfffffff009b40b1c: 40000054  b.eq	#0xfffffff009b40b24
0xfffffff009b40b20: 408e38d4  brk	#0xc472
0xfffffff009b40b24: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b40b28: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b40b2c: e00313aa  mov	x0, x19
0xfffffff009b40b30: 010080d2  mov	x1, #0
0xfffffff009b40b34: f10308aa  mov	x17, x8
0xfffffff009b40b38: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b40b3c: 31093fd7  blraa	x9, x17
0xfffffff009b40b40: f70300aa  mov	x23, x0
0xfffffff009b40b44: 700240f9  ldr	x16, [x19]
0xfffffff009b40b48: f10313aa  mov	x17, x19
0xfffffff009b40b4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b40b50: 301ac1da  autda	x16, x17
0xfffffff009b40b54: f10310aa  mov	x17, x16
0xfffffff009b40b58: f147c1da  xpacd	x17
0xfffffff009b40b5c: 1f0211eb  cmp	x16, x17
0xfffffff009b40b60: 40000054  b.eq	#0xfffffff009b40b68
0xfffffff009b40b64: 408e38d4  brk	#0xc472
0xfffffff009b40b68: 08620891  add	x8, x16, #0x218
0xfffffff009b40b6c: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b40b70: e00313aa  mov	x0, x19
0xfffffff009b40b74: 010080d2  mov	x1, #0
0xfffffff009b40b78: f10308aa  mov	x17, x8
0xfffffff009b40b7c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b40b80: 31093fd7  blraa	x9, x17
0xfffffff009b40b84: 48d7feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b40b88: 08411f91  add	x8, x8, #0x7d0
0xfffffff009b40b8c: 49d7feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b40b90: 29e11491  add	x9, x9, #0x538
0xfffffff009b40b94: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b40b98: f70300a9  stp	x23, x0, [sp]
0xfffffff009b40b9c: 40d7fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b40ba0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b40ba4: 43d7fef0  adrp	x3, #0xfffffff00762b000
0xfffffff009b40ba8: 63842491  add	x3, x3, #0x921
0xfffffff009b40bac: e10316aa  mov	x1, x22
0xfffffff009b40bb0: e20314aa  mov	x2, x20
0xfffffff009b40bb4: 5fc99f97  bl	#0xfffffff008333130
0xfffffff009b40bb8: abffff17  b	#0xfffffff009b40a64
0xfffffff009b40bbc: 7f2303d5  pacibsp	
0xfffffff009b40bc0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009b40bc4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b40bc8: fd430091  add	x29, sp, #0x10
0xfffffff009b40bcc: 082c42f9  ldr	x8, [x0, #0x458]
0xfffffff009b40bd0: 880300b4  cbz	x8, #0xfffffff009b40c40
0xfffffff009b40bd4: f30300aa  mov	x19, x0
0xfffffff009b40bd8: 016004b9  str	w1, [x0, #0x460]
0xfffffff009b40bdc: 100040f9  ldr	x16, [x0]
0xfffffff009b40be0: f10300aa  mov	x17, x0
0xfffffff009b40be4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b40be8: 301ac1da  autda	x16, x17
0xfffffff009b40bec: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009b40bf0: e90310aa  mov	x9, x16
0xfffffff009b40bf4: f10309aa  mov	x17, x9
0xfffffff009b40bf8: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009b40bfc: 11093fd7  blraa	x8, x17
0xfffffff009b40c00: 603642f9  ldr	x0, [x19, #0x468]
0xfffffff009b40c04: 6bbe8a97  bl	#0xfffffff007df05b0
0xfffffff009b40c08: 1f040071  cmp	w0, #1
0xfffffff009b40c0c: 61010054  b.ne	#0xfffffff009b40c38
0xfffffff009b40c10: 700240f9  ldr	x16, [x19]
0xfffffff009b40c14: f10313aa  mov	x17, x19
0xfffffff009b40c18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
