; Candidate 13407
; ADRP+ADD at VM 0xfffffff0092ceb54 (fileoff 0x22cab54): page=0x1fe211000 add_imm=0xe26

0xfffffff0092cead4: 400300b4  cbz	x0, #0xfffffff0092ceb3c
0xfffffff0092cead8: 700240f9  ldr	x16, [x19]
0xfffffff0092ceadc: f10313aa  mov	x17, x19
0xfffffff0092ceae0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ceae4: 301ac1da  autda	x16, x17
0xfffffff0092ceae8: 116e80d2  mov	x17, #0x370
0xfffffff0092ceaec: 1002118b  add	x16, x16, x17
0xfffffff0092ceaf0: 080240f9  ldr	x8, [x16]
0xfffffff0092ceaf4: e90310aa  mov	x9, x16
0xfffffff0092ceaf8: e00313aa  mov	x0, x19
0xfffffff0092ceafc: f10309aa  mov	x17, x9
0xfffffff0092ceb00: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092ceb04: 11093fd7  blraa	x8, x17
0xfffffff0092ceb08: 100040f9  ldr	x16, [x0]
0xfffffff0092ceb0c: f10300aa  mov	x17, x0
0xfffffff0092ceb10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ceb14: 301ac1da  autda	x16, x17
0xfffffff0092ceb18: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ceb1c: 1002118b  add	x16, x16, x17
0xfffffff0092ceb20: 080240f9  ldr	x8, [x16]
0xfffffff0092ceb24: e90310aa  mov	x9, x16
0xfffffff0092ceb28: 010080d2  mov	x1, #0
0xfffffff0092ceb2c: f10309aa  mov	x17, x9
0xfffffff0092ceb30: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092ceb34: 11093fd7  blraa	x8, x17
0xfffffff0092ceb38: 03000014  b	#0xfffffff0092ceb44
0xfffffff0092ceb3c: 8010ff90  adrp	x0, #0xfffffff0074de000
0xfffffff0092ceb40: 00102191  add	x0, x0, #0x844
0xfffffff0092ceb44: a8024079  ldrh	w8, [x21]
0xfffffff0092ceb48: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092ceb4c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092ceb50: f60300f9  str	x22, [sp]
0xfffffff0092ceb54: 8010ffb0  adrp	x0, #0xfffffff0074df000
0xfffffff0092ceb58: 00983891  add	x0, x0, #0xe26
0xfffffff0092ceb5c: 3121c297  bl	#0xfffffff008357020
0xfffffff0092ceb60: 75aa3991  add	x21, x19, #0xe6a
0xfffffff0092ceb64: 9410ffb0  adrp	x20, #0xfffffff0074df000
0xfffffff0092ceb68: 94b62c91  add	x20, x20, #0xb2d
0xfffffff0092ceb6c: e00314aa  mov	x0, x20
0xfffffff0092ceb70: e10315aa  mov	x1, x21
0xfffffff0092ceb74: 42008052  mov	w2, #2
0xfffffff0092ceb78: 1079c697  bl	#0xfffffff00846cfb8
0xfffffff0092ceb7c: c0070034  cbz	w0, #0xfffffff0092cec74
0xfffffff0092ceb80: 700240f9  ldr	x16, [x19]
0xfffffff0092ceb84: f10313aa  mov	x17, x19
0xfffffff0092ceb88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092ceb8c: 301ac1da  autda	x16, x17
0xfffffff0092ceb90: 113d80d2  mov	x17, #0x1e8
0xfffffff0092ceb94: 1002118b  add	x16, x16, x17
0xfffffff0092ceb98: 080240f9  ldr	x8, [x16]
0xfffffff0092ceb9c: e90310aa  mov	x9, x16
0xfffffff0092ceba0: e00313aa  mov	x0, x19
0xfffffff0092ceba4: 010080d2  mov	x1, #0
0xfffffff0092ceba8: f10309aa  mov	x17, x9
0xfffffff0092cebac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cebb0: 11093fd7  blraa	x8, x17
0xfffffff0092cebb4: f60300aa  mov	x22, x0
0xfffffff0092cebb8: 700240f9  ldr	x16, [x19]
0xfffffff0092cebbc: f10313aa  mov	x17, x19
0xfffffff0092cebc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cebc4: 301ac1da  autda	x16, x17
0xfffffff0092cebc8: 116e80d2  mov	x17, #0x370
0xfffffff0092cebcc: 1002118b  add	x16, x16, x17
0xfffffff0092cebd0: 080240f9  ldr	x8, [x16]
