; Candidate 10537
; ADRP+ADD at VM 0xfffffff008db479c (fileoff 0x1db079c): page=0x1fed3b000 add_imm=0xe40

0xfffffff008db471c: 10a22b91  add	x16, x16, #0xae8
0xfffffff008db4720: 10420091  add	x16, x16, #0x10
0xfffffff008db4724: f10300aa  mov	x17, x0
0xfffffff008db4728: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db472c: 300ac1da  pacda	x16, x17
0xfffffff008db4730: 100000f9  str	x16, [x0]
0xfffffff008db4734: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db4738: ff0f5fd6  retab	
0xfffffff008db473c: 5f2403d5  bti	c
0xfffffff008db4740: 7be3fe17  b	#0xfffffff008d6d52c
0xfffffff008db4744: 5f2403d5  bti	c
0xfffffff008db4748: 79e3fe17  b	#0xfffffff008d6d52c
0xfffffff008db474c: 7f2303d5  pacibsp	
0xfffffff008db4750: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db4754: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db4758: fd430091  add	x29, sp, #0x10
0xfffffff008db475c: f30300aa  mov	x19, x0
0xfffffff008db4760: 73e3fe97  bl	#0xfffffff008d6d52c
0xfffffff008db4764: c069fff0  adrp	x0, #0xfffffff007aef000
0xfffffff008db4768: 00003991  add	x0, x0, #0xe40
0xfffffff008db476c: e10313aa  mov	x1, x19
0xfffffff008db4770: 02108052  mov	w2, #0x80
0xfffffff008db4774: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008db4778: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008db477c: ff2303d5  autibsp	
0xfffffff008db4780: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008db4784: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008db478c
0xfffffff008db4788: 208e38d4  brk	#0xc471
0xfffffff008db478c: c4cbd417  b	#0xfffffff0082e769c
0xfffffff008db4790: 5f2403d5  bti	c
0xfffffff008db4794: e20301aa  mov	x2, x1
0xfffffff008db4798: e10300aa  mov	x1, x0
0xfffffff008db479c: c069fff0  adrp	x0, #0xfffffff007aef000
0xfffffff008db47a0: 00003991  add	x0, x0, #0xe40
0xfffffff008db47a4: becbd417  b	#0xfffffff0082e769c
0xfffffff008db47a8: 5f2403d5  bti	c
0xfffffff008db47ac: 40aa00d0  adrp	x0, #0xfffffff00a2fe000
0xfffffff008db47b0: 00001891  add	x0, x0, #0x600
0xfffffff008db47b4: c0035fd6  ret	
0xfffffff008db47b8: 7f2303d5  pacibsp	
0xfffffff008db47bc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008db47c0: fd030091  mov	x29, sp
0xfffffff008db47c4: 4130ff90  adrp	x1, #0xfffffff0073bc000
0xfffffff008db47c8: 213c2991  add	x1, x1, #0xa4f
0xfffffff008db47cc: 42aa00b0  adrp	x2, #0xfffffff00a2fd000
0xfffffff008db47d0: 42c02f91  add	x2, x2, #0xbf0
0xfffffff008db47d4: 03108052  mov	w3, #0x80
0xfffffff008db47d8: d8bcd497  bl	#0xfffffff0082e3b38
0xfffffff008db47dc: b069ff90  adrp	x16, #0xfffffff007ae8000
0xfffffff008db47e0: 10822e91  add	x16, x16, #0xba0
0xfffffff008db47e4: 10420091  add	x16, x16, #0x10
0xfffffff008db47e8: f10300aa  mov	x17, x0
0xfffffff008db47ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db47f0: 300ac1da  pacda	x16, x17
0xfffffff008db47f4: 100000f9  str	x16, [x0]
0xfffffff008db47f8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db47fc: ff0f5fd6  retab	
0xfffffff008db4800: 7f2303d5  pacibsp	
0xfffffff008db4804: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db4808: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db480c: fd430091  add	x29, sp, #0x10
0xfffffff008db4810: c069fff0  adrp	x0, #0xfffffff007aef000
0xfffffff008db4814: 00003991  add	x0, x0, #0xe40
0xfffffff008db4818: 01108052  mov	w1, #0x80
