; Candidate 13088
; ADRP+ADD at VM 0xfffffff0091e30e4 (fileoff 0x21df0e4): page=0x1fe2bd000 add_imm=0xdd1

0xfffffff0091e3064: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0091e3068: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0091e306c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0091e3070: ff430191  add	sp, sp, #0x50
0xfffffff0091e3074: ff0f5fd6  retab	
0xfffffff0091e3078: c0030035  cbnz	w0, #0xfffffff0091e30f0
0xfffffff0091e307c: b30300b4  cbz	x19, #0xfffffff0091e30f0
0xfffffff0091e3080: 700240f9  ldr	x16, [x19]
0xfffffff0091e3084: f10313aa  mov	x17, x19
0xfffffff0091e3088: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e308c: 301ac1da  autda	x16, x17
0xfffffff0091e3090: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0091e3094: e90310aa  mov	x9, x16
0xfffffff0091e3098: e00313aa  mov	x0, x19
0xfffffff0091e309c: f10309aa  mov	x17, x9
0xfffffff0091e30a0: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff0091e30a4: 11093fd7  blraa	x8, x17
0xfffffff0091e30a8: 1f4001f1  cmp	x0, #0x50
0xfffffff0091e30ac: 48020054  b.hi	#0xfffffff0091e30f4
0xfffffff0091e30b0: 54588052  mov	w20, #0x2c2
0xfffffff0091e30b4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0091e30b8: 700240f9  ldr	x16, [x19]
0xfffffff0091e30bc: f10313aa  mov	x17, x19
0xfffffff0091e30c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e30c4: 301ac1da  autda	x16, x17
0xfffffff0091e30c8: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0091e30cc: e90310aa  mov	x9, x16
0xfffffff0091e30d0: e00313aa  mov	x0, x19
0xfffffff0091e30d4: f10309aa  mov	x17, x9
0xfffffff0091e30d8: 5172f6f2  movk	x17, #0xb392, lsl #48
0xfffffff0091e30dc: 11093fd7  blraa	x8, x17
0xfffffff0091e30e0: e00300f9  str	x0, [sp]
0xfffffff0091e30e4: e015ffb0  adrp	x0, #0xfffffff0074a0000
0xfffffff0091e30e8: 00443791  add	x0, x0, #0xdd1
0xfffffff0091e30ec: dbffff17  b	#0xfffffff0091e3058
0xfffffff0091e30f0: 330400b4  cbz	x19, #0xfffffff0091e3174
0xfffffff0091e30f4: f40313aa  mov	x20, x19
0xfffffff0091e30f8: 34b4f9f2  movk	x20, #0xcda1, lsl #48
0xfffffff0091e30fc: 700240f9  ldr	x16, [x19]
0xfffffff0091e3100: 901ac1da  autda	x16, x20
0xfffffff0091e3104: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0091e3108: e90310aa  mov	x9, x16
0xfffffff0091e310c: e00313aa  mov	x0, x19
0xfffffff0091e3110: 01008252  mov	w1, #0x1000
0xfffffff0091e3114: f10309aa  mov	x17, x9
0xfffffff0091e3118: d1dae7f2  movk	x17, #0x3ed6, lsl #48
0xfffffff0091e311c: 11093fd7  blraa	x8, x17
0xfffffff0091e3120: 600500b4  cbz	x0, #0xfffffff0091e31cc
0xfffffff0091e3124: f60300aa  mov	x22, x0
0xfffffff0091e3128: 100040f9  ldr	x16, [x0]
0xfffffff0091e312c: f10300aa  mov	x17, x0
0xfffffff0091e3130: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091e3134: 301ac1da  autda	x16, x17
0xfffffff0091e3138: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0091e313c: e90310aa  mov	x9, x16
0xfffffff0091e3140: f10309aa  mov	x17, x9
0xfffffff0091e3144: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff0091e3148: 11093fd7  blraa	x8, x17
0xfffffff0091e314c: f70300aa  mov	x23, x0
0xfffffff0091e3150: 700240f9  ldr	x16, [x19]
0xfffffff0091e3154: 901ac1da  autda	x16, x20
0xfffffff0091e3158: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0091e315c: e90310aa  mov	x9, x16
0xfffffff0091e3160: e00313aa  mov	x0, x19
