; Candidate 11176
; ADRP+ADD at VM 0xfffffff008e8d1a0 (fileoff 0x1e891a0): page=0x1fe54e000 add_imm=0xdec

0xfffffff008e8d120: e0079f1a  cset	w0, ne
0xfffffff008e8d124: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008e8d128: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008e8d12c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008e8d130: ff0f5fd6  retab	
0xfffffff008e8d134: 5f2403d5  bti	c
0xfffffff008e8d138: 00008052  mov	w0, #0
0xfffffff008e8d13c: c0035fd6  ret	
0xfffffff008e8d140: 7f2303d5  pacibsp	
0xfffffff008e8d144: ffc300d1  sub	sp, sp, #0x30
0xfffffff008e8d148: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008e8d14c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008e8d150: fd830091  add	x29, sp, #0x20
0xfffffff008e8d154: f30300aa  mov	x19, x0
0xfffffff008e8d158: e103012a  mov	w1, w1
0xfffffff008e8d15c: 42040032  orr	w2, w2, #3
0xfffffff008e8d160: c0f02a94  bl	#0xfffffff009949460
0xfffffff008e8d164: 800100b4  cbz	x0, #0xfffffff008e8d194
0xfffffff008e8d168: 100040f9  ldr	x16, [x0]
0xfffffff008e8d16c: f10300aa  mov	x17, x0
0xfffffff008e8d170: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e8d174: 301ac1da  autda	x16, x17
0xfffffff008e8d178: 088e45f8  ldr	x8, [x16, #0x58]!
0xfffffff008e8d17c: e90310aa  mov	x9, x16
0xfffffff008e8d180: 01208052  mov	w1, #0x100
0xfffffff008e8d184: f10309aa  mov	x17, x9
0xfffffff008e8d188: 31b0e1f2  movk	x17, #0xd81, lsl #48
0xfffffff008e8d18c: 11093fd7  blraa	x8, x17
0xfffffff008e8d190: 000100b5  cbnz	x0, #0xfffffff008e8d1b0
0xfffffff008e8d194: 682affd0  adrp	x8, #0xfffffff0073db000
0xfffffff008e8d198: 085d3891  add	x8, x8, #0xe17
0xfffffff008e8d19c: e84f00a9  stp	x8, x19, [sp]
0xfffffff008e8d1a0: 602affd0  adrp	x0, #0xfffffff0073db000
0xfffffff008e8d1a4: 00b03791  add	x0, x0, #0xdec
0xfffffff008e8d1a8: 9e27d397  bl	#0xfffffff008357020
0xfffffff008e8d1ac: 000080d2  mov	x0, #0
0xfffffff008e8d1b0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008e8d1b4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008e8d1b8: ffc30091  add	sp, sp, #0x30
0xfffffff008e8d1bc: ff0f5fd6  retab	
0xfffffff008e8d1c0: 7f2303d5  pacibsp	
0xfffffff008e8d1c4: ffc300d1  sub	sp, sp, #0x30
0xfffffff008e8d1c8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008e8d1cc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008e8d1d0: fd830091  add	x29, sp, #0x20
0xfffffff008e8d1d4: f30300aa  mov	x19, x0
0xfffffff008e8d1d8: 014400f9  str	x1, [x0, #0x88]
0xfffffff008e8d1dc: 886b8352  mov	w8, #0x1b5c
0xfffffff008e8d1e0: 1400088b  add	x20, x0, x8
0xfffffff008e8d1e4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008e8d1e8: 000005ad  stp	q0, q0, [x0, #0xa0]
0xfffffff008e8d1ec: 000006ad  stp	q0, q0, [x0, #0xc0]
0xfffffff008e8d1f0: 000007ad  stp	q0, q0, [x0, #0xe0]
0xfffffff008e8d1f4: 000008ad  stp	q0, q0, [x0, #0x100]
0xfffffff008e8d1f8: 000009ad  stp	q0, q0, [x0, #0x120]
0xfffffff008e8d1fc: 00000aad  stp	q0, q0, [x0, #0x140]
0xfffffff008e8d200: 00000bad  stp	q0, q0, [x0, #0x160]
0xfffffff008e8d204: 0060803d  str	q0, [x0, #0x180]
0xfffffff008e8d208: 28008052  mov	w8, #1
0xfffffff008e8d20c: 08400639  strb	w8, [x0, #0x190]
0xfffffff008e8d210: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff008e8d214: 09000991  add	x9, x0, #0x240
0xfffffff008e8d218: 000012ad  stp	q0, q0, [x0, #0x240]
0xfffffff008e8d21c: 000013ad  stp	q0, q0, [x0, #0x260]
