; Candidate 13638
; ADRP+ADD at VM 0xfffffff0093b1078 (fileoff 0x23ad078): page=0x1fe151000 add_imm=0xd20

0xfffffff0093b0ff8: 807a4039  ldrb	w0, [x20, #0x1e]
0xfffffff0093b0ffc: 01018052  mov	w1, #8
0xfffffff0093b1000: bbb8bd97  bl	#0xfffffff00831f2ec
0xfffffff0093b1004: f60300aa  mov	x22, x0
0xfffffff0093b1008: b00240f9  ldr	x16, [x21]
0xfffffff0093b100c: f10315aa  mov	x17, x21
0xfffffff0093b1010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b1014: 301ac1da  autda	x16, x17
0xfffffff0093b1018: 112080d2  mov	x17, #0x100
0xfffffff0093b101c: 1002118b  add	x16, x16, x17
0xfffffff0093b1020: 080240f9  ldr	x8, [x16]
0xfffffff0093b1024: e90310aa  mov	x9, x16
0xfffffff0093b1028: 810afff0  adrp	x1, #0xfffffff007504000
0xfffffff0093b102c: 21e40f91  add	x1, x1, #0x3f9
0xfffffff0093b1030: e00315aa  mov	x0, x21
0xfffffff0093b1034: e20316aa  mov	x2, x22
0xfffffff0093b1038: f10309aa  mov	x17, x9
0xfffffff0093b103c: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0093b1040: 11093fd7  blraa	x8, x17
0xfffffff0093b1044: 760100b4  cbz	x22, #0xfffffff0093b1070
0xfffffff0093b1048: d00240f9  ldr	x16, [x22]
0xfffffff0093b104c: f10316aa  mov	x17, x22
0xfffffff0093b1050: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b1054: 301ac1da  autda	x16, x17
0xfffffff0093b1058: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0093b105c: e90310aa  mov	x9, x16
0xfffffff0093b1060: e00316aa  mov	x0, x22
0xfffffff0093b1064: f10309aa  mov	x17, x9
0xfffffff0093b1068: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0093b106c: 11093fd7  blraa	x8, x17
0xfffffff0093b1070: 88024039  ldrb	w8, [x20]
0xfffffff0093b1074: 48011037  tbnz	w8, #2, #0xfffffff0093b109c
0xfffffff0093b1078: 800affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093b107c: 00803491  add	x0, x0, #0xd20
0xfffffff0093b1080: c140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093b1084: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093b1088: 830afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093b108c: 63943d91  add	x3, x3, #0xf65
0xfffffff0093b1090: 42008052  mov	w2, #2
0xfffffff0093b1094: 2708be97  bl	#0xfffffff008333130
0xfffffff0093b1098: 3d000014  b	#0xfffffff0093b118c
0xfffffff0093b109c: 80f24178  ldurh	w0, [x20, #0x1f]
0xfffffff0093b10a0: 01028052  mov	w1, #0x10
0xfffffff0093b10a4: 92b8bd97  bl	#0xfffffff00831f2ec
0xfffffff0093b10a8: f60300aa  mov	x22, x0
0xfffffff0093b10ac: b00240f9  ldr	x16, [x21]
0xfffffff0093b10b0: f10315aa  mov	x17, x21
0xfffffff0093b10b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b10b8: 301ac1da  autda	x16, x17
0xfffffff0093b10bc: 112080d2  mov	x17, #0x100
0xfffffff0093b10c0: 1002118b  add	x16, x16, x17
0xfffffff0093b10c4: 080240f9  ldr	x8, [x16]
0xfffffff0093b10c8: e90310aa  mov	x9, x16
0xfffffff0093b10cc: 810afff0  adrp	x1, #0xfffffff007504000
0xfffffff0093b10d0: 21601091  add	x1, x1, #0x418
0xfffffff0093b10d4: e00315aa  mov	x0, x21
0xfffffff0093b10d8: e20316aa  mov	x2, x22
0xfffffff0093b10dc: f10309aa  mov	x17, x9
0xfffffff0093b10e0: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0093b10e4: 11093fd7  blraa	x8, x17
0xfffffff0093b10e8: 760100b4  cbz	x22, #0xfffffff0093b1114
0xfffffff0093b10ec: d00240f9  ldr	x16, [x22]
0xfffffff0093b10f0: f10316aa  mov	x17, x22
0xfffffff0093b10f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
