; Candidate 14467
; ADRP+ADD at VM 0xfffffff009795958 (fileoff 0x2791958): page=0x1fddf8000 add_imm=0xd31

0xfffffff0097958d8: 00c00891  add	x0, x0, #0x230
0xfffffff0097958dc: 1f3cad97  bl	#0xfffffff0082e4958
0xfffffff0097958e0: f50300aa  mov	x21, x0
0xfffffff0097958e4: e00314aa  mov	x0, x20
0xfffffff0097958e8: 5d4cfc97  bl	#0xfffffff0096a8a5c
0xfffffff0097958ec: f60300aa  mov	x22, x0
0xfffffff0097958f0: e00100b5  cbnz	x0, #0xfffffff00979592c
0xfffffff0097958f4: 900240f9  ldr	x16, [x20]
0xfffffff0097958f8: f10314aa  mov	x17, x20
0xfffffff0097958fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009795900: 301ac1da  autda	x16, x17
0xfffffff009795904: 113d80d2  mov	x17, #0x1e8
0xfffffff009795908: 1002118b  add	x16, x16, x17
0xfffffff00979590c: 080240f9  ldr	x8, [x16]
0xfffffff009795910: e90310aa  mov	x9, x16
0xfffffff009795914: e00314aa  mov	x0, x20
0xfffffff009795918: 010080d2  mov	x1, #0
0xfffffff00979591c: f10309aa  mov	x17, x9
0xfffffff009795920: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009795924: 11093fd7  blraa	x8, x17
0xfffffff009795928: f60300aa  mov	x22, x0
0xfffffff00979592c: e00314aa  mov	x0, x20
0xfffffff009795930: 4b4cfc97  bl	#0xfffffff0096a8a5c
0xfffffff009795934: c8effe90  adrp	x8, #0xfffffff00758d000
0xfffffff009795938: 08c53491  add	x8, x8, #0xd31
0xfffffff00979593c: c9effe90  adrp	x9, #0xfffffff00758d000
0xfffffff009795940: 29c93491  add	x9, x9, #0xd32
0xfffffff009795944: 1f0000f1  cmp	x0, #0
0xfffffff009795948: 3701889a  csel	x23, x9, x8, eq
0xfffffff00979594c: e00314aa  mov	x0, x20
0xfffffff009795950: 434cfc97  bl	#0xfffffff0096a8a5c
0xfffffff009795954: 800000b4  cbz	x0, #0xfffffff009795964
0xfffffff009795958: c0effe90  adrp	x0, #0xfffffff00758d000
0xfffffff00979595c: 00c43491  add	x0, x0, #0xd31
0xfffffff009795960: 0e000014  b	#0xfffffff009795998
0xfffffff009795964: 900240f9  ldr	x16, [x20]
0xfffffff009795968: f10314aa  mov	x17, x20
0xfffffff00979596c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009795970: 301ac1da  autda	x16, x17
0xfffffff009795974: 114380d2  mov	x17, #0x218
0xfffffff009795978: 1002118b  add	x16, x16, x17
0xfffffff00979597c: 080240f9  ldr	x8, [x16]
0xfffffff009795980: e90310aa  mov	x9, x16
0xfffffff009795984: e00314aa  mov	x0, x20
0xfffffff009795988: 010080d2  mov	x1, #0
0xfffffff00979598c: f10309aa  mov	x17, x9
0xfffffff009795990: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009795994: 11093fd7  blraa	x8, x17
0xfffffff009795998: 88e240b9  ldr	w8, [x20, #0xe0]
0xfffffff00979599c: e02302a9  stp	x0, x8, [sp, #0x20]
0xfffffff0097959a0: f65f01a9  stp	x22, x23, [sp, #0x10]
0xfffffff0097959a4: 28f0fed0  adrp	x8, #0xfffffff00759b000
0xfffffff0097959a8: 08113791  add	x8, x8, #0xdc4
0xfffffff0097959ac: f52300a9  stp	x21, x8, [sp]
0xfffffff0097959b0: a0effed0  adrp	x0, #0xfffffff00758b000
0xfffffff0097959b4: 00802191  add	x0, x0, #0x860
0xfffffff0097959b8: 0124ffb0  adrp	x1, #0xfffffff007c16000
0xfffffff0097959bc: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0097959c0: a3f0fed0  adrp	x3, #0xfffffff0075ab000
0xfffffff0097959c4: 63602691  add	x3, x3, #0x998
0xfffffff0097959c8: 02008052  mov	w2, #0
0xfffffff0097959cc: d975ae97  bl	#0xfffffff008333130
0xfffffff0097959d0: 80ae40f9  ldr	x0, [x20, #0x158]
0xfffffff0097959d4: 81e240b9  ldr	w1, [x20, #0xe0]
