; Candidate 16265
; ADRP+ADD at VM 0xfffffff009e3a1ac (fileoff 0x2e361ac): page=0x1fd9ea000 add_imm=0xd97

0xfffffff009e3a12c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009e3a130: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009e3a134: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009e3a138: ff030291  add	sp, sp, #0x80
0xfffffff009e3a13c: ff0f5fd6  retab	
0xfffffff009e3a140: f70302aa  mov	x23, x2
0xfffffff009e3a144: d8028052  mov	w24, #0x16
0xfffffff009e3a148: e2feffb4  cbz	x2, #0xfffffff009e3a124
0xfffffff009e3a14c: f60303aa  mov	x22, x3
0xfffffff009e3a150: a3feffb4  cbz	x3, #0xfffffff009e3a124
0xfffffff009e3a154: f50300aa  mov	x21, x0
0xfffffff009e3a158: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff009e3a15c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009e3a160: e5c30091  add	x5, sp, #0x30
0xfffffff009e3a164: e10314aa  mov	x1, x20
0xfffffff009e3a168: 02008052  mov	w2, #0
0xfffffff009e3a16c: 030080d2  mov	x3, #0
0xfffffff009e3a170: 04008052  mov	w4, #0
0xfffffff009e3a174: 7af4ff97  bl	#0xfffffff009e3735c
0xfffffff009e3a178: 20020034  cbz	w0, #0xfffffff009e3a1bc
0xfffffff009e3a17c: f80300aa  mov	x24, x0
0xfffffff009e3a180: 1f080071  cmp	w0, #2
0xfffffff009e3a184: 00fdff54  b.eq	#0xfffffff009e3a124
0xfffffff009e3a188: 083e8452  mov	w8, #0x21f0
0xfffffff009e3a18c: a802088b  add	x8, x21, x8
0xfffffff009e3a190: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e3a194: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009e3a198: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3a19c: 48cffed0  adrp	x8, #0xfffffff007824000
0xfffffff009e3a1a0: 08653791  add	x8, x8, #0xdd9
0xfffffff009e3a1a4: 49748152  mov	w9, #0xba2
0xfffffff009e3a1a8: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3a1ac: 40cffed0  adrp	x0, #0xfffffff007824000
0xfffffff009e3a1b0: 005c3691  add	x0, x0, #0xd97
0xfffffff009e3a1b4: c4150194  bl	#0xfffffff009e7f8c4
0xfffffff009e3a1b8: dbffff17  b	#0xfffffff009e3a124
0xfffffff009e3a1bc: f31b40f9  ldr	x19, [sp, #0x30]
0xfffffff009e3a1c0: 60e20091  add	x0, x19, #0x38
0xfffffff009e3a1c4: e3e30091  add	x3, sp, #0x38
0xfffffff009e3a1c8: 21008052  mov	w1, #1
0xfffffff009e3a1cc: 020080d2  mov	x2, #0
0xfffffff009e3a1d0: 04018052  mov	w4, #8
0xfffffff009e3a1d4: e2800494  bl	#0xfffffff009f5a55c
0xfffffff009e3a1d8: c0010034  cbz	w0, #0xfffffff009e3a210
0xfffffff009e3a1dc: f80300aa  mov	x24, x0
0xfffffff009e3a1e0: 083e8452  mov	w8, #0x21f0
0xfffffff009e3a1e4: a802088b  add	x8, x21, x8
0xfffffff009e3a1e8: 890640f9  ldr	x9, [x20, #8]
0xfffffff009e3a1ec: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff009e3a1f0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e3a1f4: 48cffed0  adrp	x8, #0xfffffff007824000
0xfffffff009e3a1f8: 08653791  add	x8, x8, #0xdd9
0xfffffff009e3a1fc: 89758152  mov	w9, #0xbac
0xfffffff009e3a200: e82700a9  stp	x8, x9, [sp]
0xfffffff009e3a204: 40cffed0  adrp	x0, #0xfffffff007824000
0xfffffff009e3a208: 00d43791  add	x0, x0, #0xdf5
0xfffffff009e3a20c: 12000014  b	#0xfffffff009e3a254
0xfffffff009e3a210: e2a30091  add	x2, sp, #0x28
0xfffffff009e3a214: e00315aa  mov	x0, x21
0xfffffff009e3a218: e10314aa  mov	x1, x20
0xfffffff009e3a21c: f7760494  bl	#0xfffffff009f57df8
0xfffffff009e3a220: f80300aa  mov	x24, x0
0xfffffff009e3a224: 20020034  cbz	w0, #0xfffffff009e3a268
0xfffffff009e3a228: 083e8452  mov	w8, #0x21f0
