; Candidate 14745
; ADRP+ADD at VM 0xfffffff0098d51a0 (fileoff 0x28d11a0): page=0x1fe3a6000 add_imm=0xd08

0xfffffff0098d5120: 202440f9  ldr	x0, [x1, #0x48]
0xfffffff0098d5124: 600100b4  cbz	x0, #0xfffffff0098d5150
0xfffffff0098d5128: 100040f9  ldr	x16, [x0]
0xfffffff0098d512c: f10300aa  mov	x17, x0
0xfffffff0098d5130: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098d5134: 301ac1da  autda	x16, x17
0xfffffff0098d5138: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0098d513c: e90310aa  mov	x9, x16
0xfffffff0098d5140: f10309aa  mov	x17, x9
0xfffffff0098d5144: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0098d5148: 11093fd7  blraa	x8, x17
0xfffffff0098d514c: 616640f9  ldr	x1, [x19, #0xc8]
0xfffffff0098d5150: 3f2400f9  str	xzr, [x1, #0x48]
0xfffffff0098d5154: 202040f9  ldr	x0, [x1, #0x40]
0xfffffff0098d5158: 600100b4  cbz	x0, #0xfffffff0098d5184
0xfffffff0098d515c: 100040f9  ldr	x16, [x0]
0xfffffff0098d5160: f10300aa  mov	x17, x0
0xfffffff0098d5164: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098d5168: 301ac1da  autda	x16, x17
0xfffffff0098d516c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0098d5170: e90310aa  mov	x9, x16
0xfffffff0098d5174: f10309aa  mov	x17, x9
0xfffffff0098d5178: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0098d517c: 11093fd7  blraa	x8, x17
0xfffffff0098d5180: 616640f9  ldr	x1, [x19, #0xc8]
0xfffffff0098d5184: 3f2000f9  str	xzr, [x1, #0x40]
0xfffffff0098d5188: 203040f9  ldr	x0, [x1, #0x60]
0xfffffff0098d518c: 800000b4  cbz	x0, #0xfffffff0098d519c
0xfffffff0098d5190: ff6b9497  bl	#0xfffffff007df018c
0xfffffff0098d5194: 616640f9  ldr	x1, [x19, #0xc8]
0xfffffff0098d5198: 3f3000f9  str	xzr, [x1, #0x60]
0xfffffff0098d519c: 7f6600f9  str	xzr, [x19, #0xc8]
0xfffffff0098d51a0: 201dffd0  adrp	x0, #0xfffffff007c7b000
0xfffffff0098d51a4: 00203491  add	x0, x0, #0xd08
0xfffffff0098d51a8: 5905aa97  bl	#0xfffffff00835670c
0xfffffff0098d51ac: e81cff90  adrp	x8, #0xfffffff007c71000
0xfffffff0098d51b0: 087942f9  ldr	x8, [x8, #0x4f0]
0xfffffff0098d51b4: 090d48f8  ldr	x9, [x8, #0x80]!
0xfffffff0098d51b8: e00313aa  mov	x0, x19
0xfffffff0098d51bc: f10308aa  mov	x17, x8
0xfffffff0098d51c0: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0098d51c4: 31093fd7  blraa	x9, x17
0xfffffff0098d51c8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0098d51cc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0098d51d0: ff430191  add	sp, sp, #0x50
0xfffffff0098d51d4: ff0f5fd6  retab	
0xfffffff0098d51d8: 7f2303d5  pacibsp	
0xfffffff0098d51dc: ff8301d1  sub	sp, sp, #0x60
0xfffffff0098d51e0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0098d51e4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0098d51e8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0098d51ec: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0098d51f0: fd430191  add	x29, sp, #0x50
0xfffffff0098d51f4: e80301aa  mov	x8, x1
0xfffffff0098d51f8: 141040f9  ldr	x20, [x0, #0x20]
0xfffffff0098d51fc: e91cff90  adrp	x9, #0xfffffff007c71000
0xfffffff0098d5200: 295d42f9  ldr	x9, [x9, #0x4b8]
0xfffffff0098d5204: 210140f9  ldr	x1, [x9]
0xfffffff0098d5208: e00308aa  mov	x0, x8
0xfffffff0098d520c: ba3aa897  bl	#0xfffffff0082e3cf4
0xfffffff0098d5210: c00a00b4  cbz	x0, #0xfffffff0098d5368
0xfffffff0098d5214: f30300aa  mov	x19, x0
0xfffffff0098d5218: 900240f9  ldr	x16, [x20]
0xfffffff0098d521c: f10314aa  mov	x17, x20
