; Candidate 6418
; ADRP+ADD at VM 0xfffffff00882a1f8 (fileoff 0x18261f8): page=0x1fe9f7000 add_imm=0xe3d

0xfffffff00882a178: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00882a17c: 561c0013  sxtb	w22, w2
0xfffffff00882a180: e00301aa  mov	x0, x1
0xfffffff00882a184: e10316aa  mov	x1, x22
0xfffffff00882a188: 92450194  bl	#0xfffffff00887b7d0
0xfffffff00882a18c: c0030034  cbz	w0, #0xfffffff00882a204
0xfffffff00882a190: e2430191  add	x2, sp, #0x50
0xfffffff00882a194: e00318aa  mov	x0, x24
0xfffffff00882a198: e10317aa  mov	x1, x23
0xfffffff00882a19c: 03048052  mov	w3, #0x20
0xfffffff00882a1a0: b4280294  bl	#0xfffffff0088b4470
0xfffffff00882a1a4: e00314aa  mov	x0, x20
0xfffffff00882a1a8: e10316aa  mov	x1, x22
0xfffffff00882a1ac: 89450194  bl	#0xfffffff00887b7d0
0xfffffff00882a1b0: 20080034  cbz	w0, #0xfffffff00882a2b4
0xfffffff00882a1b4: e00314aa  mov	x0, x20
0xfffffff00882a1b8: 98450194  bl	#0xfffffff00887b818
0xfffffff00882a1bc: 9302f837  tbnz	w19, #0x1f, #0xfffffff00882a20c
0xfffffff00882a1c0: 78021b12  and	w24, w19, #0x20
0xfffffff00882a1c4: 19000052  eor	w25, w0, #1
0xfffffff00882a1c8: f9270294  bl	#0xfffffff0088b41ac
0xfffffff00882a1cc: f70300aa  mov	x23, x0
0xfffffff00882a1d0: e00316aa  mov	x0, x22
0xfffffff00882a1d4: 9f450194  bl	#0xfffffff00887b850
0xfffffff00882a1d8: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff00882a1dc: e8020037  tbnz	w8, #0, #0xfffffff00882a238
0xfffffff00882a1e0: a80240b9  ldr	w8, [x21]
0xfffffff00882a1e4: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff00882a1e8: e8430191  add	x8, sp, #0x50
0xfffffff00882a1ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882a1f0: e80314aa  mov	x8, x20
0xfffffff00882a1f4: f72300a9  stp	x23, x8, [sp]
0xfffffff00882a1f8: a04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff00882a1fc: 00f43891  add	x0, x0, #0xe3d
0xfffffff00882a200: 0c000014  b	#0xfffffff00882a230
0xfffffff00882a204: e07c8012  mov	w0, #-0x3e8
0xfffffff00882a208: 80000014  b	#0xfffffff00882a408
0xfffffff00882a20c: c0030034  cbz	w0, #0xfffffff00882a284
0xfffffff00882a210: e803134b  neg	w8, w19
0xfffffff00882a214: 88032837  tbnz	w8, #5, #0xfffffff00882a284
0xfffffff00882a218: a80240b9  ldr	w8, [x21]
0xfffffff00882a21c: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff00882a220: e8430191  add	x8, sp, #0x50
0xfffffff00882a224: e80300f9  str	x8, [sp]
0xfffffff00882a228: a04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff00882a22c: 00703891  add	x0, x0, #0xe1c
0xfffffff00882a230: 8c34d697  bl	#0xfffffff007db7460
0xfffffff00882a234: 20000014  b	#0xfffffff00882a2b4
0xfffffff00882a238: dd270294  bl	#0xfffffff0088b41ac
0xfffffff00882a23c: f70300aa  mov	x23, x0
0xfffffff00882a240: e00316aa  mov	x0, x22
0xfffffff00882a244: 83450194  bl	#0xfffffff00887b850
0xfffffff00882a248: a80240b9  ldr	w8, [x21]
0xfffffff00882a24c: f52302a9  stp	x21, x8, [sp, #0x20]
0xfffffff00882a250: e8430191  add	x8, sp, #0x50
0xfffffff00882a254: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882a258: e80314aa  mov	x8, x20
0xfffffff00882a25c: f72300a9  stp	x23, x8, [sp]
0xfffffff00882a260: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a264: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a268: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a26c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a270: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a274: 63280291  add	x3, x3, #0x8a
