; Candidate 12544
; ADRP+ADD at VM 0xfffffff0090b7934 (fileoff 0x20b3934): page=0x1fe3a2000 add_imm=0xe24

0xfffffff0090b78b4: 02008052  mov	w2, #0
0xfffffff0090b78b8: f10309aa  mov	x17, x9
0xfffffff0090b78bc: 916dfef2  movk	x17, #0xf36c, lsl #48
0xfffffff0090b78c0: 11093fd7  blraa	x8, x17
0xfffffff0090b78c4: 3f030071  cmp	w25, #0
0xfffffff0090b78c8: c8088052  mov	w8, #0x46
0xfffffff0090b78cc: 49018052  mov	w9, #0xa
0xfffffff0090b78d0: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090b78d4: 14ff6093  asr	x20, x24, #0x20
0xfffffff0090b78d8: e9a24339  ldrb	w9, [x23, #0xe8]
0xfffffff0090b78dc: 1f01096b  cmp	w8, w9
0xfffffff0090b78e0: 03030054  b.lo	#0xfffffff0090b7940
0xfffffff0090b78e4: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff0090b78e8: e8010034  cbz	w8, #0xfffffff0090b7924
0xfffffff0090b78ec: 700240f9  ldr	x16, [x19]
0xfffffff0090b78f0: f10313aa  mov	x17, x19
0xfffffff0090b78f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090b78f8: 301ac1da  autda	x16, x17
0xfffffff0090b78fc: 113d80d2  mov	x17, #0x1e8
0xfffffff0090b7900: 1002118b  add	x16, x16, x17
0xfffffff0090b7904: 080240f9  ldr	x8, [x16]
0xfffffff0090b7908: e90310aa  mov	x9, x16
0xfffffff0090b790c: e00313aa  mov	x0, x19
0xfffffff0090b7910: 010080d2  mov	x1, #0
0xfffffff0090b7914: f10309aa  mov	x17, x9
0xfffffff0090b7918: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0090b791c: 11093fd7  blraa	x8, x17
0xfffffff0090b7920: 03000014  b	#0xfffffff0090b792c
0xfffffff0090b7924: 601dfff0  adrp	x0, #0xfffffff007466000
0xfffffff0090b7928: 008c2991  add	x0, x0, #0xa63
0xfffffff0090b792c: f6d300a9  stp	x22, x20, [sp, #8]
0xfffffff0090b7930: e00300f9  str	x0, [sp]
0xfffffff0090b7934: 001dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090b7938: 00903891  add	x0, x0, #0xe24
0xfffffff0090b793c: b97dca97  bl	#0xfffffff008357020
0xfffffff0090b7940: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090b7944: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090b7948: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090b794c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090b7950: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0090b7954: ff030291  add	sp, sp, #0x80
0xfffffff0090b7958: ff0f5fd6  retab	
0xfffffff0090b795c: a8f38052  mov	w8, #0x79d
0xfffffff0090b7960: 691dfff0  adrp	x9, #0xfffffff007466000
0xfffffff0090b7964: 29652e91  add	x9, x9, #0xb99
0xfffffff0090b7968: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090b796c: 081dffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090b7970: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090b7974: 8a1dff90  adrp	x10, #0xfffffff007467000
0xfffffff0090b7978: 4ab50991  add	x10, x10, #0x26d
0xfffffff0090b797c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090b7980: ea0300f9  str	x10, [sp]
0xfffffff0090b7984: 001dffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090b7988: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090b798c: a57dca97  bl	#0xfffffff008357020
0xfffffff0090b7990: c8088052  mov	w8, #0x46
0xfffffff0090b7994: d4a69f92  mov	x20, #-0xfd37
0xfffffff0090b7998: 1400bcf2  movk	x20, #0xe000, lsl #16
0xfffffff0090b799c: cfffff17  b	#0xfffffff0090b78d8
0xfffffff0090b79a0: e8f48052  mov	w8, #0x7a7
0xfffffff0090b79a4: 691dfff0  adrp	x9, #0xfffffff007466000
0xfffffff0090b79a8: 29652e91  add	x9, x9, #0xb99
0xfffffff0090b79ac: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090b79b0: 081dffd0  adrp	x8, #0xfffffff007459000
