; Candidate 5865
; ADRP+ADD at VM 0xfffffff008809930 (fileoff 0x1805930): page=0x1fe9e0000 add_imm=0xe80

0xfffffff0088098b0: f01b43b9  ldr	w16, [sp, #0x318]
0xfffffff0088098b4: f11f43b9  ldr	w17, [sp, #0x31c]
0xfffffff0088098b8: e12343b9  ldr	w1, [sp, #0x320]
0xfffffff0088098bc: f10707a9  stp	x17, x1, [sp, #0x70]
0xfffffff0088098c0: ef4306a9  stp	x15, x16, [sp, #0x60]
0xfffffff0088098c4: ed3b05a9  stp	x13, x14, [sp, #0x50]
0xfffffff0088098c8: eb3304a9  stp	x11, x12, [sp, #0x40]
0xfffffff0088098cc: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088098d0: 89908052  mov	w9, #0x484
0xfffffff0088098d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088098d8: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff0088098dc: 085d2e91  add	x8, x8, #0xb97
0xfffffff0088098e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088098e4: 880e8052  mov	w8, #0x74
0xfffffff0088098e8: 8050ffb0  adrp	x0, #0xfffffff00721a000
0xfffffff0088098ec: 00b83391  add	x0, x0, #0xcee
0xfffffff0088098f0: f42300a9  stp	x20, x8, [sp]
0xfffffff0088098f4: dbb6d697  bl	#0xfffffff007db7460
0xfffffff0088098f8: 15ffff17  b	#0xfffffff00880954c
0xfffffff0088098fc: 2caa0294  bl	#0xfffffff0088b41ac
0xfffffff008809900: f30300aa  mov	x19, x0
0xfffffff008809904: 80008052  mov	w0, #4
0xfffffff008809908: d2c70194  bl	#0xfffffff00887b850
0xfffffff00880990c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809910: 08e12f91  add	x8, x8, #0xbf8
0xfffffff008809914: 298c8052  mov	w9, #0x461
0xfffffff008809918: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880991c: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008809920: 085d2e91  add	x8, x8, #0xb97
0xfffffff008809924: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008809928: 880e8052  mov	w8, #0x74
0xfffffff00880992c: f32300a9  stp	x19, x8, [sp]
0xfffffff008809930: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809934: 00003a91  add	x0, x0, #0xe80
0xfffffff008809938: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880993c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008809940: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff008809944: 63603091  add	x3, x3, #0xc18
0xfffffff008809948: 02008052  mov	w2, #0
0xfffffff00880994c: f9a5ec97  bl	#0xfffffff008333130
0xfffffff008809950: 18000014  b	#0xfffffff0088099b0
0xfffffff008809954: 16aa0294  bl	#0xfffffff0088b41ac
0xfffffff008809958: f40300aa  mov	x20, x0
0xfffffff00880995c: 80008052  mov	w0, #4
0xfffffff008809960: bcc70194  bl	#0xfffffff00887b850
0xfffffff008809964: 6ac640b9  ldr	w10, [x19, #0xc4]
0xfffffff008809968: 2850fff0  adrp	x8, #0xfffffff007210000
0xfffffff00880996c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008809970: 29908052  mov	w9, #0x481
0xfffffff008809974: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008809978: 8850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff00880997c: 085d2e91  add	x8, x8, #0xb97
0xfffffff008809980: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008809984: 880e8052  mov	w8, #0x74
0xfffffff008809988: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880998c: f40300f9  str	x20, [sp]
0xfffffff008809990: 004fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008809994: 00003a91  add	x0, x0, #0xe80
0xfffffff008809998: e18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880999c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088099a0: e351ff90  adrp	x3, #0xfffffff007245000
0xfffffff0088099a4: 63183391  add	x3, x3, #0xcc6
0xfffffff0088099a8: 02008052  mov	w2, #0
0xfffffff0088099ac: e1a5ec97  bl	#0xfffffff008333130
