; Candidate 660
; ADRP+ADD at VM 0xfffffff00800dc8c (fileoff 0x1009c8c): page=0x1ff968000 add_imm=0xdb0

0xfffffff00800dc0c: 3f0d0071  cmp	w9, #3
0xfffffff00800dc10: a3010054  b.lo	#0xfffffff00800dc44
0xfffffff00800dc14: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff00800dc18: e982ffb0  adrp	x9, #0xfffffff00706a000
0xfffffff00800dc1c: 29c13a91  add	x9, x9, #0xeb0
0xfffffff00800dc20: e90300f9  str	x9, [sp]
0xfffffff00800dc24: e07ffff0  adrp	x0, #0xfffffff00700c000
0xfffffff00800dc28: 00000091  add	x0, x0, #0
0xfffffff00800dc2c: 611001b0  adrp	x1, #0xfffffff00a21a000
0xfffffff00800dc30: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800dc34: 4385ffd0  adrp	x3, #0xfffffff0070b7000
0xfffffff00800dc38: 63503991  add	x3, x3, #0xe54
0xfffffff00800dc3c: 02028052  mov	w2, #0x10
0xfffffff00800dc40: 3c950c94  bl	#0xfffffff008333130
0xfffffff00800dc44: 63008052  mov	w3, #3
0xfffffff00800dc48: e00314aa  mov	x0, x20
0xfffffff00800dc4c: 21008052  mov	w1, #1
0xfffffff00800dc50: e20313aa  mov	x2, x19
0xfffffff00800dc54: 91030094  bl	#0xfffffff00800ea98
0xfffffff00800dc58: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff00800dc5c: c90d01d0  adrp	x9, #0xfffffff00a1c7000
0xfffffff00800dc60: 29010091  add	x9, x9, #0
0xfffffff00800dc64: 290140f9  ldr	x9, [x9]
0xfffffff00800dc68: 3f0108eb  cmp	x9, x8
0xfffffff00800dc6c: a1130054  b.ne	#0xfffffff00800dee0
0xfffffff00800dc70: fd7b56a9  ldp	x29, x30, [sp, #0x160]
0xfffffff00800dc74: f44f55a9  ldp	x20, x19, [sp, #0x150]
0xfffffff00800dc78: f65754a9  ldp	x22, x21, [sp, #0x140]
0xfffffff00800dc7c: f85f53a9  ldp	x24, x23, [sp, #0x130]
0xfffffff00800dc80: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff00800dc84: ffc30591  add	sp, sp, #0x170
0xfffffff00800dc88: ff0f5fd6  retab	
0xfffffff00800dc8c: 40cbff90  adrp	x0, #0xfffffff007975000
0xfffffff00800dc90: 00c03691  add	x0, x0, #0xdb0
0xfffffff00800dc94: 81009052  mov	w1, #0x8004
0xfffffff00800dc98: 8f64f697  bl	#0xfffffff007da6ed4
0xfffffff00800dc9c: f50300aa  mov	x21, x0
0xfffffff00800dca0: d8620391  add	x24, x22, #0xd8
0xfffffff00800dca4: 00cbffd0  adrp	x0, #0xfffffff00796f000
0xfffffff00800dca8: 00201a91  add	x0, x0, #0x688
0xfffffff00800dcac: e10318aa  mov	x1, x24
0xfffffff00800dcb0: 02009052  mov	w2, #0x8000
0xfffffff00800dcb4: 030080d2  mov	x3, #0
0xfffffff00800dcb8: 1262f697  bl	#0xfffffff007da6500
0xfffffff00800dcbc: e30300aa  mov	x3, x0
0xfffffff00800dcc0: a04200f9  str	x0, [x21, #0x80]
0xfffffff00800dcc4: 0880ffb0  adrp	x8, #0xfffffff00700e000
0xfffffff00800dcc8: 008143fd  ldr	d0, [x8, #0x700]
0xfffffff00800dccc: f60315aa  mov	x22, x21
0xfffffff00800dcd0: c00e01fc  str	d0, [x22, #0x10]!
0xfffffff00800dcd4: 48c6ffb0  adrp	x8, #0xfffffff0078d6000
0xfffffff00800dcd8: 08814db9  ldr	w8, [x8, #0xd80]
0xfffffff00800dcdc: 087d0f53  lsr	w8, w8, #0xf
0xfffffff00800dce0: 08011f12  and	w8, w8, #2
0xfffffff00800dce4: 49088052  mov	w9, #0x42
0xfffffff00800dce8: 0801094a  eor	w8, w8, w9
0xfffffff00800dcec: bf320079  strh	wzr, [x21, #0x18]
0xfffffff00800dcf0: a8360079  strh	w8, [x21, #0x1a]
0xfffffff00800dcf4: bf1e00b9  str	wzr, [x21, #0x1c]
0xfffffff00800dcf8: 890d01b0  adrp	x9, #0xfffffff00a1be000
0xfffffff00800dcfc: 29310f91  add	x9, x9, #0x3cc
0xfffffff00800dd00: 2a410091  add	x10, x9, #0x10
0xfffffff00800dd04: 28008052  mov	w8, #1
0xfffffff00800dd08: 4a0128b8  ldadd	w8, w10, [x10]
