; Candidate 10954
; ADRP+ADD at VM 0xfffffff008dee40c (fileoff 0x1dea40c): page=0x1fe5d6000 add_imm=0xd21

0xfffffff008dee38c: 00c03791  add	x0, x0, #0xdf0
0xfffffff008dee390: e10313aa  mov	x1, x19
0xfffffff008dee394: e20314aa  mov	x2, x20
0xfffffff008dee398: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008dee39c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008dee3a0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008dee3a4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008dee3a8: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008dee3ac: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008dee3b0: ff2303d5  autibsp	
0xfffffff008dee3b4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008dee3b8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008dee3c0
0xfffffff008dee3bc: 208e38d4  brk	#0xc471
0xfffffff008dee3c0: 8aa2d517  b	#0xfffffff008356de8
0xfffffff008dee3c4: c0035fd6  ret	
0xfffffff008dee3c8: 7f2303d5  pacibsp	
0xfffffff008dee3cc: ff8301d1  sub	sp, sp, #0x60
0xfffffff008dee3d0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008dee3d4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008dee3d8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008dee3dc: fd430191  add	x29, sp, #0x50
0xfffffff008dee3e0: f30300aa  mov	x19, x0
0xfffffff008dee3e4: 95a800b0  adrp	x21, #0xfffffff00a2ff000
0xfffffff008dee3e8: b5422c91  add	x21, x21, #0xb10
0xfffffff008dee3ec: a8024039  ldrb	w8, [x21]
0xfffffff008dee3f0: 942efff0  adrp	x20, #0xfffffff0073c1000
0xfffffff008dee3f4: 949e0c91  add	x20, x20, #0x327
0xfffffff008dee3f8: 1f290071  cmp	w8, #0xa
0xfffffff008dee3fc: e8000054  b.hi	#0xfffffff008dee418
0xfffffff008dee400: a82effb0  adrp	x8, #0xfffffff0073c3000
0xfffffff008dee404: 08f13e91  add	x8, x8, #0xfbc
0xfffffff008dee408: f42300a9  stp	x20, x8, [sp]
0xfffffff008dee40c: a02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dee410: 00843491  add	x0, x0, #0xd21
0xfffffff008dee414: 03a3d597  bl	#0xfffffff008357020
0xfffffff008dee418: 732400b4  cbz	x19, #0xfffffff008dee8a4
0xfffffff008dee41c: 680240b9  ldr	w8, [x19]
0xfffffff008dee420: 10050051  sub	w16, w8, #1
0xfffffff008dee424: 1f5a0071  cmp	w16, #0x16
0xfffffff008dee428: c8130054  b.hi	#0xfffffff008dee6a0
0xfffffff008dee42c: 1f5a00f1  cmp	x16, #0x16
0xfffffff008dee430: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008dee434: 11000090  adrp	x17, #0xfffffff008dee000
0xfffffff008dee438: 31222391  add	x17, x17, #0x8c8
0xfffffff008dee43c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008dee440: 11000010  adr	x17, #0xfffffff008dee440
0xfffffff008dee444: 3002108b  add	x16, x17, x16
0xfffffff008dee448: 00021fd6  br	x16
0xfffffff008dee44c: 9f2403d5  bti	j
0xfffffff008dee450: a02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dee454: 003c1291  add	x0, x0, #0x48f
0xfffffff008dee458: a32effb0  adrp	x3, #0xfffffff0073c3000
0xfffffff008dee45c: 63e43591  add	x3, x3, #0xd79
0xfffffff008dee460: a52effb0  adrp	x5, #0xfffffff0073c3000
0xfffffff008dee464: a5f03e91  add	x5, x5, #0xfbc
0xfffffff008dee468: e10313aa  mov	x1, x19
0xfffffff008dee46c: 02048052  mov	w2, #0x20
0xfffffff008dee470: a4178052  mov	w4, #0xbd
0xfffffff008dee474: 15e2ff97  bl	#0xfffffff008de6cc8
0xfffffff008dee478: 0068fff0  adrp	x0, #0xfffffff007af1000
0xfffffff008dee47c: 00003091  add	x0, x0, #0xc00
0xfffffff008dee480: e10313aa  mov	x1, x19
0xfffffff008dee484: a2a0d597  bl	#0xfffffff00835670c
0xfffffff008dee488: f4000014  b	#0xfffffff008dee858
