; Candidate 410
; ADRP+ADD at VM 0xfffffff007f05d04 (fileoff 0xf01d04): page=0x2337000 add_imm=0xdc8

0xfffffff007f05c84: 8c1801d0  adrp	x12, #0xfffffff00a217000
0xfffffff007f05c88: 8ce586b9  ldrsw	x12, [x12, #0x6e4]
0xfffffff007f05c8c: 7f010ceb  cmp	x11, x12
0xfffffff007f05c90: 6c010054  b.gt	#0xfffffff007f05cbc
0xfffffff007f05c94: 4a011837  tbnz	w10, #3, #0xfffffff007f05cbc
0xfffffff007f05c98: aa1a48b9  ldr	w10, [x21, #0x818]
0xfffffff007f05c9c: 5f090071  cmp	w10, #2
0xfffffff007f05ca0: e1000054  b.ne	#0xfffffff007f05cbc
0xfffffff007f05ca4: ca170190  adrp	x10, #0xfffffff00a1fd000
0xfffffff007f05ca8: 4a2942f9  ldr	x10, [x10, #0x450]
0xfffffff007f05cac: cb170190  adrp	x11, #0xfffffff00a1fd000
0xfffffff007f05cb0: 6b6d83b9  ldrsw	x11, [x11, #0x36c]
0xfffffff007f05cb4: 5f010beb  cmp	x10, x11
0xfffffff007f05cb8: 6b020054  b.lt	#0xfffffff007f05d04
0xfffffff007f05cbc: 0a008052  mov	w10, #0
0xfffffff007f05cc0: 6bd20291  add	x11, x19, #0xb4
0xfffffff007f05cc4: 0c00a452  mov	w12, #0x20000000
0xfffffff007f05cc8: 6c7daa88  cas	w10, w12, [x11]
0xfffffff007f05ccc: 5f010071  cmp	w10, #0
0xfffffff007f05cd0: a1010054  b.ne	#0xfffffff007f05d04
0xfffffff007f05cd4: 6b420091  add	x11, x19, #0x10
0xfffffff007f05cd8: 6a0140f9  ldr	x10, [x11]
0xfffffff007f05cdc: 4a0200b4  cbz	x10, #0xfffffff007f05d24
0xfffffff007f05ce0: 4c0d40f9  ldr	x12, [x10, #0x18]
0xfffffff007f05ce4: 9f010beb  cmp	x12, x11
0xfffffff007f05ce8: c10f0054  b.ne	#0xfffffff007f05ee0
0xfffffff007f05cec: 2b0140f9  ldr	x11, [x9]
0xfffffff007f05cf0: 7f0113eb  cmp	x11, x19
0xfffffff007f05cf4: a10d0054  b.ne	#0xfffffff007f05ea8
0xfffffff007f05cf8: 490d00f9  str	x9, [x10, #0x18]
0xfffffff007f05cfc: 6a2641a9  ldp	x10, x9, [x19, #0x10]
0xfffffff007f05d00: 0f000014  b	#0xfffffff007f05d3c
0xfffffff007f05d04: a01901f0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f05d08: 00203791  add	x0, x0, #0xdc8
0xfffffff007f05d0c: 9ea7fa97  bl	#0xfffffff007dafb84
0xfffffff007f05d10: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007f05d14: c6ffff17  b	#0xfffffff007f05c2c
0xfffffff007f05d18: e00313aa  mov	x0, x19
0xfffffff007f05d1c: 929afa97  bl	#0xfffffff007dac764
0xfffffff007f05d20: c9ffff17  b	#0xfffffff007f05c44
0xfffffff007f05d24: 2a0140f9  ldr	x10, [x9]
0xfffffff007f05d28: 5f0113eb  cmp	x10, x19
0xfffffff007f05d2c: e10b0054  b.ne	#0xfffffff007f05ea8
0xfffffff007f05d30: 0a0080d2  mov	x10, #0
0xfffffff007f05d34: cb170190  adrp	x11, #0xfffffff00a1fd000
0xfffffff007f05d38: 69d901f9  str	x9, [x11, #0x3b0]
0xfffffff007f05d3c: 2a0100f9  str	x10, [x9]
0xfffffff007f05d40: 7f5201a9  stp	xzr, x20, [x19, #0x10]
0xfffffff007f05d44: 695240b9  ldr	w9, [x19, #0x50]
0xfffffff007f05d48: ca170190  adrp	x10, #0xfffffff00a1fd000
0xfffffff007f05d4c: 4b2942f9  ldr	x11, [x10, #0x450]
0xfffffff007f05d50: 6b0500d1  sub	x11, x11, #1
0xfffffff007f05d54: 4b2902f9  str	x11, [x10, #0x450]
0xfffffff007f05d58: a9001836  tbz	w9, #3, #0xfffffff007f05d6c
0xfffffff007f05d5c: c9170190  adrp	x9, #0xfffffff00a1fd000
0xfffffff007f05d60: 2afd41f9  ldr	x10, [x9, #0x3f8]
0xfffffff007f05d64: 4a0500d1  sub	x10, x10, #1
0xfffffff007f05d68: 2afd01f9  str	x10, [x9, #0x3f8]
0xfffffff007f05d6c: 09e146f9  ldr	x9, [x8, #0xdc0]
0xfffffff007f05d70: 290500d1  sub	x9, x9, #1
0xfffffff007f05d74: 09e106f9  str	x9, [x8, #0xdc0]
0xfffffff007f05d78: c8170190  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f05d7c: 090144b9  ldr	w9, [x8, #0x400]
0xfffffff007f05d80: 29050051  sub	w9, w9, #1
