; Candidate 2330
; ADRP+ADD at VM 0xfffffff008617630 (fileoff 0x1613630): page=0x1feae4000 add_imm=0xd2a

0xfffffff0086175b0: 2b1e8052  mov	w11, #0xf1
0xfffffff0086175b4: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0086175b8: 2a57ffb0  adrp	x10, #0xfffffff0070fc000
0xfffffff0086175bc: 4a291891  add	x10, x10, #0x60a
0xfffffff0086175c0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0086175c4: e02b00a9  stp	x0, x10, [sp]
0xfffffff0086175c8: 2057ffb0  adrp	x0, #0xfffffff0070fc000
0xfffffff0086175cc: 00ac1691  add	x0, x0, #0x5ab
0xfffffff0086175d0: cff3f997  bl	#0xfffffff00849450c
0xfffffff0086175d4: 7f2303d5  pacibsp	
0xfffffff0086175d8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0086175dc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0086175e0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0086175e4: fdc30091  add	x29, sp, #0x30
0xfffffff0086175e8: f30301aa  mov	x19, x1
0xfffffff0086175ec: 100040f9  ldr	x16, [x0]
0xfffffff0086175f0: f10300aa  mov	x17, x0
0xfffffff0086175f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086175f8: 301ac1da  autda	x16, x17
0xfffffff0086175fc: 113d80d2  mov	x17, #0x1e8
0xfffffff008617600: 1002118b  add	x16, x16, x17
0xfffffff008617604: 080240f9  ldr	x8, [x16]
0xfffffff008617608: e90310aa  mov	x9, x16
0xfffffff00861760c: 010080d2  mov	x1, #0
0xfffffff008617610: f10309aa  mov	x17, x9
0xfffffff008617614: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008617618: 11093fd7  blraa	x8, x17
0xfffffff00861761c: 08888152  mov	w8, #0xc40
0xfffffff008617620: 2957ffb0  adrp	x9, #0xfffffff0070fc000
0xfffffff008617624: 296d1891  add	x9, x9, #0x61b
0xfffffff008617628: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00861762c: e04f00a9  stp	x0, x19, [sp]
0xfffffff008617630: 2057ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff008617634: 00a83491  add	x0, x0, #0xd2a
0xfffffff008617638: b5f3f997  bl	#0xfffffff00849450c
0xfffffff00861763c: 7f2303d5  pacibsp	
0xfffffff008617640: ff4301d1  sub	sp, sp, #0x50
0xfffffff008617644: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008617648: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00861764c: fd030191  add	x29, sp, #0x40
0xfffffff008617650: f30302aa  mov	x19, x2
0xfffffff008617654: 100040f9  ldr	x16, [x0]
0xfffffff008617658: 3018c1da  autda	x16, x1
0xfffffff00861765c: 113d80d2  mov	x17, #0x1e8
0xfffffff008617660: 1002118b  add	x16, x16, x17
0xfffffff008617664: 080240f9  ldr	x8, [x16]
0xfffffff008617668: e90310aa  mov	x9, x16
0xfffffff00861766c: 010080d2  mov	x1, #0
0xfffffff008617670: f10309aa  mov	x17, x9
0xfffffff008617674: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008617678: 11093fd7  blraa	x8, x17
0xfffffff00861767c: 6ac78052  mov	w10, #0x63b
0xfffffff008617680: 2857ffb0  adrp	x8, #0xfffffff0070fc000
0xfffffff008617684: 086d1891  add	x8, x8, #0x61b
0xfffffff008617688: 2957ff90  adrp	x9, #0xfffffff0070fb000
0xfffffff00861768c: 29513c91  add	x9, x9, #0xf14
0xfffffff008617690: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008617694: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff008617698: e00300f9  str	x0, [sp]
0xfffffff00861769c: 2057ffd0  adrp	x0, #0xfffffff0070fd000
0xfffffff0086176a0: 006c0c91  add	x0, x0, #0x31b
0xfffffff0086176a4: 9af3f997  bl	#0xfffffff00849450c
0xfffffff0086176a8: 7f2303d5  pacibsp	
0xfffffff0086176ac: ff0301d1  sub	sp, sp, #0x40
