; Candidate 1079
; ADRP+ADD at VM 0xfffffff0081f7e30 (fileoff 0x11f3e30): page=0x1fd4000 add_imm=0xd24

0xfffffff0081f7db0: 03008052  mov	w3, #0
0xfffffff0081f7db4: 30a2ed97  bl	#0xfffffff007d60674
0xfffffff0081f7db8: 6effff97  bl	#0xfffffff0081f7b70
0xfffffff0081f7dbc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0081f7dc0: ff430191  add	sp, sp, #0x50
0xfffffff0081f7dc4: ff0f5fd6  retab	
0xfffffff0081f7dc8: 7f2303d5  pacibsp	
0xfffffff0081f7dcc: ff4301d1  sub	sp, sp, #0x50
0xfffffff0081f7dd0: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0081f7dd4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0081f7dd8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0081f7ddc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0081f7de0: fd030191  add	x29, sp, #0x40
0xfffffff0081f7de4: f30303aa  mov	x19, x3
0xfffffff0081f7de8: 94d038d5  mrs	x20, tpidr_el1
0xfffffff0081f7dec: 884a41b9  ldr	w8, [x20, #0x148]
0xfffffff0081f7df0: 08050011  add	w8, w8, #1
0xfffffff0081f7df4: 884a01b9  str	w8, [x20, #0x148]
0xfffffff0081f7df8: b7fe0090  adrp	x23, #0xfffffff00a1cb000
0xfffffff0081f7dfc: f7b23491  add	x23, x23, #0xd2c
0xfffffff0081f7e00: 0820a052  mov	w8, #0x1000000
0xfffffff0081f7e04: e802a8b8  ldadda	w8, w8, [x23]
0xfffffff0081f7e08: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f7e0c: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f7e10: b5fe0090  adrp	x21, #0xfffffff00a1cb000
0xfffffff0081f7e14: e10d0054  b.ne	#0xfffffff0081f7fd0
0xfffffff0081f7e18: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff0081f7e1c: a8320db9  str	w8, [x21, #0xd30]
0xfffffff0081f7e20: 36fe0090  adrp	x22, #0xfffffff00a1bb000
0xfffffff0081f7e24: c86a40f9  ldr	x8, [x22, #0xd0]
0xfffffff0081f7e28: 180540b9  ldr	w24, [x8, #4]
0xfffffff0081f7e2c: f80f00b9  str	w24, [sp, #0xc]
0xfffffff0081f7e30: a0fe0090  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f7e34: 00903491  add	x0, x0, #0xd24
0xfffffff0081f7e38: afddee97  bl	#0xfffffff007daf4f4
0xfffffff0081f7e3c: 017f4093  sxtw	x1, w24
0xfffffff0081f7e40: e3330091  add	x3, sp, #0xc
0xfffffff0081f7e44: e00313aa  mov	x0, x19
0xfffffff0081f7e48: 82008052  mov	w2, #4
0xfffffff0081f7e4c: 040080d2  mov	x4, #0
0xfffffff0081f7e50: 268eff97  bl	#0xfffffff0081db6e8
0xfffffff0081f7e54: 80010035  cbnz	w0, #0xfffffff0081f7e84
0xfffffff0081f7e58: f30f40b9  ldr	w19, [sp, #0xc]
0xfffffff0081f7e5c: 3301f837  tbnz	w19, #0x1f, #0xfffffff0081f7e80
0xfffffff0081f7e60: 7f02186b  cmp	w19, w24
0xfffffff0081f7e64: 61000054  b.ne	#0xfffffff0081f7e70
0xfffffff0081f7e68: 00008052  mov	w0, #0
0xfffffff0081f7e6c: 06000014  b	#0xfffffff0081f7e84
0xfffffff0081f7e70: 680244d1  sub	x8, x19, #0x100, lsl #12
0xfffffff0081f7e74: 080500d1  sub	x8, x8, #1
0xfffffff0081f7e78: 1f0144b1  cmn	x8, #0x100, lsl #12
0xfffffff0081f7e7c: 02010054  b.hs	#0xfffffff0081f7e9c
0xfffffff0081f7e80: c0028052  mov	w0, #0x16
0xfffffff0081f7e84: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0081f7e88: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0081f7e8c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0081f7e90: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0081f7e94: ff430191  add	sp, sp, #0x50
0xfffffff0081f7e98: ff0f5fd6  retab	
0xfffffff0081f7e9c: c0bbff90  adrp	x0, #0xfffffff00796f000
0xfffffff0081f7ea0: 00201a91  add	x0, x0, #0x688
0xfffffff0081f7ea4: e10313aa  mov	x1, x19
0xfffffff0081f7ea8: 82008052  mov	w2, #4
0xfffffff0081f7eac: 030080d2  mov	x3, #0
