; Candidate 592
; ADRP+ADD at VM 0xfffffff007fa1c30 (fileoff 0xf9dc30): page=0x1ff0c4000 add_imm=0xd7c

0xfffffff007fa1bb0: 792bf897  bl	#0xfffffff007dac994
0xfffffff007fa1bb4: 804b40f9  ldr	x0, [x28, #0x90]
0xfffffff007fa1bb8: 600000b4  cbz	x0, #0xfffffff007fa1bc4
0xfffffff007fa1bbc: 01008052  mov	w1, #0
0xfffffff007fa1bc0: 9f26ff97  bl	#0xfffffff007f6b63c
0xfffffff007fa1bc4: e01340f9  ldr	x0, [sp, #0x20]
0xfffffff007fa1bc8: 804b00f9  str	x0, [x28, #0x90]
0xfffffff007fa1bcc: 01008052  mov	w1, #0
0xfffffff007fa1bd0: ff28ff97  bl	#0xfffffff007f6bfcc
0xfffffff007fa1bd4: 884b40f9  ldr	x8, [x28, #0x90]
0xfffffff007fa1bd8: 081940f9  ldr	x8, [x8, #0x30]
0xfffffff007fa1bdc: 884700f9  str	x8, [x28, #0x88]
0xfffffff007fa1be0: e20f40f9  ldr	x2, [sp, #0x18]
0xfffffff007fa1be4: 480840f9  ldr	x8, [x2, #0x10]
0xfffffff007fa1be8: e0031aaa  mov	x0, x26
0xfffffff007fa1bec: e10319aa  mov	x1, x25
0xfffffff007fa1bf0: e3031caa  mov	x3, x28
0xfffffff007fa1bf4: d1489fd2  mov	x17, #0xfa46
0xfffffff007fa1bf8: 11093fd7  blraa	x8, x17
0xfffffff007fa1bfc: 600200b4  cbz	x0, #0xfffffff007fa1c48
0xfffffff007fa1c00: 9f8b00f9  str	xzr, [x28, #0x110]
0xfffffff007fa1c04: df2e0071  cmp	w22, #0xb
0xfffffff007fa1c08: f50b40f9  ldr	x21, [sp, #0x10]
0xfffffff007fa1c0c: 810b0054  b.ne	#0xfffffff007fa1d7c
0xfffffff007fa1c10: a00240f9  ldr	x0, [x21]
0xfffffff007fa1c14: 21008052  mov	w1, #1
0xfffffff007fa1c18: e1080094  bl	#0xfffffff007fa3f9c
0xfffffff007fa1c1c: a80240f9  ldr	x8, [x21]
0xfffffff007fa1c20: 0a9940f9  ldr	x10, [x8, #0x130]
0xfffffff007fa1c24: 09dd40b9  ldr	w9, [x8, #0xdc]
0xfffffff007fa1c28: 8a0700b4  cbz	x10, #0xfffffff007fa1d18
0xfffffff007fa1c2c: 89070035  cbnz	w9, #0xfffffff007fa1d1c
0xfffffff007fa1c30: 2086ff90  adrp	x0, #0xfffffff007065000
0xfffffff007fa1c34: 00f03591  add	x0, x0, #0xd7c
0xfffffff007fa1c38: 2186ff90  adrp	x1, #0xfffffff007065000
0xfffffff007fa1c3c: 21582391  add	x1, x1, #0x8d6
0xfffffff007fa1c40: 82268152  mov	w2, #0x934
0xfffffff007fa1c44: f4f61394  bl	#0xfffffff00849f814
0xfffffff007fa1c48: db02c037  tbnz	w27, #0x18, #0xfffffff007fa1ca0
0xfffffff007fa1c4c: e00318aa  mov	x0, x24
0xfffffff007fa1c50: 01008052  mov	w1, #0
0xfffffff007fa1c54: 02208052  mov	w2, #0x100
0xfffffff007fa1c58: 2200a072  movk	w2, #1, lsl #16
0xfffffff007fa1c5c: 03008052  mov	w3, #0
0xfffffff007fa1c60: 15000014  b	#0xfffffff007fa1cb4
0xfffffff007fa1c64: 2801d837  tbnz	w8, #0x1b, #0xfffffff007fa1c88
0xfffffff007fa1c68: c81bc037  tbnz	w8, #0x18, #0xfffffff007fa1fe0
0xfffffff007fa1c6c: 884740f9  ldr	x8, [x28, #0x88]
0xfffffff007fa1c70: 00714179  ldrh	w0, [x8, #0xb8]
0xfffffff007fa1c74: e02b00b9  str	w0, [sp, #0x28]
0xfffffff007fa1c78: 7b030832  orr	w27, w27, #0x1000000
0xfffffff007fa1c7c: dc000014  b	#0xfffffff007fa1fec
0xfffffff007fa1c80: fc1340f9  ldr	x28, [sp, #0x20]
0xfffffff007fa1c84: b2feff17  b	#0xfffffff007fa174c
0xfffffff007fa1c88: 020080d2  mov	x2, #0
0xfffffff007fa1c8c: ff2b00b9  str	wzr, [sp, #0x28]
0xfffffff007fa1c90: 68030c0a  and	w8, w27, w12
0xfffffff007fa1c94: 1b011332  orr	w27, w8, #0x2000
0xfffffff007fa1c98: fc1340f9  ldr	x28, [sp, #0x20]
0xfffffff007fa1c9c: d7000014  b	#0xfffffff007fa1ff8
0xfffffff007fa1ca0: e32b40b9  ldr	w3, [sp, #0x28]
0xfffffff007fa1ca4: e00317aa  mov	x0, x23
0xfffffff007fa1ca8: 01008052  mov	w1, #0
0xfffffff007fa1cac: 02208052  mov	w2, #0x100
