; Candidate 1975
; ADRP+ADD at VM 0xfffffff00853f37c (fileoff 0x153b37c): page=0x1ff464000 add_imm=0xe00

0xfffffff00853f2fc: 614641f9  ldr	x1, [x19, #0x288]
0xfffffff00853f300: 010100b4  cbz	x1, #0xfffffff00853f320
0xfffffff00853f304: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f308: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f30c: 7f4601f9  str	xzr, [x19, #0x288]
0xfffffff00853f310: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f314: 00403491  add	x0, x0, #0xd10
0xfffffff00853f318: b45ef897  bl	#0xfffffff008356de8
0xfffffff00853f31c: 7f4601f9  str	xzr, [x19, #0x288]
0xfffffff00853f320: 614e41f9  ldr	x1, [x19, #0x298]
0xfffffff00853f324: 010100b4  cbz	x1, #0xfffffff00853f344
0xfffffff00853f328: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f32c: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f330: 7f4e01f9  str	xzr, [x19, #0x298]
0xfffffff00853f334: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f338: 00803591  add	x0, x0, #0xd60
0xfffffff00853f33c: ab5ef897  bl	#0xfffffff008356de8
0xfffffff00853f340: 7f4e01f9  str	xzr, [x19, #0x298]
0xfffffff00853f344: 613e41f9  ldr	x1, [x19, #0x278]
0xfffffff00853f348: 010100b4  cbz	x1, #0xfffffff00853f368
0xfffffff00853f34c: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f350: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f354: 7f3e01f9  str	xzr, [x19, #0x278]
0xfffffff00853f358: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f35c: 00c03691  add	x0, x0, #0xdb0
0xfffffff00853f360: a25ef897  bl	#0xfffffff008356de8
0xfffffff00853f364: 7f3e01f9  str	xzr, [x19, #0x278]
0xfffffff00853f368: 613a41f9  ldr	x1, [x19, #0x270]
0xfffffff00853f36c: 010100b4  cbz	x1, #0xfffffff00853f38c
0xfffffff00853f370: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f374: 02f17dd3  lsl	x2, x8, #3
0xfffffff00853f378: 7f3a01f9  str	xzr, [x19, #0x270]
0xfffffff00853f37c: 20a3ff90  adrp	x0, #0xfffffff0079a3000
0xfffffff00853f380: 00003891  add	x0, x0, #0xe00
0xfffffff00853f384: 995ef897  bl	#0xfffffff008356de8
0xfffffff00853f388: 7f3a01f9  str	xzr, [x19, #0x270]
0xfffffff00853f38c: 604241f9  ldr	x0, [x19, #0x280]
0xfffffff00853f390: c00000b4  cbz	x0, #0xfffffff00853f3a8
0xfffffff00853f394: 686e43b9  ldr	w8, [x19, #0x36c]
0xfffffff00853f398: 7f4201f9  str	xzr, [x19, #0x280]
0xfffffff00853f39c: 01f57ed3  lsl	x1, x8, #2
0xfffffff00853f3a0: 785ef897  bl	#0xfffffff008356d80
0xfffffff00853f3a4: 7f4201f9  str	xzr, [x19, #0x280]
0xfffffff00853f3a8: 75820991  add	x21, x19, #0x260
0xfffffff00853f3ac: 683641f9  ldr	x8, [x19, #0x268]
0xfffffff00853f3b0: a80100b4  cbz	x8, #0xfffffff00853f3e4
0xfffffff00853f3b4: 603241f9  ldr	x0, [x19, #0x260]
0xfffffff00853f3b8: 100040f9  ldr	x16, [x0]
0xfffffff00853f3bc: f10300aa  mov	x17, x0
0xfffffff00853f3c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853f3c4: 301ac1da  autda	x16, x17
0xfffffff00853f3c8: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff00853f3cc: e90310aa  mov	x9, x16
0xfffffff00853f3d0: 01008052  mov	w1, #0
0xfffffff00853f3d4: f10309aa  mov	x17, x9
0xfffffff00853f3d8: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff00853f3dc: 11093fd7  blraa	x8, x17
0xfffffff00853f3e0: 7f3601f9  str	xzr, [x19, #0x268]
0xfffffff00853f3e4: a00240f9  ldr	x0, [x21]
0xfffffff00853f3e8: a00100b4  cbz	x0, #0xfffffff00853f41c
0xfffffff00853f3ec: 100040f9  ldr	x16, [x0]
0xfffffff00853f3f0: f10300aa  mov	x17, x0
0xfffffff00853f3f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853f3f8: 301ac1da  autda	x16, x17
