; Candidate 8923
; ADRP+ADD at VM 0xfffffff0088eed9c (fileoff 0x18ead9c): page=0x1fe980000 add_imm=0xd98

0xfffffff0088eed1c: 800300b4  cbz	x0, #0xfffffff0088eed8c
0xfffffff0088eed20: e00315aa  mov	x0, x21
0xfffffff0088eed24: 37bad197  bl	#0xfffffff007d5d600
0xfffffff0088eed28: e20300aa  mov	x2, x0
0xfffffff0088eed2c: 014cffb0  adrp	x1, #0xfffffff00726f000
0xfffffff0088eed30: 21741491  add	x1, x1, #0x51d
0xfffffff0088eed34: e00315aa  mov	x0, x21
0xfffffff0088eed38: 9ec3d697  bl	#0xfffffff007e9fbb0
0xfffffff0088eed3c: 000200b5  cbnz	x0, #0xfffffff0088eed7c
0xfffffff0088eed40: 28008052  mov	w8, #1
0xfffffff0088eed44: 88e200b9  str	w8, [x20, #0xe0]
0xfffffff0088eed48: 700240f9  ldr	x16, [x19]
0xfffffff0088eed4c: f10313aa  mov	x17, x19
0xfffffff0088eed50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088eed54: 301ac1da  autda	x16, x17
0xfffffff0088eed58: 11d380d2  mov	x17, #0x698
0xfffffff0088eed5c: 1002118b  add	x16, x16, x17
0xfffffff0088eed60: 080240f9  ldr	x8, [x16]
0xfffffff0088eed64: e90310aa  mov	x9, x16
0xfffffff0088eed68: e00313aa  mov	x0, x19
0xfffffff0088eed6c: 21008052  mov	w1, #1
0xfffffff0088eed70: f10309aa  mov	x17, x9
0xfffffff0088eed74: d1daeff2  movk	x17, #0x7ed6, lsl #48
0xfffffff0088eed78: 11093fd7  blraa	x8, x17
0xfffffff0088eed7c: 00008052  mov	w0, #0
0xfffffff0088eed80: 03000014  b	#0xfffffff0088eed8c
0xfffffff0088eed84: 40588052  mov	w0, #0x2c2
0xfffffff0088eed88: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0088eed8c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0088eed90: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0088eed94: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0088eed98: ff0f5fd6  retab	
0xfffffff0088eed9c: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088eeda0: 00603691  add	x0, x0, #0xd98
0xfffffff0088eeda4: 8b020094  bl	#0xfffffff0088ef7d0
0xfffffff0088eeda8: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088eedac: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088eedb0: 88020094  bl	#0xfffffff0088ef7d0
0xfffffff0088eedb4: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088eedb8: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088eedbc: 85020094  bl	#0xfffffff0088ef7d0
0xfffffff0088eedc0: 5f2403d5  bti	c
0xfffffff0088eedc4: 412440f9  ldr	x1, [x2, #0x48]
0xfffffff0088eedc8: 100040f9  ldr	x16, [x0]
0xfffffff0088eedcc: f10300aa  mov	x17, x0
0xfffffff0088eedd0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088eedd4: 301ac1da  autda	x16, x17
0xfffffff0088eedd8: 11b580d2  mov	x17, #0x5a8
0xfffffff0088eeddc: 1002118b  add	x16, x16, x17
0xfffffff0088eede0: 080240f9  ldr	x8, [x16]
0xfffffff0088eede4: e20310aa  mov	x2, x16
0xfffffff0088eede8: f00308aa  mov	x16, x8
0xfffffff0088eedec: f10302aa  mov	x17, x2
0xfffffff0088eedf0: 9160e1f2  movk	x17, #0xb04, lsl #48
0xfffffff0088eedf4: 110a1fd7  braa	x16, x17
0xfffffff0088eedf8: 5f2403d5  bti	c
0xfffffff0088eedfc: 412440f9  ldr	x1, [x2, #0x48]
0xfffffff0088eee00: 100040f9  ldr	x16, [x0]
0xfffffff0088eee04: f10300aa  mov	x17, x0
0xfffffff0088eee08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088eee0c: 301ac1da  autda	x16, x17
0xfffffff0088eee10: 11b680d2  mov	x17, #0x5b0
0xfffffff0088eee14: 1002118b  add	x16, x16, x17
0xfffffff0088eee18: 080240f9  ldr	x8, [x16]
