; Candidate 14841
; ADRP+ADD at VM 0xfffffff0099b71a0 (fileoff 0x29b31a0): page=0x1fe2de000 add_imm=0xd10

0xfffffff0099b7120: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0099b7124: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0099b7128: ff0f5fd6  retab	
0xfffffff0099b712c: f40300aa  mov	x20, x0
0xfffffff0099b7130: a0e1fed0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099b7134: 00781291  add	x0, x0, #0x49e
0xfffffff0099b7138: a1e1fed0  adrp	x1, #0xfffffff0075ed000
0xfffffff0099b713c: 21801491  add	x1, x1, #0x520
0xfffffff0099b7140: 02e2feb0  adrp	x2, #0xfffffff0075f8000
0xfffffff0099b7144: 42dc2191  add	x2, x2, #0x877
0xfffffff0099b7148: 04e2fe90  adrp	x4, #0xfffffff0075f7000
0xfffffff0099b714c: 84003e91  add	x4, x4, #0xf80
0xfffffff0099b7150: 030080d2  mov	x3, #0
0xfffffff0099b7154: 65a28152  mov	w5, #0xd13
0xfffffff0099b7158: 06008052  mov	w6, #0
0xfffffff0099b715c: 87860094  bl	#0xfffffff0099d8b78
0xfffffff0099b7160: d5010037  tbnz	w21, #0, #0xfffffff0099b7198
0xfffffff0099b7164: 700240f9  ldr	x16, [x19]
0xfffffff0099b7168: f10313aa  mov	x17, x19
0xfffffff0099b716c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099b7170: 301ac1da  autda	x16, x17
0xfffffff0099b7174: 11db80d2  mov	x17, #0x6d8
0xfffffff0099b7178: 1002118b  add	x16, x16, x17
0xfffffff0099b717c: 080240f9  ldr	x8, [x16]
0xfffffff0099b7180: e90310aa  mov	x9, x16
0xfffffff0099b7184: e00313aa  mov	x0, x19
0xfffffff0099b7188: 01008052  mov	w1, #0
0xfffffff0099b718c: f10309aa  mov	x17, x9
0xfffffff0099b7190: 11daeff2  movk	x17, #0x7ed0, lsl #48
0xfffffff0099b7194: 11093fd7  blraa	x8, x17
0xfffffff0099b7198: 61be40f9  ldr	x1, [x19, #0x178]
0xfffffff0099b719c: 7fbe00f9  str	xzr, [x19, #0x178]
0xfffffff0099b71a0: e016ffd0  adrp	x0, #0xfffffff007c95000
0xfffffff0099b71a4: 00403491  add	x0, x0, #0xd10
0xfffffff0099b71a8: 02308052  mov	w2, #0x180
0xfffffff0099b71ac: 0f7fa697  bl	#0xfffffff008356de8
0xfffffff0099b71b0: 7fbe00f9  str	xzr, [x19, #0x178]
0xfffffff0099b71b4: d9ffff17  b	#0xfffffff0099b7118
0xfffffff0099b71b8: a0e1fed0  adrp	x0, #0xfffffff0075ed000
0xfffffff0099b71bc: 00781291  add	x0, x0, #0x49e
0xfffffff0099b71c0: 01e2feb0  adrp	x1, #0xfffffff0075f8000
0xfffffff0099b71c4: 21842191  add	x1, x1, #0x861
0xfffffff0099b71c8: a2e1fed0  adrp	x2, #0xfffffff0075ed000
0xfffffff0099b71cc: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099b71d0: 04e2fe90  adrp	x4, #0xfffffff0075f7000
0xfffffff0099b71d4: 84003e91  add	x4, x4, #0xf80
0xfffffff0099b71d8: 030080d2  mov	x3, #0
0xfffffff0099b71dc: 85a18152  mov	w5, #0xd0c
0xfffffff0099b71e0: 06008052  mov	w6, #0
0xfffffff0099b71e4: 65860094  bl	#0xfffffff0099d8b78
0xfffffff0099b71e8: d4578052  mov	w20, #0x2be
0xfffffff0099b71ec: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0099b71f0: caffff17  b	#0xfffffff0099b7118
0xfffffff0099b71f4: 5f2403d5  bti	c
0xfffffff0099b71f8: 100040f9  ldr	x16, [x0]
0xfffffff0099b71fc: f10300aa  mov	x17, x0
0xfffffff0099b7200: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099b7204: 301ac1da  autda	x16, x17
0xfffffff0099b7208: 110381d2  mov	x17, #0x818
0xfffffff0099b720c: 1002118b  add	x16, x16, x17
0xfffffff0099b7210: 080240f9  ldr	x8, [x16]
0xfffffff0099b7214: e10310aa  mov	x1, x16
0xfffffff0099b7218: f00308aa  mov	x16, x8
0xfffffff0099b721c: f10301aa  mov	x17, x1
