; Candidate 2867
; ADRP+ADD at VM 0xfffffff0086f2598 (fileoff 0x16ee598): page=0x1fea3f000 add_imm=0xd90

0xfffffff0086f2518: 1422a072  movk	w20, #0x110, lsl #16
0xfffffff0086f251c: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff0086f2520: bf031cf8  stur	xzr, [x29, #-0x40]
0xfffffff0086f2524: ff7f06a9  stp	xzr, xzr, [sp, #0x60]
0xfffffff0086f2528: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff0086f252c: ff7f04a9  stp	xzr, xzr, [sp, #0x40]
0xfffffff0086f2530: b64301d1  sub	x22, x29, #0x50
0xfffffff0086f2534: 8802150b  add	w8, w20, w21
0xfffffff0086f2538: 012d4011  add	w1, w8, #0xb, lsl #12
0xfffffff0086f253c: 700240f9  ldr	x16, [x19]
0xfffffff0086f2540: f10313aa  mov	x17, x19
0xfffffff0086f2544: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0086f2548: 301ac1da  autda	x16, x17
0xfffffff0086f254c: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff0086f2550: e90310aa  mov	x9, x16
0xfffffff0086f2554: e00313aa  mov	x0, x19
0xfffffff0086f2558: f10309aa  mov	x17, x9
0xfffffff0086f255c: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff0086f2560: 11093fd7  blraa	x8, x17
0xfffffff0086f2564: c06a35b8  str	w0, [x22, x21]
0xfffffff0086f2568: b5120091  add	x21, x21, #4
0xfffffff0086f256c: bf620071  cmp	w21, #0x18
0xfffffff0086f2570: 21feff54  b.ne	#0xfffffff0086f2534
0xfffffff0086f2574: a8277629  ldp	w8, w9, [x29, #-0x50]
0xfffffff0086f2578: aa2f7729  ldp	w10, w11, [x29, #-0x48]
0xfffffff0086f257c: ac377829  ldp	w12, w13, [x29, #-0x40]
0xfffffff0086f2580: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff0086f2584: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0086f2588: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0086f258c: f652ffd0  adrp	x22, #0xfffffff007150000
0xfffffff0086f2590: d6e62b91  add	x22, x22, #0xaf9
0xfffffff0086f2594: f60300f9  str	x22, [sp]
0xfffffff0086f2598: e051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f259c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f25a0: 4198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f25a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f25a8: 0352ffd0  adrp	x3, #0xfffffff007134000
0xfffffff0086f25ac: 637c1791  add	x3, x3, #0x5df
0xfffffff0086f25b0: 02008052  mov	w2, #0
0xfffffff0086f25b4: df02f197  bl	#0xfffffff008333130
0xfffffff0086f25b8: 150080d2  mov	x21, #0
0xfffffff0086f25bc: f7830191  add	x23, sp, #0x60
0xfffffff0086f25c0: 8802150b  add	w8, w20, w21
0xfffffff0086f25c4: 01111011  add	w1, w8, #0x404
0xfffffff0086f25c8: 700240f9  ldr	x16, [x19]
0xfffffff0086f25cc: f10313aa  mov	x17, x19
0xfffffff0086f25d0: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0086f25d4: 301ac1da  autda	x16, x17
0xfffffff0086f25d8: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff0086f25dc: e90310aa  mov	x9, x16
0xfffffff0086f25e0: e00313aa  mov	x0, x19
0xfffffff0086f25e4: f10309aa  mov	x17, x9
0xfffffff0086f25e8: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff0086f25ec: 11093fd7  blraa	x8, x17
0xfffffff0086f25f0: e06a35b8  str	w0, [x23, x21]
0xfffffff0086f25f4: b5120091  add	x21, x21, #4
0xfffffff0086f25f8: bf420071  cmp	w21, #0x10
0xfffffff0086f25fc: 21feff54  b.ne	#0xfffffff0086f25c0
0xfffffff0086f2600: e8274c29  ldp	w8, w9, [sp, #0x60]
0xfffffff0086f2604: ea2f4d29  ldp	w10, w11, [sp, #0x68]
0xfffffff0086f2608: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0086f260c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0086f2610: f60300f9  str	x22, [sp]
0xfffffff0086f2614: e051fff0  adrp	x0, #0xfffffff007131000
