; Candidate 5694
; ADRP+ADD at VM 0xfffffff008800c94 (fileoff 0x17fcc94): page=0x1fe9e9000 add_imm=0xe80

0xfffffff008800c14: fc4f00a9  stp	x28, x19, [sp]
0xfffffff008800c18: 7b000014  b	#0xfffffff008800e04
0xfffffff008800c1c: c850ff90  adrp	x8, #0xfffffff007218000
0xfffffff008800c20: 082d3591  add	x8, x8, #0xd4b
0xfffffff008800c24: f60317aa  mov	x22, x23
0xfffffff008800c28: 07000014  b	#0xfffffff008800c44
0xfffffff008800c2c: a950fff0  adrp	x9, #0xfffffff007217000
0xfffffff008800c30: 29a13091  add	x9, x9, #0xc28
0xfffffff008800c34: ca50ff90  adrp	x10, #0xfffffff007218000
0xfffffff008800c38: 4a5d3591  add	x10, x10, #0xd57
0xfffffff008800c3c: 1f791471  cmp	w8, #0x51e
0xfffffff008800c40: 4801899a  csel	x8, x10, x9, eq
0xfffffff008800c44: aa835af8  ldur	x10, [x29, #-0x58]
0xfffffff008800c48: 49294029  ldp	w9, w10, [x10]
0xfffffff008800c4c: 297d0453  lsr	w9, w9, #4
0xfffffff008800c50: 4a7d0453  lsr	w10, w10, #4
0xfffffff008800c54: 497d091b  mul	w9, w10, w9
0xfffffff008800c58: 0a2f4139  ldrb	w10, [x24, #0x4b]
0xfffffff008800c5c: ab50fff0  adrp	x11, #0xfffffff007217000
0xfffffff008800c60: 6bd53091  add	x11, x11, #0xc35
0xfffffff008800c64: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff008800c68: 8ce93091  add	x12, x12, #0xc3a
0xfffffff008800c6c: 5f010071  cmp	w10, #0
0xfffffff008800c70: 8a018b9a  csel	x10, x12, x11, eq
0xfffffff008800c74: ab8359f8  ldur	x11, [x29, #-0x68]
0xfffffff008800c78: 6b0140b9  ldr	w11, [x11]
0xfffffff008800c7c: 4c2f40b9  ldr	w12, [x26, #0x2c]
0xfffffff008800c80: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff008800c84: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff008800c88: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008800c8c: e80313aa  mov	x8, x19
0xfffffff008800c90: fb2300a9  stp	x27, x8, [sp]
0xfffffff008800c94: 404fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008800c98: 00003a91  add	x0, x0, #0xe80
0xfffffff008800c9c: 4190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008800ca0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008800ca4: 0352fff0  adrp	x3, #0xfffffff007243000
0xfffffff008800ca8: 63b41d91  add	x3, x3, #0x76d
0xfffffff008800cac: 02008052  mov	w2, #0
0xfffffff008800cb0: 20c9ec97  bl	#0xfffffff008333130
0xfffffff008800cb4: 55000014  b	#0xfffffff008800e08
0xfffffff008800cb8: cb50ff90  adrp	x11, #0xfffffff007218000
0xfffffff008800cbc: 6bc93491  add	x11, x11, #0xd32
0xfffffff008800cc0: 10000014  b	#0xfffffff008800d00
0xfffffff008800cc4: ab50fff0  adrp	x11, #0xfffffff007217000
0xfffffff008800cc8: 6b393091  add	x11, x11, #0xc0e
0xfffffff008800ccc: 0d000014  b	#0xfffffff008800d00
0xfffffff008800cd0: cb50ff90  adrp	x11, #0xfffffff007218000
0xfffffff008800cd4: 6b2d3591  add	x11, x11, #0xd4b
0xfffffff008800cd8: 0a000014  b	#0xfffffff008800d00
0xfffffff008800cdc: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff008800ce0: 8ca13091  add	x12, x12, #0xc28
0xfffffff008800ce4: cd50ff90  adrp	x13, #0xfffffff007218000
0xfffffff008800ce8: ad5d3591  add	x13, x13, #0xd57
0xfffffff008800cec: 7f791471  cmp	w11, #0x51e
0xfffffff008800cf0: ab018c9a  csel	x11, x13, x12, eq
0xfffffff008800cf4: 03000014  b	#0xfffffff008800d00
0xfffffff008800cf8: cb50ff90  adrp	x11, #0xfffffff007218000
0xfffffff008800cfc: 6b653491  add	x11, x11, #0xd19
0xfffffff008800d00: 497d091b  mul	w9, w10, w9
0xfffffff008800d04: aa50fff0  adrp	x10, #0xfffffff007217000
0xfffffff008800d08: 4ad53091  add	x10, x10, #0xc35
0xfffffff008800d0c: ac50fff0  adrp	x12, #0xfffffff007217000
0xfffffff008800d10: 8ce93091  add	x12, x12, #0xc3a
