; Candidate 6335
; ADRP+ADD at VM 0xfffffff0088252b4 (fileoff 0x18212b4): page=0x1fe9c4000 add_imm=0xe80

0xfffffff008825234: 17020034  cbz	w23, #0xfffffff008825274
0xfffffff008825238: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff00882523c: f4db03a9  stp	x20, x22, [sp, #0x38]
0xfffffff008825240: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008825244: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008825248: 098d0091  add	x9, x8, #0x23
0xfffffff00882524c: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008825250: 08653291  add	x8, x8, #0xc99
0xfffffff008825254: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008825258: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882525c: e80a8052  mov	w8, #0x57
0xfffffff008825260: 604fffb0  adrp	x0, #0xfffffff007212000
0xfffffff008825264: 00701b91  add	x0, x0, #0x6dc
0xfffffff008825268: f52300a9  stp	x21, x8, [sp]
0xfffffff00882526c: 7d48d697  bl	#0xfffffff007db7460
0xfffffff008825270: 19000014  b	#0xfffffff0088252d4
0xfffffff008825274: ce3b0294  bl	#0xfffffff0088b41ac
0xfffffff008825278: f50300aa  mov	x21, x0
0xfffffff00882527c: e0008052  mov	w0, #7
0xfffffff008825280: 74590194  bl	#0xfffffff00887b850
0xfffffff008825284: e80316aa  mov	x8, x22
0xfffffff008825288: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff00882528c: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008825290: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008825294: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008825298: 0a8d0091  add	x10, x8, #0x23
0xfffffff00882529c: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088252a0: 08653291  add	x8, x8, #0xc99
0xfffffff0088252a4: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088252a8: e80a8052  mov	w8, #0x57
0xfffffff0088252ac: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088252b0: f50300f9  str	x21, [sp]
0xfffffff0088252b4: 204eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088252b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088252bc: 018ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088252c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088252c4: 2351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff0088252c8: 63340191  add	x3, x3, #0x4d
0xfffffff0088252cc: 02008052  mov	w2, #0
0xfffffff0088252d0: 9837ec97  bl	#0xfffffff008333130
0xfffffff0088252d4: e00316aa  mov	x0, x22
0xfffffff0088252d8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088252dc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088252e0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088252e4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088252e8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088252ec: ffc30291  add	sp, sp, #0xb0
0xfffffff0088252f0: ff0f5fd6  retab	
0xfffffff0088252f4: 7f2303d5  pacibsp	
0xfffffff0088252f8: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0088252fc: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008825300: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008825304: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008825308: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff00882530c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008825310: fd830291  add	x29, sp, #0xa0
0xfffffff008825314: f60304aa  mov	x22, x4
0xfffffff008825318: f50303aa  mov	x21, x3
0xfffffff00882531c: f40302aa  mov	x20, x2
0xfffffff008825320: f30300aa  mov	x19, x0
0xfffffff008825324: e00a8052  mov	w0, #0x57
0xfffffff008825328: e1008052  mov	w1, #7
0xfffffff00882532c: 29590194  bl	#0xfffffff00887b7d0
0xfffffff008825330: e0020034  cbz	w0, #0xfffffff00882538c
