; Candidate 3450
; ADRP+ADD at VM 0xfffffff00873f490 (fileoff 0x173b490): page=0x1fe9f2000 add_imm=0xd90

0xfffffff00873f410: e00313aa  mov	x0, x19
0xfffffff00873f414: f10309aa  mov	x17, x9
0xfffffff00873f418: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff00873f41c: 11093fd7  blraa	x8, x17
0xfffffff00873f420: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff00873f424: 74fdff17  b	#0xfffffff00873e9f4
0xfffffff00873f428: 9f2403d5  bti	j
0xfffffff00873f42c: c950ff90  adrp	x9, #0xfffffff007157000
0xfffffff00873f430: 29352691  add	x9, x9, #0x98d
0xfffffff00873f434: e92300a9  stp	x9, x8, [sp]
0xfffffff00873f438: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f43c: 00403691  add	x0, x0, #0xd90
0xfffffff00873f440: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f444: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f448: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f44c: 63b82091  add	x3, x3, #0x82e
0xfffffff00873f450: 02008052  mov	w2, #0
0xfffffff00873f454: 37cfef97  bl	#0xfffffff008333130
0xfffffff00873f458: 65fdff17  b	#0xfffffff00873e9ec
0xfffffff00873f45c: 9f2403d5  bti	j
0xfffffff00873f460: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873f464: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f468: 00403691  add	x0, x0, #0xd90
0xfffffff00873f46c: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f470: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f474: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f478: 63842191  add	x3, x3, #0x861
0xfffffff00873f47c: 02008052  mov	w2, #0
0xfffffff00873f480: 2ccfef97  bl	#0xfffffff008333130
0xfffffff00873f484: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff00873f488: a0f5ffb5  cbnz	x0, #0xfffffff00873f33c
0xfffffff00873f48c: fb0300f9  str	x27, [sp]
0xfffffff00873f490: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f494: 00403691  add	x0, x0, #0xd90
0xfffffff00873f498: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f49c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f4a0: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f4a4: 63282291  add	x3, x3, #0x88a
0xfffffff00873f4a8: 02008052  mov	w2, #0
0xfffffff00873f4ac: 21cfef97  bl	#0xfffffff008333130
0xfffffff00873f4b0: 14008052  mov	w20, #0
0xfffffff00873f4b4: b3feff17  b	#0xfffffff00873ef80
0xfffffff00873f4b8: 607e40f9  ldr	x0, [x19, #0xf8]
0xfffffff00873f4bc: 10000090  adrp	x16, #0xfffffff00873f000
0xfffffff00873f4c0: 10223d91  add	x16, x16, #0xf48
0xfffffff00873f4c4: d13b8cd2  mov	x17, #0x61de
0xfffffff00873f4c8: 3002c1da  pacia	x16, x17
0xfffffff00873f4cc: e20310aa  mov	x2, x16
0xfffffff00873f4d0: e10315aa  mov	x1, x21
0xfffffff00873f4d4: dabf0194  bl	#0xfffffff0087af43c
0xfffffff00873f4d8: 60020034  cbz	w0, #0xfffffff00873f524
0xfffffff00873f4dc: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873f4e0: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f4e4: 00403691  add	x0, x0, #0xd90
0xfffffff00873f4e8: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f4ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f4f0: e34fffb0  adrp	x3, #0xfffffff00713c000
0xfffffff00873f4f4: 630c2b91  add	x3, x3, #0xac3
0xfffffff00873f4f8: 02008052  mov	w2, #0
0xfffffff00873f4fc: 0dcfef97  bl	#0xfffffff008333130
0xfffffff00873f500: 747e40f9  ldr	x20, [x19, #0xf8]
0xfffffff00873f504: f40000b4  cbz	x20, #0xfffffff00873f520
0xfffffff00873f508: e00314aa  mov	x0, x20
0xfffffff00873f50c: 1fbf0194  bl	#0xfffffff0087af188
