; Candidate 8972
; ADRP+ADD at VM 0xfffffff0089081a4 (fileoff 0x19041a4): page=0x19d3000 add_imm=0xec0

0xfffffff008908124: c8ade8f2  movk	x8, #0x456e, lsl #48
0xfffffff008908128: 083000f9  str	x8, [x0, #0x60]
0xfffffff00890812c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008908130: ff0f5fd6  retab	
0xfffffff008908134: 5f2403d5  bti	c
0xfffffff008908138: 057de717  b	#0xfffffff0082e754c
0xfffffff00890813c: 5f2403d5  bti	c
0xfffffff008908140: 037de717  b	#0xfffffff0082e754c
0xfffffff008908144: 7f2303d5  pacibsp	
0xfffffff008908148: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00890814c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008908150: fd430091  add	x29, sp, #0x10
0xfffffff008908154: f30300aa  mov	x19, x0
0xfffffff008908158: fd7ce797  bl	#0xfffffff0082e754c
0xfffffff00890815c: a088ff90  adrp	x0, #0xfffffff007a1c000
0xfffffff008908160: 00e02191  add	x0, x0, #0x878
0xfffffff008908164: e10313aa  mov	x1, x19
0xfffffff008908168: 02168052  mov	w2, #0xb0
0xfffffff00890816c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008908170: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008908174: ff2303d5  autibsp	
0xfffffff008908178: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00890817c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008908184
0xfffffff008908180: 208e38d4  brk	#0xc471
0xfffffff008908184: 467de717  b	#0xfffffff0082e769c
0xfffffff008908188: 5f2403d5  bti	c
0xfffffff00890818c: e20301aa  mov	x2, x1
0xfffffff008908190: e10300aa  mov	x1, x0
0xfffffff008908194: a088ff90  adrp	x0, #0xfffffff007a1c000
0xfffffff008908198: 00e02191  add	x0, x0, #0x878
0xfffffff00890819c: 407de717  b	#0xfffffff0082e769c
0xfffffff0089081a0: 5f2403d5  bti	c
0xfffffff0089081a4: 80ce00f0  adrp	x0, #0xfffffff00a2db000
0xfffffff0089081a8: 00003b91  add	x0, x0, #0xec0
0xfffffff0089081ac: c0035fd6  ret	
0xfffffff0089081b0: 7f2303d5  pacibsp	
0xfffffff0089081b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0089081b8: fd030091  mov	x29, sp
0xfffffff0089081bc: 414bffd0  adrp	x1, #0xfffffff007272000
0xfffffff0089081c0: 21c83991  add	x1, x1, #0xe72
0xfffffff0089081c4: 8288fff0  adrp	x2, #0xfffffff007a1b000
0xfffffff0089081c8: 429841f9  ldr	x2, [x2, #0x330]
0xfffffff0089081cc: 03168052  mov	w3, #0xb0
0xfffffff0089081d0: 5a6ee797  bl	#0xfffffff0082e3b38
0xfffffff0089081d4: 9088fff0  adrp	x16, #0xfffffff007a1b000
0xfffffff0089081d8: 10822e91  add	x16, x16, #0xba0
0xfffffff0089081dc: 10420091  add	x16, x16, #0x10
0xfffffff0089081e0: f10300aa  mov	x17, x0
0xfffffff0089081e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089081e8: 300ac1da  pacda	x16, x17
0xfffffff0089081ec: 100000f9  str	x16, [x0]
0xfffffff0089081f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0089081f4: ff0f5fd6  retab	
0xfffffff0089081f8: 7f2303d5  pacibsp	
0xfffffff0089081fc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008908200: fd030091  mov	x29, sp
0xfffffff008908204: a088ff90  adrp	x0, #0xfffffff007a1c000
0xfffffff008908208: 00e02191  add	x0, x0, #0x878
0xfffffff00890820c: 01168052  mov	w1, #0xb0
0xfffffff008908210: 0a7de797  bl	#0xfffffff0082e7638
0xfffffff008908214: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008908218: ff2303d5  autibsp	
0xfffffff00890821c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008908220: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008908228
