; Candidate 1465
; ADRP+ADD at VM 0xfffffff008429ecc (fileoff 0x1425ecc): page=0x1fec7a000 add_imm=0xd29

0xfffffff008429e4c: e2030191  add	x2, sp, #0x40
0xfffffff008429e50: e10313aa  mov	x1, x19
0xfffffff008429e54: 8cfcff97  bl	#0xfffffff008429084
0xfffffff008429e58: f40300aa  mov	x20, x0
0xfffffff008429e5c: 800d0034  cbz	w0, #0xfffffff00842a00c
0xfffffff008429e60: 700240f9  ldr	x16, [x19]
0xfffffff008429e64: f10313aa  mov	x17, x19
0xfffffff008429e68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008429e6c: 301ac1da  autda	x16, x17
0xfffffff008429e70: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008429e74: e90310aa  mov	x9, x16
0xfffffff008429e78: e00313aa  mov	x0, x19
0xfffffff008429e7c: f10309aa  mov	x17, x9
0xfffffff008429e80: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008429e84: 11093fd7  blraa	x8, x17
0xfffffff008429e88: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff008429e8c: 400100b4  cbz	x0, #0xfffffff008429eb4
0xfffffff008429e90: 100040f9  ldr	x16, [x0]
0xfffffff008429e94: f10300aa  mov	x17, x0
0xfffffff008429e98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008429e9c: 301ac1da  autda	x16, x17
0xfffffff008429ea0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008429ea4: e90310aa  mov	x9, x16
0xfffffff008429ea8: f10309aa  mov	x17, x9
0xfffffff008429eac: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008429eb0: 11093fd7  blraa	x8, x17
0xfffffff008429eb4: e05300a9  stp	x0, x20, [sp]
0xfffffff008429eb8: c063ffd0  adrp	x0, #0xfffffff0070a3000
0xfffffff008429ebc: 00e02e91  add	x0, x0, #0xbb8
0xfffffff008429ec0: 52000014  b	#0xfffffff00842a008
0xfffffff008429ec4: f4578052  mov	w20, #0x2bf
0xfffffff008429ec8: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008429ecc: c063ffd0  adrp	x0, #0xfffffff0070a3000
0xfffffff008429ed0: 00a43491  add	x0, x0, #0xd29
0xfffffff008429ed4: 8fe5fa97  bl	#0xfffffff0082e3510
0xfffffff008429ed8: 4d000014  b	#0xfffffff00842a00c
0xfffffff008429edc: b7a8ffb0  adrp	x23, #0xfffffff00793e000
0xfffffff008429ee0: e8e26939  ldrb	w8, [x23, #0xa78]
0xfffffff008429ee4: 88001037  tbnz	w8, #2, #0xfffffff008429ef4
0xfffffff008429ee8: f80313aa  mov	x24, x19
0xfffffff008429eec: 38b4f9f2  movk	x24, #0xcda1, lsl #48
0xfffffff008429ef0: 1d000014  b	#0xfffffff008429f64
0xfffffff008429ef4: 700240f9  ldr	x16, [x19]
0xfffffff008429ef8: f80313aa  mov	x24, x19
0xfffffff008429efc: 38b4f9f2  movk	x24, #0xcda1, lsl #48
0xfffffff008429f00: f10313aa  mov	x17, x19
0xfffffff008429f04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008429f08: 301ac1da  autda	x16, x17
0xfffffff008429f0c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008429f10: e90310aa  mov	x9, x16
0xfffffff008429f14: e00313aa  mov	x0, x19
0xfffffff008429f18: f10309aa  mov	x17, x9
0xfffffff008429f1c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008429f20: 11093fd7  blraa	x8, x17
0xfffffff008429f24: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff008429f28: 400100b4  cbz	x0, #0xfffffff008429f50
0xfffffff008429f2c: 100040f9  ldr	x16, [x0]
0xfffffff008429f30: f10300aa  mov	x17, x0
0xfffffff008429f34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008429f38: 301ac1da  autda	x16, x17
0xfffffff008429f3c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008429f40: e90310aa  mov	x9, x16
0xfffffff008429f44: f10309aa  mov	x17, x9
0xfffffff008429f48: f130e5f2  movk	x17, #0x2987, lsl #48
