; Candidate 6373
; ADRP+ADD at VM 0xfffffff008827de8 (fileoff 0x1823de8): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827d68: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008827d6c: c8a78052  mov	w8, #0x53e
0xfffffff008827d70: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff008827d74: 29153091  add	x9, x9, #0xc05
0xfffffff008827d78: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008827d7c: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827d80: 08653291  add	x8, x8, #0xc99
0xfffffff008827d84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008827d88: e80a8052  mov	w8, #0x57
0xfffffff008827d8c: c04fffd0  adrp	x0, #0xfffffff007221000
0xfffffff008827d90: 00383091  add	x0, x0, #0xc0e
0xfffffff008827d94: f52300a9  stp	x21, x8, [sp]
0xfffffff008827d98: b23dd697  bl	#0xfffffff007db7460
0xfffffff008827d9c: 43000014  b	#0xfffffff008827ea8
0xfffffff008827da0: 03310294  bl	#0xfffffff0088b41ac
0xfffffff008827da4: f50300aa  mov	x21, x0
0xfffffff008827da8: 80008052  mov	w0, #4
0xfffffff008827dac: a94e0194  bl	#0xfffffff00887b850
0xfffffff008827db0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827db4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008827db8: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827dbc: 0a3d0391  add	x10, x8, #0xcf
0xfffffff008827dc0: 68a78052  mov	w8, #0x53b
0xfffffff008827dc4: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff008827dc8: 29153091  add	x9, x9, #0xc05
0xfffffff008827dcc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008827dd0: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827dd4: 08653291  add	x8, x8, #0xc99
0xfffffff008827dd8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008827ddc: e80a8052  mov	w8, #0x57
0xfffffff008827de0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008827de4: f50300f9  str	x21, [sp]
0xfffffff008827de8: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008827dec: 00003a91  add	x0, x0, #0xe80
0xfffffff008827df0: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008827df4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008827df8: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff008827dfc: 63543991  add	x3, x3, #0xe55
0xfffffff008827e00: 02008052  mov	w2, #0
0xfffffff008827e04: cb2cec97  bl	#0xfffffff008333130
0xfffffff008827e08: 28000014  b	#0xfffffff008827ea8
0xfffffff008827e0c: e00314aa  mov	x0, x20
0xfffffff008827e10: c81e0094  bl	#0xfffffff00882f930
0xfffffff008827e14: a0c20091  add	x0, x21, #0x30
0xfffffff008827e18: e10314aa  mov	x1, x20
0xfffffff008827e1c: 861f0094  bl	#0xfffffff00882fc34
0xfffffff008827e20: 15008052  mov	w21, #0
0xfffffff008827e24: 68721991  add	x8, x19, #0x65c
0xfffffff008827e28: 000140fd  ldr	d0, [x8]
0xfffffff008827e2c: 494eff90  adrp	x9, #0xfffffff0071ef000
0xfffffff008827e30: 215d40fd  ldr	d1, [x9, #0xb8]
0xfffffff008827e34: 0084a10e  add	v0.2s, v0.2s, v1.2s
0xfffffff008827e38: 000100fd  str	d0, [x8]
0xfffffff008827e3c: 6dffff17  b	#0xfffffff008827bf0
0xfffffff008827e40: db300294  bl	#0xfffffff0088b41ac
0xfffffff008827e44: f50300aa  mov	x21, x0
0xfffffff008827e48: 80008052  mov	w0, #4
0xfffffff008827e4c: 814e0194  bl	#0xfffffff00887b850
0xfffffff008827e50: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827e54: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff008827e58: c84fffb0  adrp	x8, #0xfffffff007220000
0xfffffff008827e5c: 08e52e91  add	x8, x8, #0xbb9
0xfffffff008827e60: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008827e64: c8a78052  mov	w8, #0x53e
