; Candidate 821
; ADRP+ADD at VM 0xfffffff0080cace4 (fileoff 0x10c6ce4): page=0x1fefab000 add_imm=0xdef

0xfffffff0080cac64: 81030054  b.ne	#0xfffffff0080cacd4
0xfffffff0080cac68: 6803f8b7  tbnz	x8, #0x3f, #0xfffffff0080cacd4
0xfffffff0080cac6c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0080cac70: e20308aa  mov	x2, x8
0xfffffff0080cac74: 9ffea288  casl	w2, wzr, [x20]
0xfffffff0080cac78: 5f00086b  cmp	w2, w8
0xfffffff0080cac7c: 61010054  b.ne	#0xfffffff0080caca8
0xfffffff0080cac80: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080cac84: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080cac88: ffc30091  add	sp, sp, #0x30
0xfffffff0080cac8c: ff0f5fd6  retab	
0xfffffff0080cac90: a00b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080cac94: 00c00191  add	x0, x0, #0x70
0xfffffff0080cac98: e10313aa  mov	x1, x19
0xfffffff0080cac9c: 02008052  mov	w2, #0
0xfffffff0080caca0: 9683f397  bl	#0xfffffff007dabaf8
0xfffffff0080caca4: eaffff17  b	#0xfffffff0080cac4c
0xfffffff0080caca8: a00b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080cacac: 00c00191  add	x0, x0, #0x70
0xfffffff0080cacb0: e10313aa  mov	x1, x19
0xfffffff0080cacb4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080cacb8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0080cacbc: ffc30091  add	sp, sp, #0x30
0xfffffff0080cacc0: ff2303d5  autibsp	
0xfffffff0080cacc4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080cacc8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080cacd0
0xfffffff0080caccc: 208e38d4  brk	#0xc471
0xfffffff0080cacd0: a586f317  b	#0xfffffff007dac764
0xfffffff0080cacd4: 487dfff0  adrp	x8, #0xfffffff007075000
0xfffffff0080cacd8: 08213891  add	x8, x8, #0xe08
0xfffffff0080cacdc: 890c8052  mov	w9, #0x64
0xfffffff0080cace0: e82700a9  stp	x8, x9, [sp]
0xfffffff0080cace4: 407dfff0  adrp	x0, #0xfffffff007075000
0xfffffff0080cace8: 00bc3791  add	x0, x0, #0xdef
0xfffffff0080cacec: 08260f94  bl	#0xfffffff00849450c
0xfffffff0080cacf0: 7f2303d5  pacibsp	
0xfffffff0080cacf4: ff0302d1  sub	sp, sp, #0x80
0xfffffff0080cacf8: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff0080cacfc: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff0080cad00: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0080cad04: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0080cad08: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0080cad0c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0080cad10: fdc30191  add	x29, sp, #0x70
0xfffffff0080cad14: 080080d2  mov	x8, #0
0xfffffff0080cad18: 93d038d5  mrs	x19, tpidr_el1
0xfffffff0080cad1c: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0080cad20: b60b01f0  adrp	x22, #0xfffffff00a241000
0xfffffff0080cad24: d6e20191  add	x22, x22, #0x78
0xfffffff0080cad28: c97ee8c8  casa	x8, x9, [x22]
0xfffffff0080cad2c: 1f0100f1  cmp	x8, #0
0xfffffff0080cad30: c1120054  b.ne	#0xfffffff0080caf88
0xfffffff0080cad34: b70b01f0  adrp	x23, #0xfffffff00a241000
0xfffffff0080cad38: e88240b9  ldr	w8, [x23, #0x80]
0xfffffff0080cad3c: 09050051  sub	w9, w8, #1
0xfffffff0080cad40: e98200b9  str	w9, [x23, #0x80]
0xfffffff0080cad44: c8140034  cbz	w8, #0xfffffff0080cafdc
0xfffffff0080cad48: b80b01f0  adrp	x24, #0xfffffff00a241000
0xfffffff0080cad4c: 0a8740b9  ldr	w10, [x24, #0x84]
0xfffffff0080cad50: 390701b0  adrp	x25, #0xfffffff00a1af000
0xfffffff0080cad54: 280b43f9  ldr	x8, [x25, #0x610]
0xfffffff0080cad58: 3f010071  cmp	w9, #0
0xfffffff0080cad5c: 4409407a  ccmp	w10, #0, #4, eq
0xfffffff0080cad60: 041940fa  ccmp	x8, #0, #4, ne
