; Candidate 2526
; ADRP+ADD at VM 0xfffffff0086aaa70 (fileoff 0x16a6a70): page=0x1fea80000 add_imm=0xe85

0xfffffff0086aa9f0: 7197e7f2  movk	x17, #0x3cbb, lsl #48
0xfffffff0086aa9f4: 11093fd7  blraa	x8, x17
0xfffffff0086aa9f8: 968a40b9  ldr	w22, [x20, #0x88]
0xfffffff0086aa9fc: 22000014  b	#0xfffffff0086aaa84
0xfffffff0086aaa00: 700240f9  ldr	x16, [x19]
0xfffffff0086aaa04: f10313aa  mov	x17, x19
0xfffffff0086aaa08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aaa0c: 301ac1da  autda	x16, x17
0xfffffff0086aaa10: 113d80d2  mov	x17, #0x1e8
0xfffffff0086aaa14: 1002118b  add	x16, x16, x17
0xfffffff0086aaa18: 080240f9  ldr	x8, [x16]
0xfffffff0086aaa1c: e90310aa  mov	x9, x16
0xfffffff0086aaa20: e00313aa  mov	x0, x19
0xfffffff0086aaa24: 010080d2  mov	x1, #0
0xfffffff0086aaa28: f10309aa  mov	x17, x9
0xfffffff0086aaa2c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086aaa30: 11093fd7  blraa	x8, x17
0xfffffff0086aaa34: f40300aa  mov	x20, x0
0xfffffff0086aaa38: 700240f9  ldr	x16, [x19]
0xfffffff0086aaa3c: f10313aa  mov	x17, x19
0xfffffff0086aaa40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aaa44: 301ac1da  autda	x16, x17
0xfffffff0086aaa48: 114380d2  mov	x17, #0x218
0xfffffff0086aaa4c: 1002118b  add	x16, x16, x17
0xfffffff0086aaa50: 080240f9  ldr	x8, [x16]
0xfffffff0086aaa54: e90310aa  mov	x9, x16
0xfffffff0086aaa58: e00313aa  mov	x0, x19
0xfffffff0086aaa5c: 010080d2  mov	x1, #0
0xfffffff0086aaa60: f10309aa  mov	x17, x9
0xfffffff0086aaa64: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0086aaa68: 11093fd7  blraa	x8, x17
0xfffffff0086aaa6c: f40300a9  stp	x20, x0, [sp]
0xfffffff0086aaa70: 0054ff90  adrp	x0, #0xfffffff00712a000
0xfffffff0086aaa74: 00143a91  add	x0, x0, #0xe85
0xfffffff0086aaa78: 6ab1f297  bl	#0xfffffff008357020
0xfffffff0086aaa7c: 96578052  mov	w22, #0x2bc
0xfffffff0086aaa80: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff0086aaa84: e00316aa  mov	x0, x22
0xfffffff0086aaa88: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086aaa8c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086aaa90: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086aaa94: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0086aaa98: ff430191  add	sp, sp, #0x50
0xfffffff0086aaa9c: ff0f5fd6  retab	
0xfffffff0086aaaa0: 700240f9  ldr	x16, [x19]
0xfffffff0086aaaa4: f10313aa  mov	x17, x19
0xfffffff0086aaaa8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aaaac: 301ac1da  autda	x16, x17
0xfffffff0086aaab0: 11b480d2  mov	x17, #0x5a0
0xfffffff0086aaab4: 1002118b  add	x16, x16, x17
0xfffffff0086aaab8: 080240f9  ldr	x8, [x16]
0xfffffff0086aaabc: e90310aa  mov	x9, x16
0xfffffff0086aaac0: e00313aa  mov	x0, x19
0xfffffff0086aaac4: e10314aa  mov	x1, x20
0xfffffff0086aaac8: f10309aa  mov	x17, x9
0xfffffff0086aaacc: d181f5f2  movk	x17, #0xac0e, lsl #48
0xfffffff0086aaad0: 11093fd7  blraa	x8, x17
0xfffffff0086aaad4: 40f5ffb4  cbz	x0, #0xfffffff0086aa97c
0xfffffff0086aaad8: f50300aa  mov	x21, x0
0xfffffff0086aaadc: 18008052  mov	w24, #0
0xfffffff0086aaae0: 37008052  mov	w23, #1
0xfffffff0086aaae4: 77820339  strb	w23, [x19, #0xe0]
0xfffffff0086aaae8: a81640f9  ldr	x8, [x21, #0x28]
0xfffffff0086aaaec: 01010391  add	x1, x8, #0xc0
