; Candidate 4129
; ADRP+ADD at VM 0xfffffff00879337c (fileoff 0x178f37c): page=0x1fe99e000 add_imm=0xd90

0xfffffff0087932fc: 02abe797  bl	#0xfffffff00817df04
0xfffffff008793300: 830e40b9  ldr	w3, [x20, #0xc]
0xfffffff008793304: 63d62ab9  str	w3, [x19, #0x2ad4]
0xfffffff008793308: 887e48b9  ldr	w8, [x20, #0x87c]
0xfffffff00879330c: 68c62ab9  str	w8, [x19, #0x2ac4]
0xfffffff008793310: 888648b9  ldr	w8, [x20, #0x884]
0xfffffff008793314: 68ca2ab9  str	w8, [x19, #0x2ac8]
0xfffffff008793318: 845648b9  ldr	w4, [x20, #0x854]
0xfffffff00879331c: 64122cb9  str	w4, [x19, #0x2c10]
0xfffffff008793320: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008793324: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff008793328: 824e48b9  ldr	w2, [x20, #0x84c]
0xfffffff00879332c: 65d26ab9  ldr	w5, [x19, #0x2ad0]
0xfffffff008793330: 3fc5fe97  bl	#0xfffffff00874482c
0xfffffff008793334: 88426139  ldrb	w8, [x20, #0x850]
0xfffffff008793338: 48cf0439  strb	w8, [x26, #0x133]
0xfffffff00879333c: 882240b9  ldr	w8, [x20, #0x20]
0xfffffff008793340: 68de2ab9  str	w8, [x19, #0x2adc]
0xfffffff008793344: 880a40b9  ldr	w8, [x20, #8]
0xfffffff008793348: 68b62ab9  str	w8, [x19, #0x2ab4]
0xfffffff00879334c: 884a48b9  ldr	w8, [x20, #0x848]
0xfffffff008793350: 68922bb9  str	w8, [x19, #0x2b90]
0xfffffff008793354: 888e48b9  ldr	w8, [x20, #0x88c]
0xfffffff008793358: 685230b9  str	w8, [x19, #0x3050]
0xfffffff00879335c: 889648b9  ldr	w8, [x20, #0x894]
0xfffffff008793360: 28020034  cbz	w8, #0xfffffff0087933a4
0xfffffff008793364: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff008793368: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff00879336c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008793370: 494eff90  adrp	x9, #0xfffffff00715b000
0xfffffff008793374: 29010691  add	x9, x9, #0x180
0xfffffff008793378: e90300f9  str	x9, [sp]
0xfffffff00879337c: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008793380: 00403691  add	x0, x0, #0xd90
0xfffffff008793384: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008793388: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879338c: 834dfff0  adrp	x3, #0xfffffff007146000
0xfffffff008793390: 63943d91  add	x3, x3, #0xf65
0xfffffff008793394: 02008052  mov	w2, #0
0xfffffff008793398: 667fee97  bl	#0xfffffff008333130
0xfffffff00879339c: 96278052  mov	w22, #0x13c
0xfffffff0087933a0: 6d000014  b	#0xfffffff008793554
0xfffffff0087933a4: 48034039  ldrb	w8, [x26]
0xfffffff0087933a8: e8070034  cbz	w8, #0xfffffff0087934a4
0xfffffff0087933ac: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087933b0: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff0087933b4: 4cd6fe97  bl	#0xfffffff008748ce4
0xfffffff0087933b8: 80010034  cbz	w0, #0xfffffff0087933e8
0xfffffff0087933bc: 484eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087933c0: 08010691  add	x8, x8, #0x180
0xfffffff0087933c4: e80300a9  stp	x8, x0, [sp]
0xfffffff0087933c8: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087933cc: 00403691  add	x0, x0, #0xd90
0xfffffff0087933d0: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087933d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087933d8: 834dfff0  adrp	x3, #0xfffffff007146000
0xfffffff0087933dc: 63a43e91  add	x3, x3, #0xfa9
0xfffffff0087933e0: 02008052  mov	w2, #0
0xfffffff0087933e4: 537fee97  bl	#0xfffffff008333130
0xfffffff0087933e8: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff0087933ec: 100040f9  ldr	x16, [x0]
0xfffffff0087933f0: f10300aa  mov	x17, x0
0xfffffff0087933f4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087933f8: 301ac1da  autda	x16, x17
